SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHILPAMED,EQ,03-12-2009,197.4,199.9,206.8,192.0,194.5,194.5,197.61,"1,735","3,42,847.15",-,843,48.59
SHILPAMED,EQ,04-12-2009,194.5,186.0,196.9,186.0,194.0,191.9,191.51,"2,516","4,81,830.30",-,"1,306",51.91
SHILPAMED,EQ,07-12-2009,191.9,196.0,196.0,184.1,187.15,187.15,195.73,77,"15,071.25",-,76,98.7
SHILPAMED,EQ,08-12-2009,187.15,192.0,192.0,192.0,192.0,192.0,192.0,56,"10,752.00",-,28,50.0
SHILPAMED,EQ,09-12-2009,192.0,195.0,201.0,185.5,187.0,187.0,193.04,151,"29,149.50",-,130,86.09
SHILPAMED,EQ,10-12-2009,187.0,190.5,192.0,190.5,192.0,191.5,190.59,"1,100","2,09,650.00",-,"1,100",100.0
SHILPAMED,EQ,11-12-2009,191.5,193.0,193.0,182.0,185.3,186.35,185.16,"1,105","2,04,597.50",-,550,49.77
SHILPAMED,EQ,14-12-2009,186.35,184.0,184.0,184.0,184.0,184.0,184.0,225,"41,400.00",-,225,100.0
SHILPAMED,EQ,15-12-2009,184.0,191.85,191.85,178.0,180.05,180.05,182.27,"1,603","2,92,183.05",-,925,57.7
SHILPAMED,EQ,16-12-2009,180.05,185.0,186.9,180.0,180.0,180.75,182.85,"1,422","2,60,017.00",-,"1,032",72.57
SHILPAMED,EQ,17-12-2009,180.75,180.0,184.0,177.4,183.5,182.2,181.48,30,"5,444.50",-,10,33.33
SHILPAMED,EQ,18-12-2009,182.2,183.7,183.7,176.35,183.5,180.1,182.01,329,"59,880.20",-,268,81.46
SHILPAMED,EQ,21-12-2009,180.1,180.05,180.05,175.55,177.45,177.45,178.51,590,"1,05,322.30",-,374,63.39
SHILPAMED,EQ,22-12-2009,177.45,183.4,183.4,171.0,178.0,179.95,178.11,706,"1,25,744.85",-,579,82.01
SHILPAMED,EQ,23-12-2009,179.95,187.0,188.0,180.25,188.0,185.45,185.15,497,"92,017.25",-,488,98.19
SHILPAMED,EQ,24-12-2009,185.45,191.0,194.75,191.0,194.75,194.75,194.7,781,"1,52,062.25",-,781,100.0
SHILPAMED,EQ,29-12-2009,194.75,204.5,204.5,202.0,202.0,202.05,203.08,"1,907","3,87,277.10",-,"1,432",75.09
SHILPAMED,EQ,30-12-2009,202.05,203.05,206.4,195.5,197.1,200.35,201.06,144,"28,952.90",-,142,98.61
SHILPAMED,EQ,31-12-2009,200.35,196.5,198.0,195.05,196.0,195.85,195.92,352,"68,963.00",-,352,100.0
SHILPAMED,EQ,04-01-2010,195.85,196.0,198.8,191.1,192.05,192.05,191.78,605,"1,16,028.45",-,602,99.5
SHILPAMED,EQ,05-01-2010,192.05,199.85,199.85,197.0,197.0,197.5,197.35,"3,507","6,92,115.45",-,"3,245",92.53
SHILPAMED,EQ,06-01-2010,197.5,198.5,202.0,198.0,200.4,198.2,200.12,"1,538","3,07,781.40",-,"1,412",91.81
SHILPAMED,EQ,07-01-2010,198.2,190.0,204.95,190.0,204.95,204.55,196.81,"1,495","2,94,237.50",-,"1,205",80.6
SHILPAMED,EQ,08-01-2010,204.55,204.0,214.0,204.0,211.0,209.8,209.76,"3,460","7,25,760.60",-,"2,712",78.38
SHILPAMED,EQ,11-01-2010,209.8,217.6,218.0,201.0,207.0,212.5,212.88,"3,679","7,83,179.30",-,"2,980",81.0
SHILPAMED,EQ,12-01-2010,212.5,220.0,220.0,200.05,202.0,203.5,204.55,"11,084","22,67,252.55",-,"10,037",90.55
SHILPAMED,EQ,13-01-2010,203.5,203.3,223.85,200.0,223.85,223.85,203.92,"8,78,078","17,90,59,811.25",-,"7,29,571",83.09
SHILPAMED,EQ,14-01-2010,223.85,238.5,246.25,232.0,246.25,246.25,241.19,"2,32,837","5,61,57,937.45",-,"57,818",24.83
SHILPAMED,EQ,15-01-2010,246.25,251.8,269.5,227.0,258.0,257.95,252.04,"2,24,591","5,66,05,329.95",-,"51,514",22.94
SHILPAMED,EQ,18-01-2010,257.95,264.0,269.7,249.1,252.3,252.7,260.76,"78,237","2,04,00,845.45",-,"30,292",38.72
SHILPAMED,EQ,19-01-2010,252.7,255.95,259.0,243.25,250.0,249.1,254.7,"30,856","78,59,168.80",-,"19,540",63.33
SHILPAMED,EQ,20-01-2010,249.1,249.25,270.8,249.25,259.0,257.0,262.01,"76,831","2,01,30,381.60",-,"34,715",45.18
SHILPAMED,EQ,21-01-2010,257.0,260.0,268.0,245.2,251.95,251.9,259.65,"80,577","2,09,21,798.05",-,"34,746",43.12
SHILPAMED,EQ,22-01-2010,251.9,248.0,255.55,244.05,255.0,254.5,253.24,"25,309","64,09,301.15",-,"17,219",68.04
SHILPAMED,EQ,25-01-2010,254.5,262.0,265.0,250.0,251.85,252.35,258.82,"25,359","65,63,368.75",-,"14,309",56.43
SHILPAMED,EQ,27-01-2010,252.35,254.1,256.9,227.15,227.25,227.55,232.33,"58,023","1,34,80,576.20",-,"38,035",65.55
SHILPAMED,EQ,28-01-2010,227.55,247.95,247.95,228.15,234.5,230.6,234.29,"51,359","1,20,32,993.20",-,"36,385",70.84
SHILPAMED,EQ,29-01-2010,230.6,236.0,244.7,227.3,240.5,241.95,238.24,"20,774","49,49,251.85",-,"10,272",49.45
SHILPAMED,EQ,01-02-2010,241.95,244.0,244.95,235.25,237.5,238.2,240.71,"10,111","24,33,795.90",-,"5,389",53.3
