SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHRIKANHA,ST,10-12-2025,90.0,88.0,88.0,83.6,83.6,83.6,87.89,"1,96,800","1,72,97,280.00",72,"1,96,800",100.0
SHRIKANHA,ST,11-12-2025,83.6,79.45,79.45,79.45,79.45,79.45,79.45,1600,1.27,1, 1600,100.0
SHRIKANHA,ST,15-12-2025,79.45,75.5,75.5,75.5,75.5,75.5,75.5,1600,1.21,1, 1600,100.0
SHRIKANHA,ST,16-12-2025,75.5,71.75,71.75,71.75,71.75,71.75,71.75,1600,1.15,1, 1600,100.0
SHRIKANHA,ST,17-12-2025,71.75,68.2,68.2,68.2,68.2,68.2,68.2,6400,4.36,4, 6400,100.0
SHRIKANHA,ST,18-12-2025,68.2,64.8,64.8,64.8,64.8,64.8,64.8,1600,1.04,1, 1600,100.0
SHRIKANHA,ST,19-12-2025,64.8,61.6,61.6,61.6,61.6,61.6,61.6,1600,0.99,1, 1600,100.0
SHRIKANHA,ST,22-12-2025,61.6,58.55,58.55,58.55,58.55,58.55,58.55,1600,0.94,1, 1600,100.0
SHRIKANHA,ST,23-12-2025,58.55,55.65,55.65,55.65,55.65,55.65,55.65,3200,1.78,2, 3200,100.0
SHRIKANHA,SM,24-12-2025,55.65,44.55,44.55,44.55,44.55,44.55,44.55,33600,14.97,20, 33600,100.0
SHRIKANHA,SM,26-12-2025,44.55,35.65,38.0,35.65,35.65,35.65,35.78,691200,247.31,204, 499200,72.22
SHRIKANHA,SM,29-12-2025,35.65,34.3,34.8,32.1,32.1,32.1,32.92,150400,49.51,70, 134400,89.36
SHRIKANHA,SM,30-12-2025,32.1,28.9,28.9,28.9,28.9,28.9,28.9,38400,11.1,22, 38400, 100.00
