SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SILVERBND,EQ,12-12-2025,178.35,180.1,198.0,180.0,193.03,191.82,192.24,"12,488","24,00,665.09",212,"6,743",54.0
SILVERBND,EQ,15-12-2025,191.82,195.7,199.7,188.67,195.0,194.94,194.56,22077,42.95,313, 8869,40.17
SILVERBND,EQ,16-12-2025,194.94,195.0,198.99,190.02,194.5,194.88,194.85,4753,9.26,109, 2961,62.3
SILVERBND,EQ,17-12-2025,194.88,195.85,203.45,194.98,203.39,203.04,200.52,13421,26.91,262, 7886,58.76
SILVERBND,EQ,18-12-2025,203.04,197.96,206.94,197.96,203.66,202.3,203.41,6677,13.58,141, 3528,52.84
SILVERBND,EQ,19-12-2025,202.3,202.99,203.0,195.65,198.0,199.68,200.88,4877,9.8,123, 2649,54.32
SILVERBND,EQ,22-12-2025,199.68,204.67,217.8,202.0,216.0,214.89,211.7,36087,76.4,649, 15893,44.04
SILVERBND,EQ,23-12-2025,214.89,216.5,216.71,209.21,213.12,214.63,213.52,24190,51.65,516, 14913,61.65
SILVERBND,EQ,24-12-2025,214.63,215.7,223.44,213.78,219.0,219.61,220.27,31103,68.51,351, 21800,70.09
SILVERBND,EQ,26-12-2025,219.61,223.99,243.87,222.0,233.0,230.03,229.53,47902,109.95,883, 21914,45.75
SILVERBND,EQ,29-12-2025,230.03,235.79,261.42,230.2,261.42,257.08,248.96,140016,348.59,2639, 31678,22.62
SILVERBND,EQ,30-12-2025,257.08,251.99,254.95,225.25,231.8,231.43,233.37,220402,514.35,3341, 98700,44.78
SILVERBND,EQ,31-12-2025,231.43,233.2,237.0,224.99,227.2,229.4,230.74,49592,114.43,1207, 26165,52.76
SILVERBND,EQ,01-01-2026,229.4,230.55,233.97,225.1,225.1,225.87,227.06,34170,77.59,479, 28072,82.15
SILVERBND,EQ,02-01-2026,225.87,227.6,245.29,226.99,241.0,240.05,233.16,64618,150.66,837, 38016,58.83
SILVERBND,EQ,05-01-2026,240.05,244.85,249.4,233.44,236.35,236.38,237.94,149481,355.67,1655, 79537,53.21
SILVERBND,EQ,06-01-2026,236.38,239.0,242.35,238.55,241.5,241.72,241.21,73526,177.35,722, 47732,64.92
SILVERBND,EQ,07-01-2026,241.72,248.0,249.8,242.0,246.53,246.22,245.89,53954,132.67,879, 25056,46.44
SILVERBND,EQ,08-01-2026,246.22,248.21,248.21,230.41,233.42,234.77,235.92,71920,169.68,1101, 42642,59.29
SILVERBND,EQ,09-01-2026,234.77,237.83,240.34,235.21,240.2,240.08,238.54,52648,125.59,619, 33725,64.06
SILVERBND,EQ,12-01-2026,240.08,254.0,254.01,242.82,253.51,251.93,248.52,146939,365.18,1498, 62212,42.34
SILVERBND,EQ,13-01-2026,251.93,252.55,269.9,252.55,264.0,262.62,259.42,111523,289.31,2009, 40206,36.05
SILVERBND,EQ,14-01-2026,262.62,274.4,279.0,267.0,277.0,276.02,274.42,223764,614.06,2380, 123979,55.41
SILVERBND,EQ,16-01-2026,276.02,276.02,282.7,269.31,280.0,281.31,278.91,121138,337.87,1643, 66876,55.21
SILVERBND,EQ,19-01-2026,281.31,284.21,330.93,284.21,330.93,318.03,302.65,351858,1064.89,5381, 116398,33.08
SILVERBND,EQ,20-01-2026,318.03,325.98,336.21,304.01,318.17,315.13,321.11,1114382,3578.41,11876, 388610,34.87
SILVERBND,EQ,21-01-2026,315.13,323.01,333.0,316.9,319.8,320.85,323.38,201466,651.5,4211, 77837,38.64
SILVERBND,EQ,22-01-2026,320.85,321.99,321.99,251.16,290.55,291.64,288.55,342364,987.9,7975, 89372,26.1
SILVERBND,EQ,23-01-2026,291.64,299.25,319.58,299.25,315.0,311.68,312.61,129544,404.97,3359, 46909,36.21
SILVERBND,EQ,27-01-2026,311.68,313.0,343.69,313.0,333.0,334.58,331.12,510337,1689.84,5817, 246374,48.28
SILVERBND,EQ,28-01-2026,334.58,326.21,354.0,326.21,346.5,349.62,347.66,365483,1270.63,4546, 128783,35.24
SILVERBND,EQ,29-01-2026,349.62,360.08,389.0,360.07,379.0,380.24,374.48,326459,1222.53,4388, 173899,53.27
SILVERBND,EQ,30-01-2026,380.24,374.0,374.0,308.02,348.95,327.11,335.28,796271,2669.7,11112, 389690,48.94
SILVERBND,EQ,01-02-2026,327.11,335.28,335.28,264.52,271.0,271.8,273.02,505888,1381.2,5325, 212837,42.07
SILVERBND,EQ,02-02-2026,271.8,264.54,265.0,218.02,231.05,237.38,236.7,789477,1868.68,6084, 554996,70.3
SILVERBND,EQ,03-02-2026,237.38,248.06,272.29,239.95,258.0,261.7,256.91,770859,1980.4,7121, 436709,56.65
SILVERBND,EQ,04-02-2026,261.7,272.01,282.0,268.01,280.0,278.15,275.67,233981,645.0,4908, 86223,36.85
SILVERBND,EQ,05-02-2026,278.15,263.99,264.0,237.42,247.75,247.43,246.43,523516,1290.12,5544, 340428,65.03
SILVERBND,EQ,06-02-2026,247.43,237.99,241.39,232.57,240.0,240.47,238.92,500059,1194.74,3773, 332536,66.5
SILVERBND,EQ,09-02-2026,240.47,248.71,260.0,248.7,255.3,254.99,256.28,229834,589.02,3474, 134074,58.34
SILVERBND,EQ,10-02-2026,254.99,254.39,256.0,251.52,253.76,255.14,254.64,229995,585.67,2859, 104925,45.62
SILVERBND,EQ,11-02-2026,255.14,257.8,260.53,253.26,258.21,258.93,258.2,252124,650.98,3487, 127601,50.61
SILVERBND,EQ,12-02-2026,258.93,256.61,258.97,255.19,257.1,256.89,256.84,103380,265.52,1630, 58599,56.68
SILVERBND,EQ,13-02-2026,256.89,243.44,245.98,237.89,243.5,243.91,242.91,305799,742.81,5363, 212193, 69.39
