SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SKP,ST,13-07-2022,70.0,73.0,74.5,70.5,72.85,72.45,72.68,"22,10,000","16,06,20,500.00",891,"21,88,000",99.0
SKP,ST,14-07-2022,72.45,72.95,72.95,68.85,70.25,70.05,71.62,"4,06,000","2,90,76,700.00",157,"3,88,000",95.57
SKP,ST,15-07-2022,70.05,70.0,71.9,69.75,70.7,70.4,70.48,"1,14,000","80,34,200.00",53,"1,14,000",100.0
SKP,ST,18-07-2022,70.4,70.1,71.0,68.85,70.1,70.1,70.06,"2,02,000","1,41,52,200.00",68,"1,98,000",98.02
SKP,ST,19-07-2022,70.1,70.25,71.0,70.05,70.3,70.3,70.55,"48,000","33,86,300.00",24,"44,000",91.67
SKP,ST,20-07-2022,70.3,70.9,70.95,70.0,70.5,70.1,70.25,"62,000","43,55,800.00",29,"62,000",100.0
SKP,ST,21-07-2022,70.1,70.5,73.6,70.15,73.6,73.6,72.11,"2,04,000","1,47,10,100.00",85,"2,02,000",99.02
SKP,ST,22-07-2022,73.6,75.0,77.25,75.0,77.25,77.25,76.78,"1,30,000","99,81,800.00",64,"1,30,000",100.0
SKP,ST,25-07-2022,77.25,80.9,81.1,78.0,81.1,81.1,80.32,"2,48,000","1,99,18,600.00",118,"2,40,000",96.77
SKP,ST,26-07-2022,81.1,83.6,85.15,80.25,85.15,85.15,84.24,"1,02,000","85,92,100.00",51,"96,000",94.12
SKP,SM,27-07-2022,85.15,83.1,98.0,83.1,97.0,97.3,92.5,"3,08,000","2,84,89,500.00",151,"1,96,000",63.64
SKP,SM,28-07-2022,97.3,96.85,103.0,88.15,88.3,88.8,94.88,"2,04,000","1,93,56,000.00",99,"1,44,000",70.59
SKP,SM,29-07-2022,88.8,88.8,90.25,84.95,86.0,87.5,87.05,"74,000","64,42,000.00",37,"56,000",75.68
SKP,SM,01-08-2022,87.5,88.0,90.0,81.55,85.9,85.95,85.66,"1,04,000","89,08,800.00",48,"54,000",51.92
SKP,SM,02-08-2022,85.95,84.05,84.05,80.3,81.5,81.55,82.04,"82,000","67,27,100.00",41,"52,000",63.41
SKP,SM,03-08-2022,81.55,81.5,81.5,77.75,77.75,77.8,79.2,"56,000","44,35,300.00",26,"38,000",67.86
SKP,SM,04-08-2022,77.8,82.9,82.9,77.45,77.5,77.65,79.06,"52,000","41,11,300.00",26,"36,000",69.23
SKP,SM,05-08-2022,77.65,82.95,82.95,77.2,79.1,79.8,80.02,"66,000","52,81,600.00",32,"30,000",45.45
SKP,SM,08-08-2022,79.8,80.0,87.75,79.05,86.85,86.65,85.17,"96,000","81,76,400.00",48,"64,000",66.67
