SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SLONE,ST,10-05-2024,79.0,118.5,119.45,112.6,112.6,112.6,115.87,"8,36,800","9,69,62,080.00",522,"8,30,400",99.24
SLONE,ST,13-05-2024,112.6,107.1,107.1,107.0,107.0,107.0,107.06,"22,400","23,98,080.00",13,"22,400",100.0
SLONE,ST,14-05-2024,107.0,101.65,101.65,101.65,101.65,101.65,101.65,"20,800","21,14,320.00",12,"20,800",100.0
SLONE,ST,15-05-2024,101.65,98.0,102.5,96.6,96.6,96.6,97.74,"3,50,400","3,42,49,600.00",184,"3,10,400",88.58
SLONE,ST,16-05-2024,96.6,91.8,92.5,91.8,91.8,91.8,91.82,"1,84,000","1,68,94,880.00",54,"1,80,800",98.26
SLONE,ST,17-05-2024,91.8,87.3,89.2,87.25,87.25,87.25,87.41,"84,800","74,12,240.00",47,"81,600",96.23
SLONE,ST,18-05-2024,87.25,82.9,91.6,82.9,91.6,91.6,86.02,"3,60,000","3,09,67,040.00",145,"2,68,800",74.67
SLONE,ST,21-05-2024,91.6,87.2,90.6,87.05,87.05,87.9,88.06,"1,79,200","1,57,81,200.00",110,"1,44,000",80.36
SLONE,ST,22-05-2024,87.9,83.7,92.25,83.5,91.0,91.8,87.17,"1,98,400","1,72,94,400.00",118,"1,45,600",73.39
SLONE,ST,23-05-2024,91.8,92.8,92.8,87.25,87.5,88.5,88.1,"96,000","84,57,680.00",58,"72,000",75.0
SLONE,ST,24-05-2024,88.5,88.0,89.0,84.6,87.85,87.1,86.41,"46,400","40,09,520.00",29,"40,000",86.21
SLONE,SM,27-05-2024,87.1,86.95,103.3,80.25,93.0,94.5,95.04,"4,59,200","4,36,43,280.00",282,"2,08,000",45.3
SLONE,SM,28-05-2024,94.5,96.1,96.1,90.1,91.6,90.85,92.76,"1,36,000","1,26,15,280.00",77,"99,200",72.94
SLONE,SM,29-05-2024,90.85,94.0,94.0,87.8,91.45,89.5,89.9,"68,800","61,85,360.00",42,"48,000",69.77
SLONE,SM,30-05-2024,89.5,89.25,92.0,89.0,89.0,90.5,90.14,"22,400","20,19,200.00",14,"17,600",78.57
SLONE,SM,31-05-2024,90.5,92.05,92.05,87.55,91.8,90.6,90.39,"43,200","39,04,720.00",25,"36,800",85.19
SLONE,SM,03-06-2024,90.6,94.55,95.0,88.7,88.7,89.15,90.36,"46,400","41,92,640.00",28,"30,400",65.52
SLONE,SM,04-06-2024,89.15,87.1,88.9,85.0,85.0,85.0,86.18,"46,400","39,98,960.00",28,"40,000",86.21
SLONE,SM,05-06-2024,85.0,86.0,96.75,85.1,91.5,89.95,92.12,"97,600","89,91,360.00",58,"44,800",45.9
SLONE,SM,06-06-2024,89.95,91.5,94.0,89.3,89.95,89.75,91.62,"33,600","30,78,560.00",20,"24,000",71.43
SLONE,SM,07-06-2024,89.75,89.6,93.75,89.6,91.0,91.5,91.54,"28,800","26,36,400.00",18,"17,600",61.11
SLONE,SM,10-06-2024,91.5,95.0,102.0,95.0,100.0,99.35,98.83,"1,53,600","1,51,80,160.00",93,"1,02,400",66.67
SLONE,SM,11-06-2024,99.35,104.3,104.3,100.3,100.55,101.4,102.17,"1,31,200","1,34,04,960.00",82,"76,800",58.54
SLONE,SM,12-06-2024,101.4,102.0,106.0,101.65,102.5,102.9,104.03,"83,200","86,55,200.00",50,"59,200",71.15
SLONE,SM,13-06-2024,102.9,104.75,104.8,101.05,102.2,101.6,102.63,"44,800","45,97,680.00",27,"28,800",64.29
SLONE,SM,14-06-2024,101.6,100.2,100.75,96.25,97.65,96.8,98.02,"62,400","61,16,160.00",38,"48,000",76.92
SLONE,SM,18-06-2024,96.8,96.0,99.0,95.0,97.5,97.3,97.43,"30,400","29,62,000.00",19,"22,400",73.68
