SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SMALLADD,EQ,18-12-2025,16.32,16.5,16.5,15.98,16.22,16.2,16.09,"64,276","10,34,053.06",54,"42,825",66.63
SMALLADD,EQ,19-12-2025,16.2,16.6,16.6,16.25,16.39,16.38,16.37,79408,13.0,63, 35333,44.5
SMALLADD,EQ,22-12-2025,16.38,16.71,16.71,16.51,16.51,16.51,16.56,19494,3.23,45, 4532,23.25
SMALLADD,EQ,23-12-2025,16.51,16.54,16.67,16.53,16.65,16.65,16.57,6030,1.0,23, 4276,70.91
SMALLADD,EQ,24-12-2025,16.65,16.7,16.7,16.62,16.7,16.64,16.66,11882,1.98,26, 11881,99.99
SMALLADD,EQ,26-12-2025,16.64,16.64,16.7,16.61,16.67,16.66,16.67,1904,0.32,30, 1573,82.62
SMALLADD,EQ,29-12-2025,16.66,16.98,16.98,16.45,16.53,16.5,16.58,3178,0.53,48, 2293,72.15
SMALLADD,EQ,30-12-2025,16.5,16.58,16.58,16.4,16.56,16.52,16.5,10427,1.72,27, 8401,80.57
SMALLADD,EQ,31-12-2025,16.52,16.53,16.72,16.25,16.63,16.68,16.62,7109,1.18,39, 3998,56.24
SMALLADD,EQ,01-01-2026,16.68,16.72,16.72,16.6,16.68,16.68,16.65,3747,0.62,25, 3743,99.89
SMALLADD,EQ,02-01-2026,16.68,16.99,16.99,16.71,16.82,16.81,16.8,40357,6.78,42, 28203,69.88
SMALLADD,EQ,05-01-2026,16.81,17.15,17.15,16.74,16.82,16.83,16.82,30869,5.19,43, 29887, 96.82
