SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SOFTTECH,ST,11-05-2018,80.0,88.0,92.4,84.0,-,92.4,86.9,"11,13,600","9,67,76,960.00",484,-,-
SOFTTECH,ST,14-05-2018,92.4,95.25,95.3,87.8,-,93.65,91.14,"3,74,400","3,41,22,800.00",167,-,-
SOFTTECH,ST,15-05-2018,93.65,89.2,91.5,89.0,-,89.0,89.15,"1,04,000","92,71,680.00",51,-,-
SOFTTECH,ST,16-05-2018,89.0,84.55,84.8,84.55,-,84.55,84.58,"32,000","27,06,560.00",20,-,-
SOFTTECH,ST,17-05-2018,84.55,80.35,85.5,80.35,-,82.1,82.21,"88,000","72,34,480.00",52,-,-
SOFTTECH,ST,18-05-2018,82.1,80.1,82.5,80.1,-,80.8,80.88,"32,000","25,88,240.00",19,-,-
SOFTTECH,ST,21-05-2018,80.8,84.0,84.75,81.5,-,82.0,83.3,"84,800","70,64,000.00",53,-,-
SOFTTECH,ST,22-05-2018,82.0,81.0,84.45,81.0,-,81.45,81.85,"19,200","15,71,440.00",11,-,-
SOFTTECH,ST,23-05-2018,81.45,81.0,82.85,80.0,-,80.0,80.78,"25,600","20,68,080.00",16,-,-
SOFTTECH,ST,24-05-2018,80.0,80.05,80.05,76.0,-,76.1,77.2,"32,000","24,70,320.00",20,-,-
SOFTTECH,SM,25-05-2018,76.1,72.5,73.0,72.0,72.00,72.0,72.18,"17,600","12,70,320.00",11,"12,800",72.73
SOFTTECH,SM,28-05-2018,72.0,70.5,72.0,70.0,71.50,71.5,70.6,"16,000","11,29,600.00",10,"14,400",90.00
SOFTTECH,SM,29-05-2018,71.5,70.0,70.0,65.6,67.05,67.05,68.2,"14,400","9,82,080.00",9,"9,600",66.67
SOFTTECH,SM,30-05-2018,67.05,68.5,78.0,68.5,77.45,77.45,72.08,"76,800","55,35,760.00",48,"12,800",16.67
SOFTTECH,SM,31-05-2018,77.45,76.0,76.25,68.5,70.00,70.0,74.71,"70,400","52,59,520.00",30,"11,200",15.91
SOFTTECH,SM,01-06-2018,70.0,68.0,71.8,66.5,66.50,66.5,70.74,"67,200","47,53,760.00",27,"11,200",16.67
SOFTTECH,SM,04-06-2018,66.5,67.0,67.4,65.0,65.00,65.1,66.58,"76,800","51,13,520.00",25,"24,000",31.25
SOFTTECH,SM,05-06-2018,65.1,65.0,66.25,63.0,64.50,64.5,64.94,"73,600","47,79,760.00",23,"14,400",19.57
SOFTTECH,SM,06-06-2018,64.5,66.0,66.4,63.0,66.40,65.45,64.45,"14,400","9,28,080.00",8,"12,800",88.89
SOFTTECH,SM,07-06-2018,65.45,65.0,65.0,64.3,64.30,64.3,64.83,"6,400","4,14,880.00",4,"6,400",100.00
SOFTTECH,SM,08-06-2018,64.3,64.7,65.0,64.0,64.00,64.25,64.46,"9,600","6,18,800.00",6,"9,600",100.00
SOFTTECH,SM,11-06-2018,64.25,62.5,63.0,62.0,62.00,62.0,62.43,"16,000","9,98,800.00",10,"16,000",100.00
SOFTTECH,SM,12-06-2018,62.0,62.0,62.0,61.0,62.00,62.0,61.83,"9,600","5,93,600.00",6,"9,600",100.00
SOFTTECH,SM,13-06-2018,62.0,62.05,62.05,61.0,61.00,61.05,61.54,"14,400","8,86,160.00",9,"14,400",100.00
SOFTTECH,SM,14-06-2018,61.05,60.2,60.2,56.05,58.50,58.5,58.39,"27,200","15,88,160.00",17,"25,600",94.12
SOFTTECH,SM,15-06-2018,58.5,61.4,61.4,56.1,56.25,57.1,57.85,"72,000","41,65,120.00",20,"68,800",95.56
SOFTTECH,SM,18-06-2018,57.1,56.0,58.9,56.0,58.90,58.55,57.9,"62,400","36,12,800.00",21,"57,600",92.31
SOFTTECH,SM,19-06-2018,58.55,59.9,68.15,59.4,60.00,60.85,62.04,"75,200","46,65,280.00",41,"62,400",82.98
SOFTTECH,SM,20-06-2018,60.85,61.0,62.0,57.0,58.00,58.0,58.38,"27,200","15,87,920.00",17,"27,200",100.00
SOFTTECH,SM,21-06-2018,58.0,58.0,63.5,58.0,61.10,61.1,61.63,"73,600","45,36,240.00",39,"60,800",82.61
SOFTTECH,SM,22-06-2018,61.1,61.0,62.5,61.0,61.00,61.0,61.65,"16,000","9,86,400.00",10,"16,000",100.00
SOFTTECH,SM,25-06-2018,61.0,59.5,59.5,58.0,58.00,58.05,58.24,"19,200","11,18,240.00",9,"19,200",100.00
SOFTTECH,SM,26-06-2018,58.05,60.0,60.0,58.5,60.00,59.65,59.4,"9,600","5,70,240.00",6,"8,000",83.33
SOFTTECH,SM,27-06-2018,59.65,58.0,59.0,57.5,58.90,58.8,58.29,"16,000","9,32,560.00",10,"14,400",90.00
SOFTTECH,SM,28-06-2018,58.8,60.5,60.5,57.5,57.50,57.5,59.75,"9,600","5,73,600.00",6,"9,600",100.00
SOFTTECH,SM,29-06-2018,57.5,58.1,59.5,58.1,58.10,58.1,58.66,"8,000","4,69,280.00",5,"6,400",80.00
SOFTTECH,SM,02-07-2018,58.1,57.1,57.8,56.5,57.80,57.8,57.2,"9,600","5,49,120.00",6,"9,600",100.00
SOFTTECH,SM,03-07-2018,57.8,57.5,62.0,57.5,58.30,58.3,59.33,"24,000","14,23,840.00",15,"16,000",66.67
SOFTTECH,SM,04-07-2018,58.3,59.0,59.0,57.4,57.40,57.4,58.2,"3,200","1,86,240.00",2,"3,200",100.00
SOFTTECH,SM,06-07-2018,57.4,57.0,57.0,55.1,55.10,55.1,56.18,"8,000","4,49,440.00",5,"8,000",100.00
SOFTTECH,SM,09-07-2018,55.1,57.1,57.2,55.0,56.00,56.0,55.99,"9,600","5,37,520.00",6,"6,400",66.67
SOFTTECH,SM,10-07-2018,56.0,56.3,56.3,53.4,54.50,54.5,54.98,"16,000","8,79,600.00",10,"14,400",90.00
SOFTTECH,SM,11-07-2018,54.5,54.0,55.0,50.5,55.00,55.0,53.49,"14,400","7,70,320.00",9,"12,800",88.89
SOFTTECH,SM,12-07-2018,55.0,56.9,57.5,56.9,57.50,57.5,57.2,"3,200","1,83,040.00",2,"3,200",100.00
SOFTTECH,SM,13-07-2018,57.5,57.75,57.75,55.5,56.00,56.0,56.08,"9,600","5,38,400.00",6,"8,000",83.33
SOFTTECH,SM,16-07-2018,56.0,56.6,56.6,56.0,56.00,56.0,56.18,"6,400","3,59,520.00",4,"6,400",100.00
SOFTTECH,SM,17-07-2018,56.0,53.45,54.5,53.45,54.50,54.5,54.15,"4,800","2,59,920.00",3,"3,200",66.67
SOFTTECH,SM,18-07-2018,54.5,53.05,56.1,53.05,55.00,54.5,54.73,"14,400","7,88,080.00",9,"11,200",77.78
SOFTTECH,SM,19-07-2018,54.5,55.0,55.0,54.5,54.50,54.5,54.75,"3,200","1,75,200.00",2,"3,200",100.00
SOFTTECH,SM,20-07-2018,54.5,57.4,57.4,57.4,57.40,57.4,57.4,"1,600","91,840.00",1,"1,600",100.00
SOFTTECH,SM,23-07-2018,57.4,56.1,56.1,56.1,56.10,56.1,56.1,"1,600","89,760.00",1,"1,600",100.00
SOFTTECH,SM,24-07-2018,56.1,55.5,63.5,55.5,63.50,63.5,60.77,"36,800","22,36,400.00",23,"32,000",86.96
SOFTTECH,SM,25-07-2018,63.5,62.0,62.0,60.0,60.00,60.0,61.0,"3,200","1,95,200.00",2,"3,200",100.00
SOFTTECH,SM,26-07-2018,60.0,60.0,60.0,58.5,60.00,59.95,59.6,"6,400","3,81,440.00",4,"4,800",75.00
SOFTTECH,SM,27-07-2018,59.95,62.75,62.75,59.0,61.75,61.75,61.17,"4,800","2,93,600.00",3,"3,200",66.67
SOFTTECH,SM,30-07-2018,61.75,62.95,63.0,62.95,63.00,63.0,62.99,"14,400","9,07,120.00",9,"12,800",88.89
SOFTTECH,SM,31-07-2018,63.0,63.95,63.95,62.0,63.00,63.0,63.17,"8,000","5,05,360.00",5,"6,400",80.00
SOFTTECH,SM,01-08-2018,63.0,62.5,62.5,62.5,62.50,62.5,62.5,"1,600","1,00,000.00",1,"1,600",100.00
SOFTTECH,SM,02-08-2018,62.5,61.0,63.0,61.0,63.00,63.0,62.0,"4,800","2,97,600.00",3,"4,800",100.00
SOFTTECH,SM,03-08-2018,63.0,62.8,63.9,62.8,63.90,63.9,63.2,"4,800","3,03,360.00",3,"4,800",100.00
SOFTTECH,SM,06-08-2018,63.9,65.3,67.9,64.5,67.50,67.5,66.43,"27,200","18,06,960.00",17,"24,000",88.24
SOFTTECH,SM,07-08-2018,67.5,67.5,67.5,65.5,66.90,66.9,66.55,"8,000","5,32,400.00",5,"8,000",100.00
SOFTTECH,SM,08-08-2018,66.9,65.5,65.5,64.1,64.10,64.1,64.8,"3,200","2,07,360.00",2,"3,200",100.00
SOFTTECH,SM,09-08-2018,64.1,64.5,64.5,64.5,64.50,64.5,64.5,"3,200","2,06,400.00",2,"3,200",100.00
SOFTTECH,SM,10-08-2018,64.5,62.0,65.0,62.0,65.00,65.0,63.25,"6,400","4,04,800.00",4,"4,800",75.00
SOFTTECH,SM,13-08-2018,65.0,63.0,63.0,62.0,62.00,62.0,62.75,"6,400","4,01,600.00",4,"6,400",100.00
SOFTTECH,SM,14-08-2018,62.0,63.85,63.85,63.85,63.85,63.85,63.85,"1,600","1,02,160.00",1,"1,600",100.00
SOFTTECH,SM,16-08-2018,63.85,63.05,63.85,63.0,63.00,63.0,63.35,"6,400","4,05,440.00",4,"4,800",75.00
SOFTTECH,SM,17-08-2018,63.0,63.3,63.3,63.3,63.30,63.3,63.3,"1,600","1,01,280.00",1,"1,600",100.00
SOFTTECH,SM,20-08-2018,63.3,62.0,62.0,62.0,62.00,62.0,62.0,"1,600","99,200.00",1,"1,600",100.00
SOFTTECH,SM,21-08-2018,62.0,63.95,64.0,63.6,63.60,63.6,63.73,"9,600","6,11,760.00",6,"8,000",83.33
SOFTTECH,SM,23-08-2018,63.6,66.0,66.0,63.0,63.00,63.0,64.17,"4,800","3,08,000.00",3,"4,800",100.00
SOFTTECH,SM,24-08-2018,63.0,63.5,65.4,63.5,65.40,65.4,64.63,"9,600","6,20,480.00",6,"9,600",100.00
SOFTTECH,SM,27-08-2018,65.4,66.0,66.25,63.4,65.95,65.95,65.26,"22,400","14,61,840.00",14,"19,200",85.71
SOFTTECH,SM,28-08-2018,65.95,61.0,65.95,61.0,64.85,64.85,63.96,"8,000","5,11,680.00",5,"4,800",60.00
SOFTTECH,SM,29-08-2018,64.85,62.1,64.5,60.0,60.00,60.7,61.82,"20,800","12,85,760.00",11,"20,800",100.00
SOFTTECH,SM,30-08-2018,60.7,60.0,63.0,60.0,63.00,63.0,61.98,"4,800","2,97,520.00",3,"4,800",100.00
SOFTTECH,SM,03-09-2018,63.0,64.8,65.0,60.25,60.25,60.25,62.72,"17,600","11,03,920.00",11,"14,400",81.82
