SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SONUINFRA,ST,13-05-2022,36.0,36.0,37.8,36.0,37.8,37.6,37.13,"8,34,000","3,09,66,300.00",228,"8,22,000",98.56
SONUINFRA,ST,16-05-2022,37.6,37.5,37.5,35.75,35.75,35.75,36.1,"3,06,000","1,10,47,950.00",88,"3,00,000",98.04
SONUINFRA,ST,17-05-2022,35.75,34.0,35.75,34.0,35.65,35.05,34.04,"4,02,000","1,36,83,450.00",68,"3,81,000",94.78
SONUINFRA,ST,18-05-2022,35.05,35.4,35.4,33.3,33.5,33.5,33.84,"1,02,000","34,51,200.00",33,"99,000",97.06
SONUINFRA,ST,19-05-2022,33.5,31.85,31.85,31.85,31.85,31.85,31.85,"21,000","6,68,850.00",7,"21,000",100.0
SONUINFRA,ST,20-05-2022,31.85,30.3,30.3,30.3,30.3,30.3,30.3,"24,000","7,27,200.00",8,"24,000",100.0
SONUINFRA,ST,23-05-2022,30.3,28.8,28.8,28.8,28.8,28.8,28.8,"21,000","6,04,800.00",7,"21,000",100.0
SONUINFRA,ST,24-05-2022,28.8,27.4,27.4,27.4,27.4,27.4,27.4,"45,000","12,33,000.00",15,"45,000",100.0
SONUINFRA,ST,25-05-2022,27.4,26.05,26.05,26.05,26.05,26.05,26.05,"9,000","2,34,450.00",3,"9,000",100.0
SONUINFRA,ST,26-05-2022,26.05,24.75,24.75,24.75,24.75,24.75,24.75,"12,000","2,97,000.00",4,"12,000",100.0
SONUINFRA,SM,27-05-2022,24.75,20.4,26.5,20.4,23.65,23.6,22.91,"3,09,000","70,78,500.00",99,"1,86,000",60.19
SONUINFRA,SM,30-05-2022,23.6,23.5,26.4,23.5,25.0,25.05,24.77,"1,29,000","31,95,750.00",41,"96,000",74.42
SONUINFRA,SM,31-05-2022,25.05,26.45,26.45,24.05,24.85,24.85,24.81,"60,000","14,88,450.00",20,"36,000",60.0
