SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SOUTHBANK,EQ,14-12-1998,32.0,25.25,25.25,23.25,23.25,23.25,23.46,"2,900","68,025.00",-,-,-
SOUTHBANK,EQ,15-12-1998,23.25,21.45,21.45,21.4,21.4,21.4,21.4,"1,800","38,525.00",-,-,-
SOUTHBANK,EQ,16-12-1998,21.4,19.7,19.7,19.7,19.7,19.7,19.7,"5,500","1,08,350.00",-,-,-
SOUTHBANK,EQ,17-12-1998,19.7,17.5,19.55,17.5,18.25,18.25,18.44,"11,400","2,10,160.00",-,-,-
SOUTHBANK,EQ,18-12-1998,18.25,18.55,19.75,18.45,19.5,19.5,19.14,"5,300","1,01,425.00",-,-,-
SOUTHBANK,EQ,21-12-1998,19.5,20.0,20.5,18.6,19.7,19.7,19.97,"7,100","1,41,760.00",-,-,-
SOUTHBANK,EQ,22-12-1998,19.7,20.0,20.2,18.6,19.55,19.55,19.29,"15,700","3,02,910.00",-,-,-
SOUTHBANK,EQ,23-12-1998,19.55,19.8,19.8,19.5,19.8,19.8,19.76,"2,700","53,365.00",-,-,-
SOUTHBANK,EQ,24-12-1998,19.8,19.05,19.85,19.05,19.1,19.1,19.29,"1,700","32,785.00",-,-,-
SOUTHBANK,EQ,28-12-1998,19.1,19.25,19.25,18.8,19.1,19.1,19.01,"3,800","72,235.00",-,-,-
SOUTHBANK,EQ,29-12-1998,19.1,18.0,19.25,18.0,18.75,18.75,18.86,"3,100","58,475.00",-,-,-
SOUTHBANK,EQ,30-12-1998,18.75,19.7,20.5,19.7,20.35,20.35,20.07,"11,200","2,24,775.00",-,-,-
SOUTHBANK,EQ,31-12-1998,20.35,20.5,21.0,19.75,19.75,19.75,20.38,"7,200","1,46,725.00",-,-,-
SOUTHBANK,EQ,01-01-1999,19.75,19.75,19.9,19.7,19.7,19.7,19.76,"3,400","67,200.00",-,-,-
SOUTHBANK,EQ,04-01-1999,19.7,19.9,20.0,19.5,19.5,19.5,19.72,"6,700","1,32,135.00",-,-,-
SOUTHBANK,EQ,05-01-1999,19.5,18.7,20.8,18.7,20.7,20.7,20.12,"18,200","3,66,120.00",-,-,-
SOUTHBANK,EQ,06-01-1999,20.7,20.1,20.95,20.1,20.95,20.95,20.56,"5,500","1,13,100.00",-,-,-
SOUTHBANK,EQ,07-01-1999,20.95,20.95,21.6,20.1,20.4,20.4,21.13,"22,400","4,73,330.00",-,-,-
SOUTHBANK,EQ,08-01-1999,20.4,21.0,21.4,20.5,21.2,21.2,21.04,"12,500","2,62,990.00",-,-,-
SOUTHBANK,EQ,11-01-1999,21.2,21.4,22.0,20.55,20.95,20.95,21.05,"8,100","1,70,545.00",-,-,-
SOUTHBANK,EQ,12-01-1999,20.95,20.25,21.4,20.0,20.75,20.75,20.63,"9,300","1,91,855.00",-,-,-
SOUTHBANK,EQ,13-01-1999,20.75,21.15,21.25,20.5,20.7,20.7,20.83,"2,300","47,920.00",-,-,-
SOUTHBANK,EQ,14-01-1999,20.7,19.5,21.0,19.3,20.1,20.1,20.18,"3,000","60,525.00",-,-,-
SOUTHBANK,EQ,15-01-1999,20.1,20.0,20.15,19.9,20.1,20.1,20.0,"3,100","62,010.00",-,-,-
SOUTHBANK,EQ,18-01-1999,20.1,19.5,19.7,19.35,19.35,19.35,19.5,"2,100","40,950.00",-,-,-
SOUTHBANK,EQ,19-01-1999,19.35,19.5,19.6,18.5,18.5,18.5,18.99,"5,400","1,02,530.00",-,-,-
SOUTHBANK,EQ,21-01-1999,18.5,18.6,19.25,18.5,18.85,18.85,18.9,"2,600","49,130.00",-,-,-
SOUTHBANK,EQ,22-01-1999,18.85,18.6,19.35,18.5,19.35,19.35,19.1,"4,600","87,845.00",-,-,-
SOUTHBANK,EQ,25-01-1999,19.35,18.75,18.95,18.0,18.0,18.0,18.3,"3,800","69,535.00",-,-,-
SOUTHBANK,EQ,27-01-1999,18.0,18.5,19.0,18.35,18.35,18.35,18.43,"2,800","51,615.00",-,-,-
SOUTHBANK,EQ,28-01-1999,18.35,18.5,18.5,18.0,18.2,18.2,18.26,"2,700","49,290.00",-,-,-
SOUTHBANK,EQ,29-01-1999,18.2,17.55,18.5,17.5,18.5,18.5,18.14,"2,400","43,535.00",-,-,-
SOUTHBANK,EQ,01-02-1999,18.5,18.5,18.85,18.1,18.5,18.5,18.51,"3,400","62,945.00",-,-,-
SOUTHBANK,EQ,02-02-1999,18.5,17.55,18.5,17.5,17.7,17.7,17.95,"5,500","98,705.00",-,-,-
SOUTHBANK,EQ,03-02-1999,17.7,20.0,20.0,16.5,16.9,16.9,17.36,"6,500","1,12,830.00",-,-,-
SOUTHBANK,EQ,04-02-1999,16.9,16.5,17.35,16.5,16.8,16.8,16.94,"6,500","1,10,125.00",-,-,-
SOUTHBANK,EQ,05-02-1999,16.8,17.05,17.05,16.6,16.9,16.9,16.86,"2,200","37,090.00",-,-,-
SOUTHBANK,EQ,08-02-1999,16.9,16.9,16.9,16.0,16.1,16.1,16.31,"3,800","61,975.00",-,-,-
SOUTHBANK,EQ,09-02-1999,16.1,16.0,17.0,14.65,16.25,16.25,15.77,"4,200","66,250.00",-,-,-
SOUTHBANK,EQ,10-02-1999,16.25,16.0,16.5,16.0,16.5,16.5,16.26,"2,000","32,525.00",-,-,-
SOUTHBANK,EQ,11-02-1999,16.5,15.1,17.5,15.1,16.5,16.5,16.54,"2,400","39,685.00",-,-,-
SOUTHBANK,EQ,12-02-1999,16.5,15.75,16.6,15.75,16.5,16.5,16.37,"2,000","32,740.00",-,-,-
SOUTHBANK,EQ,15-02-1999,16.5,15.75,16.0,15.25,16.0,16.0,15.72,"2,200","34,585.00",-,-,-
SOUTHBANK,EQ,16-02-1999,16.0,15.0,16.0,15.0,15.5,15.5,15.63,"2,400","37,515.00",-,-,-
SOUTHBANK,EQ,17-02-1999,15.5,15.5,16.5,15.25,15.75,15.75,16.0,"9,000","1,44,015.00",-,-,-
SOUTHBANK,EQ,18-02-1999,15.75,15.5,16.0,15.5,16.0,16.0,15.71,"1,700","26,705.00",-,-,-
SOUTHBANK,EQ,19-02-1999,16.0,15.25,16.0,15.25,16.0,16.0,15.93,"2,200","35,050.00",-,-,-
SOUTHBANK,EQ,22-02-1999,16.0,16.0,16.0,15.6,15.6,15.6,15.72,600,"9,430.00",-,-,-
SOUTHBANK,EQ,23-02-1999,15.6,15.0,15.15,14.85,15.0,15.0,15.0,"1,400","21,000.00",-,-,-
SOUTHBANK,EQ,24-02-1999,15.0,16.1,16.1,15.75,15.75,15.75,15.97,300,"4,790.00",-,-,-
SOUTHBANK,EQ,25-02-1999,15.75,13.6,16.5,13.6,16.4,16.4,15.76,900,"14,180.00",-,-,-
SOUTHBANK,EQ,26-02-1999,16.4,16.25,16.25,16.05,16.1,16.1,16.21,"1,000","16,205.00",-,-,-
SOUTHBANK,EQ,27-02-1999,16.1,16.7,17.25,16.5,16.5,16.5,16.87,"1,900","32,060.00",-,-,-
SOUTHBANK,EQ,01-03-1999,16.5,16.9,18.0,16.9,17.25,17.25,17.46,"3,500","61,125.00",-,-,-
SOUTHBANK,EQ,03-03-1999,17.25,21.15,21.5,19.0,21.25,21.25,20.87,"17,800","3,71,425.00",-,-,-
SOUTHBANK,EQ,04-03-1999,21.25,21.0,21.0,19.55,20.05,20.05,20.01,"14,200","2,84,090.00",-,-,-
SOUTHBANK,EQ,05-03-1999,20.05,19.2,21.25,19.05,20.5,20.5,20.42,"23,000","4,69,755.00",-,-,-
SOUTHBANK,EQ,08-03-1999,20.5,20.1,20.95,19.65,19.75,19.75,20.41,"18,900","3,85,800.00",-,-,-
SOUTHBANK,EQ,09-03-1999,19.75,20.5,20.5,18.05,18.3,18.3,18.96,"9,900","1,87,700.00",-,-,-
SOUTHBANK,EQ,10-03-1999,18.3,18.1,19.0,18.1,18.5,18.5,18.5,"3,600","66,585.00",-,-,-
SOUTHBANK,EQ,11-03-1999,18.5,18.0,18.25,17.75,17.75,17.75,17.97,"1,800","32,350.00",-,-,-
SOUTHBANK,EQ,12-03-1999,17.75,16.75,18.45,16.6,18.45,18.45,17.96,"3,000","53,865.00",-,-,-
SOUTHBANK,EQ,15-03-1999,18.45,17.55,18.15,17.5,18.1,18.1,18.0,"4,100","73,780.00",-,-,-
SOUTHBANK,EQ,16-03-1999,18.1,18.0,18.1,17.4,17.55,17.55,17.92,"8,300","1,48,745.00",-,-,-
SOUTHBANK,EQ,17-03-1999,17.55,17.5,18.25,17.0,18.0,18.0,17.92,"1,900","34,055.00",-,-,-
SOUTHBANK,EQ,18-03-1999,18.0,17.0,18.0,17.0,17.75,17.75,17.65,"1,000","17,650.00",-,-,-
SOUTHBANK,EQ,19-03-1999,17.75,18.0,18.1,18.0,18.1,18.1,18.06,"2,100","37,920.00",-,-,-
SOUTHBANK,EQ,20-03-1999,18.1,17.5,18.0,17.5,18.0,18.0,17.9,500,"8,950.00",-,-,-
SOUTHBANK,EQ,22-03-1999,18.0,17.35,17.35,15.2,15.75,15.75,16.34,"8,000","1,30,745.00",-,-,-
SOUTHBANK,EQ,23-03-1999,15.75,16.1,16.4,15.0,15.8,15.8,15.54,"15,900","2,47,035.00",-,-,-
SOUTHBANK,EQ,24-03-1999,15.8,17.45,17.45,16.25,17.35,17.35,17.01,"1,300","22,115.00",-,-,-
SOUTHBANK,EQ,25-03-1999,17.35,17.2,17.5,16.55,17.15,17.15,16.85,"9,400","1,58,395.00",-,-,-
SOUTHBANK,EQ,26-03-1999,17.15,16.6,17.0,16.6,17.0,17.0,16.8,200,"3,360.00",-,-,-
SOUTHBANK,EQ,30-03-1999,17.0,17.45,18.0,16.0,16.0,16.0,16.97,"7,300","1,23,905.00",-,-,-
SOUTHBANK,EQ,31-03-1999,16.0,17.5,17.5,16.6,16.6,16.6,16.8,"1,700","28,565.00",-,-,-
SOUTHBANK,EQ,01-04-1999,16.6,16.6,16.95,16.45,16.95,16.95,16.56,"4,200","69,555.00",-,-,-
SOUTHBANK,EQ,05-04-1999,16.95,15.75,15.95,15.0,15.95,15.95,15.5,"8,400","1,30,195.00",-,-,-
SOUTHBANK,EQ,06-04-1999,15.95,15.5,16.0,15.5,16.0,16.0,15.54,"7,700","1,19,640.00",-,-,-
SOUTHBANK,EQ,07-04-1999,16.0,15.7,16.25,15.7,16.25,16.25,16.03,500,"8,015.00",-,-,-
SOUTHBANK,EQ,08-04-1999,16.25,16.25,16.55,16.0,16.25,16.25,16.09,"2,000","32,175.00",-,-,-
SOUTHBANK,EQ,09-04-1999,16.25,15.75,16.2,15.75,16.0,16.0,16.0,"2,800","44,800.00",-,-,-
SOUTHBANK,EQ,12-04-1999,16.0,15.9,16.0,15.7,16.0,16.0,15.88,800,"12,705.00",-,-,-
