SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SPECIALITY,BE,30-05-2012,150.0,152.0,159.6,152.0,159.6,159.6,156.53,"1,48,440","2,32,35,750.60",467,-,-
SPECIALITY,BE,31-05-2012,159.6,167.55,167.55,165.0,167.55,167.55,167.51,"94,748","1,58,70,935.15",338,-,-
SPECIALITY,BE,01-06-2012,167.55,175.9,175.9,161.25,167.0,167.4,170.76,"2,74,629","4,68,94,735.60","1,457",-,-
SPECIALITY,BE,04-06-2012,167.4,174.7,174.7,160.3,165.95,165.05,165.0,"94,847","1,56,50,150.25",525,-,-
SPECIALITY,BE,05-06-2012,165.05,166.0,173.3,164.05,172.0,172.5,170.34,"1,22,425","2,08,53,595.45",951,-,-
SPECIALITY,BE,06-06-2012,172.5,175.0,181.1,172.25,180.0,180.9,179.57,"1,22,286","2,19,58,775.20","1,103",-,-
SPECIALITY,BE,07-06-2012,180.9,187.3,187.3,173.0,173.0,174.7,176.73,"52,118","92,10,658.15",585,-,-
SPECIALITY,BE,08-06-2012,174.7,175.0,183.4,170.0,183.4,182.45,179.76,"68,400","1,22,95,461.00",619,-,-
SPECIALITY,BE,11-06-2012,182.45,190.0,191.55,184.1,191.55,191.55,191.22,"1,32,072","2,52,54,680.65",726,-,-
SPECIALITY,BE,12-06-2012,191.55,197.3,201.1,187.0,200.0,199.45,195.77,"1,49,838","2,93,34,141.90","1,594",-,-
SPECIALITY,EQ,13-06-2012,199.45,205.5,227.0,197.6,217.95,217.85,216.28,"12,18,053","26,34,40,031.75","25,243","2,27,243",18.66
SPECIALITY,EQ,14-06-2012,217.85,222.6,226.8,211.0,213.4,213.6,218.62,"6,40,266","13,99,75,448.10","13,487","1,32,544",20.70
SPECIALITY,EQ,15-06-2012,213.6,215.6,216.95,199.25,205.0,203.8,206.82,"4,73,590","9,79,50,223.25","10,111","72,727",15.36
SPECIALITY,EQ,18-06-2012,203.8,207.2,216.0,200.2,208.5,206.65,209.58,"4,13,682","8,67,00,600.35","8,607","74,025",17.89
SPECIALITY,EQ,19-06-2012,206.65,207.0,212.7,204.4,207.45,207.7,207.29,"3,53,158","7,32,04,898.90","5,413","48,894",13.84
SPECIALITY,EQ,20-06-2012,207.7,205.75,209.8,204.0,207.9,207.45,207.07,"1,18,353","2,45,07,527.75","3,056","34,747",29.36
SPECIALITY,EQ,21-06-2012,207.45,208.4,219.9,205.55,211.0,210.35,213.28,"4,37,394","9,32,86,226.45","10,270","1,16,512",26.64
SPECIALITY,EQ,22-06-2012,210.35,207.95,215.55,206.1,213.0,213.25,212.32,"3,67,447","7,80,15,699.15","5,203","1,82,289",49.61
SPECIALITY,EQ,25-06-2012,213.25,210.0,219.55,210.0,219.3,218.55,217.4,"4,46,422","9,70,53,359.25","10,021","1,77,767",39.82
SPECIALITY,EQ,26-06-2012,218.55,219.8,223.8,216.1,218.8,219.7,220.04,"3,26,993","7,19,52,036.05","7,450","1,65,816",50.71
SPECIALITY,EQ,27-06-2012,219.7,220.95,220.95,212.0,213.85,213.85,215.38,"1,45,152","3,12,62,833.50","3,400","47,069",32.43
SPECIALITY,EQ,28-06-2012,213.85,214.55,218.5,212.1,212.6,213.05,215.0,"89,750","1,92,96,024.10","2,028","26,491",29.52
SPECIALITY,EQ,29-06-2012,213.05,215.4,218.9,207.1,208.0,209.75,212.84,"1,40,843","2,99,77,333.15","2,498","83,796",59.50
SPECIALITY,EQ,02-07-2012,209.75,214.7,214.7,203.0,205.0,204.15,207.53,"1,48,433","3,08,03,686.35","3,008","72,203",48.64
SPECIALITY,EQ,03-07-2012,204.15,206.95,213.7,205.0,212.0,211.9,211.37,"2,85,722","6,03,94,062.00","5,113","1,56,439",54.75
SPECIALITY,EQ,04-07-2012,211.9,213.75,219.5,212.5,217.0,218.15,217.32,"5,22,724","11,35,99,954.25","9,880","3,24,512",62.08
SPECIALITY,EQ,05-07-2012,218.15,219.0,225.85,216.25,218.0,219.3,222.14,"3,07,931","6,84,03,613.85","4,901","1,19,360",38.76
SPECIALITY,EQ,06-07-2012,219.3,220.0,220.8,214.25,217.9,215.65,216.73,"84,944","1,84,10,333.35","1,713","33,500",39.44
SPECIALITY,EQ,09-07-2012,215.65,215.95,216.9,211.0,212.0,212.35,213.1,"64,991","1,38,49,436.90","1,391","27,526",42.35
SPECIALITY,EQ,10-07-2012,212.35,213.8,216.5,209.6,209.8,210.5,212.21,"1,05,096","2,23,01,988.85","2,322","46,711",44.45
SPECIALITY,EQ,11-07-2012,210.5,211.3,215.95,208.05,210.5,209.45,211.58,"1,28,206","2,71,25,528.35","3,033","52,563",41.00
SPECIALITY,EQ,12-07-2012,209.45,209.4,211.7,207.0,209.5,208.95,209.31,"57,854","1,21,09,195.05","1,242","24,993",43.20
SPECIALITY,EQ,13-07-2012,208.95,210.0,216.0,207.5,208.0,207.95,211.02,"1,19,828","2,52,85,521.20","2,280","45,005",37.56
SPECIALITY,EQ,16-07-2012,207.95,209.9,210.0,201.35,201.8,202.4,205.23,"1,17,203","2,40,53,966.55","2,047","74,100",63.22
SPECIALITY,EQ,17-07-2012,202.4,205.3,205.3,187.05,192.0,191.2,192.52,"4,98,067","9,58,87,251.30","6,540","2,96,697",59.57
SPECIALITY,EQ,18-07-2012,191.2,191.05,194.3,188.0,192.75,192.2,191.43,"1,83,623","3,51,51,822.05","2,663","1,05,227",57.31
SPECIALITY,EQ,19-07-2012,192.2,193.1,194.4,188.55,190.85,190.85,190.6,"1,38,850","2,64,64,655.40","2,402","96,611",69.58
SPECIALITY,EQ,20-07-2012,190.85,191.0,191.0,183.3,184.55,186.7,187.09,"1,01,779","1,90,41,521.50","1,529","53,242",52.31
SPECIALITY,EQ,23-07-2012,186.7,186.4,192.95,182.6,183.0,183.35,188.37,"1,71,692","3,23,41,137.70","3,354","73,144",42.60
SPECIALITY,EQ,24-07-2012,183.35,184.55,190.0,181.0,189.0,188.1,184.72,"1,37,585","2,54,15,103.85","2,455","79,483",57.77
SPECIALITY,EQ,25-07-2012,188.1,188.3,189.6,181.65,183.5,182.8,184.09,"1,05,454","1,94,12,670.85","1,371","72,818",69.05
SPECIALITY,EQ,26-07-2012,182.8,182.8,185.8,177.0,181.25,180.15,181.71,"1,13,008","2,05,34,875.55","2,626","53,272",47.14
SPECIALITY,EQ,27-07-2012,180.15,182.5,185.0,178.1,181.6,181.0,181.88,"76,649","1,39,41,046.95","1,172","52,037",67.89
SPECIALITY,EQ,30-07-2012,181.0,183.15,185.65,178.15,182.1,183.15,183.05,"70,830","1,29,65,474.60","1,236","42,160",59.52
SPECIALITY,EQ,31-07-2012,183.15,181.35,184.5,180.0,181.0,180.5,181.5,"44,602","80,95,176.30",982,"22,470",50.38
SPECIALITY,EQ,01-08-2012,180.5,180.5,195.8,180.25,190.7,190.9,189.98,"2,03,970","3,87,49,825.70","4,131","71,992",35.30
SPECIALITY,EQ,02-08-2012,190.9,194.4,194.4,179.45,181.25,181.45,184.84,"1,77,523","3,28,13,989.35","3,173","1,04,681",58.97
SPECIALITY,EQ,03-08-2012,181.45,180.0,181.95,175.5,176.25,176.25,177.43,"1,55,748","2,76,34,498.95","3,013","1,01,374",65.09
SPECIALITY,EQ,06-08-2012,176.25,179.85,186.85,178.0,179.7,179.7,181.96,"1,32,745","2,41,53,757.60","1,624","78,821",59.38
SPECIALITY,EQ,07-08-2012,179.7,180.7,181.75,174.6,174.8,175.6,177.6,"1,29,629","2,30,21,512.65","2,211","89,706",69.20
SPECIALITY,EQ,08-08-2012,175.6,176.0,176.8,168.1,175.4,175.05,172.09,"2,20,518","3,79,48,742.25","4,455","98,754",44.78
SPECIALITY,EQ,09-08-2012,175.05,177.4,181.95,175.75,179.0,177.8,179.25,"1,90,515","3,41,50,540.20","4,203","59,038",30.99
SPECIALITY,EQ,10-08-2012,177.8,178.0,179.8,175.3,177.55,177.5,177.56,"43,993","78,11,533.40","1,111","24,883",56.56
SPECIALITY,EQ,13-08-2012,177.5,178.4,180.95,174.2,177.0,176.45,177.42,"53,106","94,22,115.40","1,200","30,141",56.76
SPECIALITY,EQ,14-08-2012,176.45,179.7,179.7,172.0,172.45,172.9,173.47,"51,612","89,52,916.15","1,347","29,972",58.07
SPECIALITY,EQ,16-08-2012,172.9,174.35,177.3,171.45,171.6,172.2,174.04,"49,601","86,32,492.70","1,038","20,326",40.98
SPECIALITY,EQ,17-08-2012,172.2,173.4,176.25,171.4,172.0,171.8,173.41,"47,346","82,10,489.60",982,"21,573",45.56
