SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUBHASPROJ,EQ,01-01-1996,191.05,190.0,192.0,190.0,-,192.0,190.5,"1,000","1,90,500.00",-,-,-
SUBHASPROJ,EQ,02-01-1996,192.00,190.0,197.0,183.25,-,184.15,192.46,"1,900","3,65,670.00",-,-,-
SUBHASPROJ,EQ,03-01-1996,184.15,185.0,185.0,182.5,-,182.5,184.76,"1,100","2,03,240.00",-,-,-
SUBHASPROJ,EQ,04-01-1996,182.50,180.05,182.0,180.0,-,182.0,180.3,700,"1,26,210.00",-,-,-
SUBHASPROJ,EQ,05-01-1996,182.00,180.0,180.0,180.0,-,180.0,180.0,900,"1,62,000.00",-,-,-
SUBHASPROJ,EQ,08-01-1996,180.00,180.0,180.0,180.0,-,180.0,180.0,"2,100","3,78,000.00",-,-,-
SUBHASPROJ,EQ,09-01-1996,180.00,175.0,175.0,165.0,-,170.0,170.86,"2,800","4,78,395.00",-,-,-
SUBHASPROJ,EQ,10-01-1996,170.00,178.0,178.0,160.0,-,161.0,165.0,500,"82,500.00",-,-,-
SUBHASPROJ,EQ,11-01-1996,161.00,162.0,162.5,162.0,-,162.5,162.25,200,"32,450.00",-,-,-
SUBHASPROJ,EQ,12-01-1996,162.50,160.5,167.0,159.5,-,166.0,163.17,"4,800","7,83,235.00",-,-,-
SUBHASPROJ,EQ,15-01-1996,166.00,166.0,167.9,162.1,-,164.0,164.37,"1,900","3,12,310.00",-,-,-
SUBHASPROJ,EQ,16-01-1996,164.00,164.0,166.95,162.0,-,164.9,163.29,"4,100","6,69,490.00",-,-,-
SUBHASPROJ,EQ,17-01-1996,164.90,164.9,166.0,160.0,-,160.0,162.76,"3,700","6,02,210.00",-,-,-
SUBHASPROJ,EQ,18-01-1996,160.00,162.0,164.9,159.0,-,164.9,160.88,"1,800","2,89,590.00",-,-,-
SUBHASPROJ,EQ,19-01-1996,164.90,165.9,165.9,160.75,-,162.0,161.44,"1,500","2,42,165.00",-,-,-
SUBHASPROJ,EQ,22-01-1996,162.00,165.0,165.0,161.0,-,161.0,162.29,700,"1,13,600.00",-,-,-
SUBHASPROJ,EQ,23-01-1996,161.00,161.0,170.0,162.05,-,164.0,167.77,"6,200","10,40,170.00",-,-,-
SUBHASPROJ,EQ,24-01-1996,164.00,155.0,162.0,155.0,-,155.0,156.76,400,"62,705.00",-,-,-
SUBHASPROJ,EQ,25-01-1996,155.00,155.0,150.0,146.25,-,146.25,147.75,300,"44,325.00",-,-,-
SUBHASPROJ,EQ,29-01-1996,146.25,146.25,145.0,142.0,-,145.0,144.56,900,"1,30,100.00",-,-,-
SUBHASPROJ,EQ,30-01-1996,145.00,145.0,157.0,146.0,-,146.0,147.76,"2,100","3,10,300.00",-,-,-
SUBHASPROJ,EQ,31-01-1996,146.00,148.0,150.0,148.0,-,150.0,149.0,300,"44,700.00",-,-,-
SUBHASPROJ,EQ,01-02-1996,150.00,156.95,156.95,149.0,-,149.0,150.2,"1,000","1,50,195.00",-,-,-
