SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STARPAPER,EQ,02-01-1996,47.00,46.0,46.5,46.0,-,46.5,46.4,500,"23,200.00",-,-,-
STARPAPER,EQ,08-01-1996,46.50,44.05,44.05,44.05,-,44.05,44.05,200,"8,810.00",-,-,-
STARPAPER,EQ,09-01-1996,44.05,44.35,44.35,44.35,-,44.35,44.35,100,"4,435.00",-,-,-
STARPAPER,EQ,10-01-1996,44.35,44.0,44.0,44.0,-,44.0,44.0,100,"4,400.00",-,-,-
STARPAPER,EQ,12-01-1996,44.00,44.5,44.5,44.5,-,44.5,44.5,100,"4,450.00",-,-,-
STARPAPER,EQ,15-01-1996,44.50,45.25,45.25,45.0,-,45.0,45.13,200,"9,025.00",-,-,-
STARPAPER,EQ,16-01-1996,45.00,44.5,44.5,42.5,-,42.5,43.5,200,"8,700.00",-,-,-
STARPAPER,EQ,29-01-1996,42.50,41.0,41.0,41.0,-,41.0,41.0,100,"4,100.00",-,-,-
STARPAPER,EQ,30-01-1996,41.00,40.1,40.1,40.1,-,40.1,40.1,100,"4,010.00",-,-,-
STARPAPER,EQ,02-02-1996,40.10,40.5,42.0,40.5,-,42.0,41.7,500,"20,850.00",-,-,-
STARPAPER,EQ,05-02-1996,42.00,42.0,42.0,40.5,-,41.0,41.01,"7,500","3,07,595.00",-,-,-
STARPAPER,EQ,06-02-1996,41.00,41.0,41.0,40.15,-,40.15,40.61,"1,600","64,975.00",-,-,-
STARPAPER,EQ,07-02-1996,40.15,40.55,40.55,40.0,-,40.0,40.32,"1,700","68,550.00",-,-,-
STARPAPER,EQ,13-02-1996,40.00,43.9,43.9,43.9,-,43.9,43.9,200,"8,780.00",-,-,-
STARPAPER,EQ,14-02-1996,43.90,44.0,44.0,44.0,-,44.0,44.0,500,"22,000.00",-,-,-
STARPAPER,EQ,15-02-1996,44.00,44.55,44.55,44.55,-,44.55,44.55,200,"8,910.00",-,-,-
STARPAPER,EQ,16-02-1996,44.55,44.55,45.0,44.55,-,45.0,44.96,"1,200","53,955.00",-,-,-
STARPAPER,EQ,19-02-1996,45.00,42.0,45.0,42.0,-,45.0,44.25,400,"17,700.00",-,-,-
STARPAPER,EQ,20-02-1996,45.00,43.5,43.5,43.5,-,43.5,43.5,300,"13,050.00",-,-,-
STARPAPER,EQ,22-02-1996,43.50,45.0,47.5,43.75,-,47.5,45.75,500,"22,875.00",-,-,-
STARPAPER,EQ,23-02-1996,47.50,46.05,46.1,46.0,-,46.1,46.05,300,"13,815.00",-,-,-
STARPAPER,EQ,26-02-1996,46.10,45.5,46.0,45.5,-,46.0,45.63,400,"18,250.00",-,-,-
STARPAPER,EQ,27-02-1996,46.00,47.0,47.75,47.0,-,47.3,47.27,500,"23,635.00",-,-,-
STARPAPER,EQ,28-02-1996,47.30,46.0,46.5,45.0,-,45.0,45.56,800,"36,450.00",-,-,-
STARPAPER,EQ,29-02-1996,45.00,46.0,46.0,45.0,-,45.0,45.5,400,"18,200.00",-,-,-
STARPAPER,EQ,06-03-1996,45.00,42.0,42.0,42.0,-,42.0,42.0,100,"4,200.00",-,-,-
STARPAPER,EQ,07-03-1996,42.00,40.0,40.5,38.5,-,40.5,39.58,"1,200","47,500.00",-,-,-
STARPAPER,EQ,11-03-1996,40.50,40.0,40.0,40.0,-,40.0,40.0,300,"12,000.00",-,-,-
STARPAPER,EQ,12-03-1996,40.00,39.5,39.5,39.5,-,39.5,39.5,300,"11,850.00",-,-,-
STARPAPER,EQ,15-03-1996,39.50,36.0,36.25,36.0,-,36.1,36.11,400,"14,445.00",-,-,-
STARPAPER,EQ,22-03-1996,36.10,34.0,34.0,34.0,-,34.0,34.0,800,"27,200.00",-,-,-
STARPAPER,EQ,25-03-1996,34.00,36.0,36.0,36.0,-,36.0,36.0,100,"3,600.00",-,-,-
STARPAPER,EQ,26-03-1996,36.00,35.25,35.25,35.0,-,35.0,35.17,300,"10,550.00",-,-,-
STARPAPER,EQ,27-03-1996,35.00,36.0,36.0,36.0,-,36.0,36.0,100,"3,600.00",-,-,-
STARPAPER,EQ,28-03-1996,36.00,36.0,36.5,36.0,-,36.5,36.25,200,"7,250.00",-,-,-
STARPAPER,EQ,02-04-1996,36.50,37.0,37.0,36.0,-,36.0,36.5,600,"21,900.00",-,-,-
STARPAPER,EQ,03-04-1996,36.00,37.5,37.5,36.0,-,36.0,36.34,600,"21,805.00",-,-,-
STARPAPER,EQ,08-04-1996,36.00,36.0,34.0,33.5,-,34.0,33.67,300,"10,100.00",-,-,-
STARPAPER,EQ,09-04-1996,34.00,36.0,36.0,33.5,-,33.5,34.1,500,"17,050.00",-,-,-
STARPAPER,EQ,10-04-1996,33.50,34.0,34.1,31.0,-,31.0,33.23,"2,100","69,785.00",-,-,-
STARPAPER,EQ,11-04-1996,31.00,32.0,32.95,32.0,-,32.95,32.7,"1,500","49,055.00",-,-,-
STARPAPER,EQ,12-04-1996,32.95,32.5,32.5,31.75,-,32.0,32.02,"1,300","41,625.00",-,-,-
STARPAPER,EQ,15-04-1996,32.00,32.5,32.5,32.05,-,32.5,32.34,700,"22,635.00",-,-,-
STARPAPER,EQ,16-04-1996,32.50,32.0,32.0,32.0,-,32.0,32.0,800,"25,600.00",-,-,-
STARPAPER,EQ,17-04-1996,32.00,33.0,33.0,33.0,-,33.0,33.0,"2,100","69,300.00",-,-,-
STARPAPER,EQ,18-04-1996,33.00,34.0,34.0,34.0,-,34.0,34.0,200,"6,800.00",-,-,-
STARPAPER,EQ,19-04-1996,34.00,34.0,36.5,35.5,-,36.4,36.2,500,"18,100.00",-,-,-
STARPAPER,EQ,22-04-1996,36.40,35.0,36.0,34.0,-,35.0,34.8,"1,000","34,800.00",-,-,-
STARPAPER,EQ,23-04-1996,35.00,34.0,34.0,34.0,-,34.0,34.0,100,"3,400.00",-,-,-
STARPAPER,EQ,24-04-1996,34.00,33.05,33.05,33.0,-,33.0,33.04,700,"23,125.00",-,-,-
STARPAPER,EQ,25-04-1996,33.00,33.0,33.0,32.0,-,32.0,32.58,"1,800","58,650.00",-,-,-
STARPAPER,EQ,26-04-1996,32.00,32.5,32.5,32.0,-,32.0,32.23,700,"22,560.00",-,-,-
STARPAPER,EQ,29-04-1996,32.00,33.5,33.5,33.0,-,33.5,33.33,300,"10,000.00",-,-,-
STARPAPER,EQ,30-04-1996,33.50,34.5,34.5,32.0,-,32.3,32.53,"2,600","84,565.00",-,-,-
STARPAPER,EQ,01-05-1996,32.30,32.55,32.55,32.55,-,32.55,32.55,100,"3,255.00",-,-,-
STARPAPER,EQ,02-05-1996,32.55,32.55,34.5,32.55,-,34.0,33.62,"1,300","43,700.00",-,-,-
STARPAPER,EQ,03-05-1996,34.00,33.0,33.0,31.0,-,31.0,32.02,600,"19,210.00",-,-,-
STARPAPER,EQ,06-05-1996,31.00,32.0,32.25,32.0,-,32.05,32.1,300,"9,630.00",-,-,-
STARPAPER,EQ,07-05-1996,32.05,32.05,34.45,32.05,-,34.45,32.91,500,"16,455.00",-,-,-
STARPAPER,EQ,08-05-1996,34.45,33.75,33.75,32.5,-,32.5,32.8,"1,100","36,075.00",-,-,-
STARPAPER,EQ,09-05-1996,32.50,32.0,32.0,29.5,-,30.0,31.07,"4,700","1,46,015.00",-,-,-
STARPAPER,EQ,10-05-1996,30.00,31.0,31.0,29.75,-,29.75,30.13,400,"12,050.00",-,-,-
STARPAPER,EQ,13-05-1996,29.75,29.75,30.0,30.0,-,30.0,30.0,"1,200","36,000.00",-,-,-
STARPAPER,EQ,14-05-1996,30.00,28.75,30.0,28.75,-,30.0,29.78,700,"20,845.00",-,-,-
STARPAPER,EQ,15-05-1996,30.00,30.25,30.25,30.0,-,30.2,30.15,600,"18,090.00",-,-,-
STARPAPER,EQ,16-05-1996,30.20,30.2,32.0,31.75,-,32.0,31.95,"3,100","99,055.00",-,-,-
STARPAPER,EQ,17-05-1996,32.00,31.95,32.0,31.95,-,32.0,31.96,600,"19,175.00",-,-,-
STARPAPER,EQ,20-05-1996,32.00,32.0,32.0,30.05,-,30.05,31.03,200,"6,205.00",-,-,-
STARPAPER,EQ,21-05-1996,30.05,30.05,30.0,28.05,-,29.0,28.44,"1,700","48,355.00",-,-,-
STARPAPER,EQ,22-05-1996,29.00,28.0,29.0,28.0,-,29.0,28.75,400,"11,500.00",-,-,-
STARPAPER,EQ,23-05-1996,29.00,31.8,31.8,31.8,-,31.8,31.8,100,"3,180.00",-,-,-
STARPAPER,EQ,24-05-1996,31.80,31.0,31.0,31.0,-,31.0,31.0,600,"18,600.00",-,-,-
STARPAPER,EQ,28-05-1996,31.00,29.9,29.9,29.05,-,29.9,29.76,600,"17,855.00",-,-,-
STARPAPER,EQ,29-05-1996,29.90,30.05,30.75,30.05,-,30.75,30.4,400,"12,160.00",-,-,-
STARPAPER,EQ,30-05-1996,30.75,30.0,30.0,29.95,-,29.95,29.99,700,"20,995.00",-,-,-
STARPAPER,EQ,31-05-1996,29.95,29.95,29.95,29.15,-,29.15,29.55,400,"11,820.00",-,-,-
STARPAPER,EQ,03-06-1996,29.15,30.0,30.5,30.0,-,30.0,30.13,800,"24,100.00",-,-,-
STARPAPER,EQ,04-06-1996,30.00,30.7,30.7,29.0,-,29.0,29.68,"1,900","56,395.00",-,-,-
STARPAPER,EQ,05-06-1996,29.00,29.5,30.0,29.5,-,30.0,29.75,200,"5,950.00",-,-,-
STARPAPER,EQ,07-06-1996,30.00,29.0,29.95,29.0,-,29.9,29.59,"1,900","56,215.00",-,-,-
STARPAPER,EQ,10-06-1996,29.90,30.5,30.75,27.75,-,27.75,29.88,400,"11,950.00",-,-,-
STARPAPER,EQ,11-06-1996,27.75,27.75,28.0,27.75,-,28.0,27.95,500,"13,975.00",-,-,-
STARPAPER,EQ,13-06-1996,28.00,27.75,27.75,27.0,-,27.0,27.09,"1,600","43,350.00",-,-,-
STARPAPER,EQ,14-06-1996,27.00,27.0,27.1,27.0,-,27.0,27.01,"5,000","1,35,070.00",-,-,-
STARPAPER,EQ,17-06-1996,27.00,29.0,29.0,28.0,-,28.0,28.29,700,"19,800.00",-,-,-
STARPAPER,EQ,18-06-1996,28.00,28.0,28.0,27.5,-,27.5,27.61,"2,700","74,535.00",-,-,-
