SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STARTECK,EQ,04-05-2022,136.0,152.95,163.2,140.0,163.2,163.2,154.25,"18,107","27,93,040.75",127,"7,089",39.15
STARTECK,EQ,05-05-2022,163.2,183.4,195.8,178.0,195.8,195.8,191.93,"1,48,606","2,85,21,723.25","4,136","50,621",34.06
STARTECK,EQ,06-05-2022,195.8,193.9,193.9,176.25,176.25,176.25,181.08,"77,060","1,39,53,939.60","1,249","31,322",40.65
STARTECK,EQ,09-05-2022,176.25,162.95,169.25,158.65,158.65,158.65,162.25,"10,565","17,14,202.15",226,"8,446",79.94
STARTECK,EQ,10-05-2022,158.65,146.35,152.15,142.8,142.8,142.8,145.13,"54,282","78,77,884.15",953,"17,497",32.23
STARTECK,EQ,11-05-2022,142.8,140.05,140.8,135.7,135.7,135.7,137.98,"7,111","9,81,151.15",113,"4,532",63.73
STARTECK,EQ,12-05-2022,135.7,128.95,131.6,128.95,128.95,128.95,129.05,"11,040","14,24,718.95",88,"6,229",56.42
STARTECK,EQ,13-05-2022,128.95,127.1,129.95,122.55,122.55,122.55,123.5,"21,259","26,25,430.50",333,"13,364",62.86
STARTECK,EQ,16-05-2022,122.55,121.05,124.8,120.0,120.0,120.45,121.13,"18,173","22,01,370.40",170,"3,174",17.47
STARTECK,EQ,17-05-2022,120.45,116.3,126.45,116.3,126.45,126.45,123.34,"3,437","4,23,912.65",144,"1,566",45.56
STARTECK,EQ,18-05-2022,126.45,130.0,132.75,125.0,130.0,130.8,128.42,"6,147","7,89,409.40",210,"2,479",40.33
STARTECK,EQ,19-05-2022,130.8,125.15,129.65,124.3,124.3,124.4,127.36,"13,748","17,51,001.30",134,"2,260",16.44
STARTECK,EQ,20-05-2022,124.4,123.0,130.2,123.0,126.0,125.35,128.23,"3,632","4,65,718.10",94,"1,136",31.28
STARTECK,EQ,23-05-2022,125.35,122.85,126.5,122.85,123.05,123.55,123.74,"3,011","3,72,571.40",89,"1,436",47.69
STARTECK,EQ,24-05-2022,123.55,121.2,129.4,121.2,129.4,123.8,123.61,"3,836","4,74,156.90",123,"1,818",47.39
STARTECK,EQ,25-05-2022,123.8,122.2,128.5,122.2,123.3,123.35,125.63,"11,727","14,73,283.10",83,892,7.61
STARTECK,EQ,26-05-2022,123.35,124.1,127.4,122.2,123.2,123.2,125.61,"11,658","14,64,341.25",55,549,4.71
STARTECK,EQ,27-05-2022,123.2,123.2,129.0,123.0,129.0,128.2,125.12,"19,474","24,36,680.35",148,"6,360",32.66
