SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
STLNETWORK,BE,04-09-2025,25.86,22.9,23.0,21.75,21.75,21.75,22.23,"28,17,454","6,26,45,579.39","3,162",-,-
STLNETWORK,BE,05-09-2025,21.75,20.66,22.79,20.66,20.99,20.95,20.81,4706440,979.19,7047, -, -
STLNETWORK,BE,08-09-2025,20.95,21.0,21.99,20.8,21.99,21.99,21.88,3408014,745.59,3130, -, -
STLNETWORK,BE,09-09-2025,21.99,23.08,23.08,22.6,23.08,23.08,23.07,4107902,947.9,3538, -, -
STLNETWORK,BE,10-09-2025,23.08,23.7,24.22,22.25,22.6,22.53,22.96,3087396,708.8,12007, -, -
STLNETWORK,BE,11-09-2025,22.53,22.5,22.6,21.4,21.85,21.73,21.84,1642110,358.71,7559, -, -
STLNETWORK,BE,12-09-2025,21.73,21.73,22.0,21.51,21.9,21.83,21.73,1545880,335.93,7567, -, -
STLNETWORK,BE,15-09-2025,21.83,22.01,22.92,21.47,22.92,22.92,22.8,2937235,669.75,3590, -, -
STLNETWORK,BE,16-09-2025,22.92,24.06,24.06,23.65,24.06,24.06,24.06,9181525,2208.76,7541, -, -
STLNETWORK,BE,17-09-2025,24.06,24.06,25.26,24.06,25.26,25.26,25.1,8947662,2245.91,7282, -, -
STLNETWORK,EQ,18-09-2025,25.26,27.55,30.31,27.55,30.31,30.31,29.07,17465022,5077.07,24627, 9343706, 53.50
STLNETWORK,EQ,19-09-2025,30.31,31.9,35.4,28.56,28.7,29.33,32.45,43510611,14118.19,105777, 18310876, 42.08
STLNETWORK,EQ,22-09-2025,29.33,28.18,30.25,28.15,29.25,29.13,29.08,10474659,3045.64,18886, 6410464, 61.20
STLNETWORK,EQ,23-09-2025,29.13,29.38,31.84,28.59,30.58,30.54,30.31,12964926,3929.46,19898, 5785257, 44.62
STLNETWORK,EQ,24-09-2025,30.54,30.84,33.95,30.41,32.99,33.04,32.33,11350484,3669.92,26414, 5186366, 45.69
STLNETWORK,EQ,25-09-2025,33.04,33.15,33.2,31.15,31.5,31.67,32.05,5746881,1842.15,16850, 3247312, 56.51
STLNETWORK,EQ,26-09-2025,31.67,31.6,31.6,29.68,29.91,30.1,30.26,5545234,1677.93,16567, 3061504, 55.21
STLNETWORK,EQ,29-09-2025,30.1,30.0,30.87,29.54,29.88,29.91,30.04,4013112,1205.56,9319, 2454558, 61.16
STLNETWORK,EQ,30-09-2025,29.91,29.95,30.5,29.4,29.75,29.6,29.83,3410399,1017.28,7983, 1840021, 53.95
STLNETWORK,EQ,01-10-2025,29.6,29.69,31.1,29.51,29.99,29.87,30.11,5963285,1795.61,14906, 2032894, 34.09
STLNETWORK,EQ,03-10-2025,29.87,30.09,30.29,29.04,29.4,29.4,29.47,4212181,1241.13,7432, 2523757, 59.92
STLNETWORK,EQ,06-10-2025,29.4,29.4,29.8,28.48,29.0,28.67,28.97,3202946,928.01,6274, 2084681, 65.09
STLNETWORK,EQ,07-10-2025,28.67,28.84,29.69,28.62,28.96,28.92,29.02,3426007,994.1,10066, 1551151, 45.28
STLNETWORK,EQ,08-10-2025,28.92,29.04,30.99,28.98,29.9,29.93,30.19,7219293,2179.59,16281, 2947365, 40.83
STLNETWORK,EQ,09-10-2025,29.93,30.09,30.36,29.09,29.15,29.19,29.51,3364006,992.56,7142, 1964657, 58.40
STLNETWORK,EQ,10-10-2025,29.19,29.07,29.29,28.51,28.73,28.69,28.84,3266243,941.93,5749, 2151581, 65.87
STLNETWORK,EQ,13-10-2025,28.69,28.5,28.85,28.04,28.15,28.12,28.31,2332673,660.46,6476, 1496693, 64.16
STLNETWORK,EQ,14-10-2025,28.12,28.15,28.86,27.8,27.86,27.98,28.2,3115612,878.65,7600, 1453539, 46.65
STLNETWORK,EQ,15-10-2025,27.98,28.07,28.2,27.57,27.87,27.91,27.82,2283303,635.3,7644, 1368023, 59.91
STLNETWORK,EQ,16-10-2025,27.91,28.04,28.59,27.79,28.1,27.98,28.05,1552805,435.52,4280, 750830, 48.35
STLNETWORK,EQ,17-10-2025,27.98,27.81,28.2,26.82,27.0,26.9,27.28,2673471,729.36,6092, 1906893, 71.33
STLNETWORK,EQ,20-10-2025,26.9,27.08,27.45,26.69,27.02,27.0,26.9,2420671,651.28,8096, 1357522, 56.08
STLNETWORK,EQ,21-10-2025,27.0,27.2,27.9,27.14,27.84,27.81,27.7,655364,181.55,2273, 477723, 73.02
STLNETWORK,EQ,23-10-2025,27.81,27.95,27.95,27.14,27.2,27.22,27.37,1408161,385.4,4820, 839410, 59.61
STLNETWORK,EQ,24-10-2025,27.22,27.2,27.36,26.86,26.97,26.96,27.03,1510785,408.41,4565, 1053413, 69.73
STLNETWORK,EQ,27-10-2025,26.96,27.04,27.24,26.54,26.65,26.66,26.77,2049100,548.49,7787, 1193253, 58.23
STLNETWORK,EQ,28-10-2025,26.66,26.69,27.25,26.21,26.3,26.32,26.58,2755085,732.2,7919, 1699256, 61.68
STLNETWORK,EQ,29-10-2025,26.32,26.39,26.54,26.18,26.23,26.27,26.3,2854218,750.52,6744, 2021114, 70.81
STLNETWORK,EQ,30-10-2025,26.27,26.27,26.72,26.1,26.25,26.29,26.28,1302314,342.2,3453, 823715, 63.25
STLNETWORK,EQ,31-10-2025,26.29,26.29,26.42,26.17,26.17,26.24,26.29,990706,260.48,2455, 706257, 71.29
STLNETWORK,EQ,03-11-2025,26.24,26.25,26.88,26.14,26.75,26.7,26.56,1295615,344.09,3915, 749287, 57.83
STLNETWORK,EQ,04-11-2025,26.7,26.69,26.88,26.39,26.56,26.59,26.6,875052,232.76,1998, 591573, 67.60
STLNETWORK,EQ,06-11-2025,26.59,26.67,26.67,26.05,26.06,26.1,26.2,1097370,287.47,2553, 698058, 63.61
STLNETWORK,EQ,07-11-2025,26.1,26.19,26.69,25.95,26.25,26.27,26.33,1158571,305.05,2762, 583987, 50.41
STLNETWORK,EQ,10-11-2025,26.27,24.4,25.59,23.38,23.54,23.54,24.15,7474829,1805.14,16203, 4149358, 55.51
STLNETWORK,EQ,11-11-2025,23.54,23.54,23.68,23.24,23.26,23.31,23.4,1653858,387.08,3970, 911034, 55.09
STLNETWORK,EQ,12-11-2025,23.31,23.4,23.99,23.31,23.7,23.69,23.69,1194348,282.98,4172, 561869, 47.04
STLNETWORK,EQ,13-11-2025,23.69,23.8,24.12,23.46,23.5,23.53,23.67,2049529,485.03,3321, 1396916, 68.16
STLNETWORK,EQ,14-11-2025,23.53,23.55,23.79,23.39,23.68,23.53,23.52,803817,189.04,2147, 457606, 56.93
STLNETWORK,EQ,17-11-2025,23.53,23.53,24.8,23.51,24.49,24.58,24.2,1801149,435.95,4425, 901567, 50.06
STLNETWORK,EQ,18-11-2025,24.58,24.57,24.69,23.65,24.4,24.49,24.06,1208319,290.77,3284, 620663, 51.37
STLNETWORK,EQ,19-11-2025,24.49,24.49,24.5,23.84,23.99,23.93,24.04,685897,164.89,2361, 385134, 56.15
STLNETWORK,EQ,20-11-2025,23.93,23.95,24.54,23.92,24.0,24.02,24.11,787095,189.75,2616, 408602, 51.91
STLNETWORK,EQ,21-11-2025,24.02,24.0,24.14,23.69,23.79,23.74,23.85,588566,140.38,1690, 314794, 53.48
STLNETWORK,EQ,24-11-2025,23.74,24.0,24.0,23.1,23.12,23.1,23.32,1006452,234.72,2309, 742148, 73.74
STLNETWORK,EQ,25-11-2025,23.1,23.09,23.5,22.94,23.1,23.11,23.09,844356,194.98,1672, 591485, 70.05
STLNETWORK,EQ,26-11-2025,23.11,23.02,23.47,22.95,23.15,23.24,23.04,2064982,475.86,10165, 1613250, 78.12
STLNETWORK,EQ,27-11-2025,23.24,23.45,23.45,22.98,23.01,23.02,23.11,1087891,251.43,2152, 547240, 50.30
STLNETWORK,EQ,28-11-2025,23.02,23.13,23.62,22.99,23.4,23.39,23.31,680283,158.59,1817, 319080, 46.90
STLNETWORK,EQ,01-12-2025,23.39,23.45,23.54,22.97,23.0,23.06,23.2,954678,221.48,3130, 617492, 64.68
STLNETWORK,EQ,02-12-2025,23.06,23.06,23.29,22.67,22.74,22.71,22.83,701466,160.13,2217, 538716, 76.80
STLNETWORK,EQ,03-12-2025,22.71,22.74,22.98,22.56,22.75,22.67,22.65,763790,172.99,1541, 472705, 61.89
STLNETWORK,EQ,04-12-2025,22.67,22.66,22.98,22.17,22.27,22.27,22.41,759302,170.13,2445, 560897, 73.87
STLNETWORK,EQ,05-12-2025,22.27,22.05,22.34,21.84,22.25,22.06,22.0,940934,207.04,4925, 463877, 49.30
STLNETWORK,EQ,08-12-2025,22.06,22.4,22.4,21.68,21.7,21.79,21.86,559831,122.39,1629, 408101, 72.90
STLNETWORK,EQ,09-12-2025,21.79,21.67,21.96,21.35,21.6,21.49,21.54,1616546,348.13,3600, 1355053, 83.82
STLNETWORK,EQ,10-12-2025,21.49,21.72,24.5,21.61,23.48,22.82,23.41,10046242,2352.07,15192, 1089760, 10.85
STLNETWORK,EQ,11-12-2025,22.82,23.5,23.7,22.01,22.2,22.15,22.46,1568631,352.3,4261, 667534, 42.56
STLNETWORK,EQ,12-12-2025,22.15,22.3,22.85,22.06,22.77,22.59,22.37,1072364,239.84,4040, 496185, 46.27
STLNETWORK,EQ,15-12-2025,22.59,22.5,23.1,22.11,23.0,22.9,22.64,790451,178.97,2539, 389360, 49.26
STLNETWORK,EQ,16-12-2025,22.9,22.95,23.38,22.25,22.63,22.78,22.92,555367,127.32,2035, 259182, 46.67
STLNETWORK,EQ,17-12-2025,22.78,22.9,23.12,22.19,22.3,22.26,22.34,555100,124.03,1821, 365941, 65.92
STLNETWORK,EQ,18-12-2025,22.26,22.3,22.63,22.1,22.33,22.39,22.31,384925,85.87,1356, 237981, 61.83
STLNETWORK,EQ,19-12-2025,22.39,22.51,22.76,22.37,22.68,22.68,22.57,459063,103.61,1556, 269713, 58.75
STLNETWORK,EQ,22-12-2025,22.68,22.55,24.35,22.55,23.08,22.99,23.46,3292831,772.43,11086, 1125073, 34.17
STLNETWORK,EQ,23-12-2025,22.99,23.0,23.68,22.81,22.81,22.87,23.09,1045429,241.36,3784, 514379, 49.20
STLNETWORK,EQ,24-12-2025,22.87,22.8,23.16,22.21,22.29,22.29,22.51,1607552,361.93,3946, 1044367, 64.97
STLNETWORK,EQ,26-12-2025,22.29,22.29,22.47,22.01,22.21,22.19,22.14,1163519,257.61,4323, 774591, 66.57
STLNETWORK,EQ,29-12-2025,22.19,22.17,22.44,22.05,22.18,22.23,22.19,1668936,370.41,19439, 1171281, 70.18
STLNETWORK,EQ,30-12-2025,22.23,22.27,22.44,22.03,22.18,22.16,22.19,535703,118.87,1968, 380858, 71.09
STLNETWORK,EQ,31-12-2025,22.16,22.2,22.35,22.14,22.18,22.16,22.21,570679,126.74,2247, 399666, 70.03
STLNETWORK,EQ,01-01-2026,22.16,22.18,22.7,22.18,22.5,22.43,22.44,701989,157.54,10157, 421256, 60.01
STLNETWORK,EQ,02-01-2026,22.43,22.47,22.87,22.44,22.7,22.74,22.69,1110767,252.09,2666, 604681, 54.44
STLNETWORK,EQ,05-01-2026,22.74,22.88,22.98,22.23,22.38,22.36,22.44,519471,116.59,2095, 353718, 68.09
STLNETWORK,EQ,06-01-2026,22.36,22.31,22.48,22.05,22.25,22.26,22.16,651305,144.32,1703, 468673, 71.96
STLNETWORK,EQ,07-01-2026,22.26,22.26,22.43,22.21,22.32,22.26,22.28,292678,65.21,1159, 185456, 63.37
STLNETWORK,EQ,08-01-2026,22.26,22.2,22.25,21.77,21.82,21.87,21.96,761315,167.21,2766, 513763, 67.48
STLNETWORK,EQ,09-01-2026,21.87,21.88,21.98,21.25,21.4,21.31,21.55,760349,163.83,2641, 493740, 64.94
