SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUMIT,ST,10-09-2018,45.0,47.0,48.9,47.0,-,47.95,47.71,"7,68,000","3,66,39,000.00",227,-,-
SUMIT,ST,11-09-2018,47.95,48.2,48.2,46.0,-,46.0,47.12,"4,47,000","2,10,61,650.00",101,-,-
SUMIT,ST,12-09-2018,46.0,45.5,46.05,45.0,-,45.35,45.32,"4,77,000","2,16,16,950.00",147,-,-
SUMIT,ST,14-09-2018,45.35,45.95,47.25,45.45,-,47.25,46.54,"1,83,000","85,17,450.00",24,-,-
SUMIT,ST,17-09-2018,47.25,45.8,47.5,45.8,-,46.65,47.03,"3,18,000","1,49,56,200.00",42,-,-
SUMIT,ST,18-09-2018,46.65,47.0,48.6,45.55,-,46.75,47.11,"2,04,000","96,09,900.00",28,-,-
SUMIT,ST,19-09-2018,46.75,45.6,48.2,45.6,-,47.85,46.43,"1,62,000","75,21,900.00",15,-,-
SUMIT,ST,21-09-2018,47.85,46.2,47.0,45.5,-,45.65,46.44,"1,35,000","62,69,250.00",20,-,-
SUMIT,ST,24-09-2018,45.65,45.05,45.7,45.0,-,45.7,45.44,"1,20,000","54,53,250.00",9,-,-
SUMIT,ST,25-09-2018,45.7,45.0,45.9,43.75,-,45.9,44.45,"1,53,000","68,01,450.00",5,-,-
SUMIT,SM,26-09-2018,45.9,46.0,46.0,45.5,45.50,45.7,45.79,"1,68,000","76,92,300.00",17,"1,68,000",100.00
SUMIT,SM,27-09-2018,45.7,45.0,45.5,45.0,45.50,45.5,45.48,"78,000","35,47,500.00",4,"78,000",100.00
SUMIT,SM,28-09-2018,45.5,44.5,44.5,43.25,44.40,43.8,44.45,"81,000","36,00,450.00",3,"81,000",100.00
SUMIT,SM,01-10-2018,43.8,43.75,43.75,42.5,42.50,42.65,43.13,"69,000","29,76,000.00",4,"69,000",100.00
SUMIT,SM,03-10-2018,42.65,43.0,43.0,42.75,42.75,42.75,42.78,"27,000","11,55,000.00",3,"27,000",100.00
SUMIT,SM,04-10-2018,42.75,34.2,43.0,34.2,42.75,42.75,39.42,"81,000","31,92,750.00",21,"60,000",74.07
SUMIT,SM,05-10-2018,42.75,42.5,43.0,42.5,42.90,42.9,42.71,"78,000","33,31,500.00",9,"48,000",61.54
SUMIT,SM,08-10-2018,42.9,42.85,42.85,42.85,42.85,42.85,42.85,"3,000","1,28,550.00",1,"3,000",100.00
SUMIT,SM,09-10-2018,42.85,42.75,42.75,42.75,42.75,42.75,42.75,"72,000","30,78,000.00",5,"72,000",100.00
SUMIT,SM,10-10-2018,42.75,42.7,42.8,42.7,42.80,42.75,42.71,"54,000","23,06,250.00",4,"54,000",100.00
SUMIT,SM,11-10-2018,42.75,45.45,45.45,45.45,45.45,45.45,45.45,"3,000","1,36,350.00",1,"3,000",100.00
SUMIT,SM,12-10-2018,45.45,41.0,43.9,41.0,43.90,43.9,41.48,"18,000","7,46,700.00",4,"18,000",100.00
SUMIT,SM,16-10-2018,43.9,43.75,43.75,43.5,43.65,43.65,43.61,"54,000","23,55,150.00",5,"36,000",66.67
SUMIT,SM,17-10-2018,43.65,38.05,44.1,38.05,39.90,42.5,42.13,"24,000","10,11,150.00",4,"21,000",87.50
SUMIT,SM,19-10-2018,42.5,44.8,44.8,40.5,43.30,43.3,41.15,"33,000","13,57,800.00",3,"27,000",81.82
SUMIT,SM,23-10-2018,43.3,42.3,43.5,42.3,43.00,43.0,43.36,"1,20,000","52,03,050.00",13,"63,000",52.50
SUMIT,SM,24-10-2018,43.0,39.2,42.9,37.2,42.90,42.85,41.06,"78,000","32,02,350.00",19,"12,000",15.38
SUMIT,SM,25-10-2018,42.85,39.2,41.5,38.05,40.00,39.35,39.75,"15,000","5,96,250.00",4,"15,000",100.00
SUMIT,SM,26-10-2018,39.35,43.5,43.5,39.6,39.60,40.85,41.05,"36,000","14,77,950.00",5,"30,000",83.33
SUMIT,SM,29-10-2018,40.85,42.7,42.7,39.5,40.00,40.3,41.08,"39,000","16,02,000.00",8,"30,000",76.92
SUMIT,SM,30-10-2018,40.3,42.7,42.7,42.7,42.70,42.7,42.7,"3,000","1,28,100.00",1,"3,000",100.00
SUMIT,SM,31-10-2018,42.7,42.65,42.65,39.0,39.00,39.0,40.05,"18,000","7,20,900.00",6,"12,000",66.67
SUMIT,SM,01-11-2018,39.0,41.2,41.2,41.2,41.20,41.2,41.2,"3,000","1,23,600.00",1,"3,000",100.00
SUMIT,SM,02-11-2018,41.2,40.0,43.0,40.0,42.50,41.9,41.33,"1,26,000","52,08,150.00",21,"63,000",50.00
SUMIT,SM,05-11-2018,41.9,43.2,45.05,42.75,44.00,44.0,43.31,"99,000","42,87,750.00",10,"99,000",100.00
SUMIT,SM,06-11-2018,44.0,41.1,43.9,41.1,43.90,43.9,42.39,"12,000","5,08,650.00",4,"3,000",25.00
SUMIT,SM,07-11-2018,43.9,44.5,44.5,43.5,44.30,44.1,44.1,"9,000","3,96,900.00",3,"6,000",66.67
SUMIT,SM,09-11-2018,44.1,45.45,45.45,45.45,45.45,45.45,45.45,"3,000","1,36,350.00",1,"3,000",100.00
SUMIT,SM,13-11-2018,45.45,41.95,43.0,41.95,43.00,43.0,42.32,"9,000","3,80,850.00",3,"9,000",100.00
SUMIT,SM,14-11-2018,43.0,45.0,46.8,43.0,43.00,43.0,44.45,"12,000","5,33,400.00",4,"12,000",100.00
SUMIT,SM,15-11-2018,43.0,43.45,43.5,42.5,43.45,43.2,42.85,"57,000","24,42,300.00",9,"45,000",78.95
SUMIT,SM,16-11-2018,43.2,43.75,46.5,43.5,46.50,45.15,44.68,"24,000","10,72,200.00",8,"15,000",62.50
SUMIT,SM,19-11-2018,45.15,45.15,45.15,45.15,45.15,45.15,45.15,"3,000","1,35,450.00",1,"3,000",100.00
SUMIT,SM,20-11-2018,45.15,45.5,45.5,45.5,45.50,45.5,45.5,"3,000","1,36,500.00",1,"3,000",100.00
SUMIT,SM,21-11-2018,45.5,46.7,46.7,44.0,45.25,45.25,45.36,"18,000","8,16,450.00",6,"18,000",100.00
SUMIT,SM,22-11-2018,45.25,43.2,45.15,43.2,45.15,44.15,44.18,"6,000","2,65,050.00",2,"6,000",100.00
SUMIT,SM,26-11-2018,44.15,45.05,46.35,45.05,46.00,46.0,45.8,"33,000","15,11,400.00",11,"30,000",90.91
SUMIT,SM,27-11-2018,46.0,46.0,46.0,45.0,45.00,45.0,45.31,"12,000","5,43,750.00",4,"6,000",50.00
SUMIT,SM,28-11-2018,45.0,44.5,46.0,44.5,45.25,45.25,45.25,"9,000","4,07,250.00",3,"9,000",100.00
SUMIT,SM,30-11-2018,45.25,45.0,45.0,45.0,45.00,45.0,45.0,"3,000","1,35,000.00",1,"3,000",100.00
SUMIT,SM,03-12-2018,45.0,45.1,45.1,45.0,45.00,45.0,45.05,"9,000","4,05,450.00",3,"9,000",100.00
SUMIT,SM,04-12-2018,45.0,45.8,45.8,45.8,45.80,45.8,45.8,"3,000","1,37,400.00",1,"3,000",100.00
SUMIT,SM,05-12-2018,45.8,45.2,46.15,44.5,44.50,44.65,45.16,"15,000","6,77,400.00",5,"15,000",100.00
