SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUYOG,EQ,20-08-2024,"1,498.25","1,547.90","1,547.90","1,460.10","1,464.05","1,476.25","1,499.43","20,577","3,08,53,780.85","2,959","12,712",61.78
SUYOG,EQ,21-08-2024,"1,476.25","1,519.90","1,519.90","1,455.00","1,470.00","1,470.65","1,480.31","13,982","2,06,97,755.95","1,812","10,287",73.57
SUYOG,EQ,22-08-2024,"1,470.65","1,485.00","1,670.00","1,478.20","1,611.25","1,627.40","1,600.56","1,01,537","16,25,16,389.55","14,632","47,244",46.53
SUYOG,EQ,23-08-2024,"1,627.40","1,637.00","1,729.95","1,600.05","1,690.00","1,673.80","1,688.73","1,28,218","21,65,25,975.65","9,546","90,439",70.54
SUYOG,EQ,26-08-2024,"1,673.80","1,690.25","1,714.00","1,657.30","1,675.10","1,678.90","1,684.05","43,669","7,35,40,900.95","6,626","27,465",62.89
SUYOG,EQ,27-08-2024,"1,678.90","1,688.00","1,721.00","1,650.00","1,721.00","1,709.60","1,697.72","49,045","8,32,64,477.05","3,280","39,697",80.94
SUYOG,EQ,28-08-2024,"1,709.60","1,735.25","1,735.25","1,650.00","1,671.00","1,673.25","1,690.58","31,378","5,30,47,117.60","5,628","19,802",63.11
SUYOG,EQ,29-08-2024,"1,673.25","1,708.60","1,708.65","1,605.50","1,627.00","1,628.20","1,651.76","24,918","4,11,58,492.90","4,232","15,018",60.27
SUYOG,EQ,30-08-2024,"1,628.20","1,646.25","1,680.35","1,623.10","1,675.00","1,664.00","1,648.43","18,990","3,13,03,757.85","2,319","12,218",64.34
SUYOG,EQ,02-09-2024,"1,664.00","1,678.80","1,703.80","1,600.00","1,625.00","1,620.30","1,641.58","33,245","5,45,74,479.45","6,370","21,718",65.33
SUYOG,EQ,03-09-2024,"1,620.30","1,619.95","1,625.10","1,540.00","1,552.70","1,556.70","1,566.29","55,166","8,64,06,156.40","8,185","34,823",63.12
SUYOG,EQ,04-09-2024,"1,556.70","1,543.25","1,595.50","1,525.00","1,540.00","1,543.80","1,549.43","17,622","2,73,03,982.30","3,706","10,342",58.69
SUYOG,EQ,05-09-2024,"1,543.80","1,566.95","1,570.45","1,496.25","1,530.00","1,531.65","1,522.10","52,137","7,93,57,700.25","10,792","30,885",59.24
SUYOG,EQ,06-09-2024,"1,531.65","1,546.45","1,596.50","1,511.45","1,570.00","1,578.15","1,546.93","27,459","4,24,77,051.85","3,915","16,667",60.7
SUYOG,EQ,09-09-2024,"1,578.15","1,594.40","1,735.10","1,578.10","1,691.95","1,700.80","1,682.19","90,433","15,21,25,475.10","14,289","43,729",48.36
SUYOG,EQ,10-09-2024,"1,700.80","1,728.00","1,777.40","1,699.55","1,729.00","1,726.75","1,734.74","67,622","11,73,06,650.80","7,328","33,141",49.01
SUYOG,EQ,11-09-2024,"1,726.75","1,709.50","1,728.05","1,647.30","1,655.00","1,654.05","1,681.07","51,446","8,64,84,385.95","9,008","19,216",37.35
SUYOG,EQ,12-09-2024,"1,654.05","1,654.05","1,696.00","1,650.20","1,679.70","1,677.35","1,673.63","66,350","11,10,45,032.25","9,618","19,585",29.52
SUYOG,EQ,13-09-2024,"1,677.35","1,696.45","1,710.00","1,623.05","1,655.00","1,645.40","1,677.80","47,961","8,04,68,843.20","7,496","19,490",40.64
SUYOG,EQ,16-09-2024,"1,645.40","1,675.40","1,680.00","1,581.30","1,588.00","1,602.20","1,607.28","53,799","8,64,70,050.15","8,320","26,302",48.89
SUYOG,EQ,17-09-2024,"1,602.20","1,583.50","1,637.00","1,583.50","1,600.05","1,606.15","1,615.70","26,578","4,29,42,077.80","4,528","13,919",52.37
SUYOG,EQ,18-09-2024,"1,606.15","1,615.00","1,640.95","1,562.55","1,578.00","1,589.30","1,614.03","28,161","4,54,52,593.45","4,551","12,052",42.8
SUYOG,EQ,19-09-2024,"1,589.30","1,608.00","1,625.00","1,502.10","1,545.00","1,546.20","1,545.46","56,969","8,80,43,500.55","9,171","30,437",53.43
SUYOG,EQ,20-09-2024,"1,546.20","1,551.80","1,598.75","1,535.00","1,585.00","1,572.25","1,562.54","16,480","2,57,50,644.60","2,925","7,457",45.25
SUYOG,EQ,23-09-2024,"1,572.25","1,575.00","1,649.00","1,575.00","1,640.00","1,627.95","1,614.28","32,336","5,21,99,382.25","4,528","23,127",71.52
SUYOG,EQ,24-09-2024,"1,627.95","1,620.05","1,658.95","1,616.60","1,643.00","1,639.65","1,644.10","26,605","4,37,41,168.35","3,327","21,956",82.53
SUYOG,EQ,25-09-2024,"1,639.65","1,642.65","1,660.95","1,629.05","1,640.00","1,641.45","1,639.55","24,121","3,95,47,512.35","2,299","15,706",65.11
SUYOG,EQ,26-09-2024,"1,641.45","1,641.70","1,652.80","1,568.95","1,579.00","1,584.80","1,615.97","21,665","3,50,09,921.15","2,832","14,125",65.2
SUYOG,EQ,27-09-2024,"1,584.80","1,612.40","1,646.85","1,554.90","1,630.00","1,624.95","1,613.04","16,892","2,72,47,479.90","1,700","9,974",59.05
SUYOG,EQ,30-09-2024,"1,624.95","1,684.00","1,694.40","1,586.05","1,607.50","1,596.60","1,624.53","27,861","4,52,61,106.80","4,034","16,620",59.65
SUYOG,EQ,01-10-2024,"1,596.60","1,619.25","1,628.85","1,550.00","1,580.00","1,566.20","1,578.38","13,232","2,08,85,076.80","1,112","8,021",60.62
SUYOG,EQ,03-10-2024,"1,566.20","1,566.20","1,584.85","1,480.00","1,554.30","1,554.50","1,529.69","31,888","4,87,78,773.20","3,207","15,884",49.81
SUYOG,EQ,04-10-2024,"1,554.50","1,548.90","1,571.90","1,508.10","1,538.95","1,542.65","1,543.92","29,334","4,52,89,486.80","4,126","17,723",60.42
SUYOG,EQ,07-10-2024,"1,542.65","1,555.00","1,567.95","1,470.00","1,510.00","1,521.25","1,506.15","26,527","3,99,53,766.90","2,670","14,390",54.25
SUYOG,EQ,08-10-2024,"1,521.25","1,539.80","1,600.10","1,486.35","1,587.00","1,591.60","1,544.60","24,307","3,75,44,620.15","2,481","13,632",56.08
SUYOG,EQ,09-10-2024,"1,591.60","1,605.90","1,606.45","1,575.00","1,589.95","1,588.40","1,588.60","17,072","2,71,20,626.10","1,947","11,747",68.81
SUYOG,EQ,10-10-2024,"1,588.40","1,611.00","1,640.00","1,589.45","1,598.05","1,603.50","1,611.87","19,301","3,11,10,671.40","1,931","12,008",62.21
SUYOG,EQ,11-10-2024,"1,603.50","1,604.25","1,639.80","1,592.00","1,610.50","1,613.60","1,616.88","11,479","1,85,60,150.30","1,551","6,951",60.55
SUYOG,EQ,14-10-2024,"1,613.60","1,616.00","1,634.00","1,587.90","1,600.00","1,613.85","1,607.03","11,339","1,82,22,144.60","1,646","7,088",62.51
SUYOG,EQ,15-10-2024,"1,613.85","1,650.00","1,724.75","1,638.00","1,700.00","1,695.60","1,695.64","65,640","11,13,01,485.95","4,880","35,804",54.55
SUYOG,EQ,16-10-2024,"1,695.60","1,695.05","1,720.00","1,660.10","1,704.00","1,702.60","1,696.57","23,485","3,98,43,974.45","3,178","12,442",52.98
SUYOG,EQ,17-10-2024,"1,702.60","1,717.70","1,749.00","1,675.00","1,691.95","1,697.65","1,705.16","23,593","4,02,29,858.40","3,511","13,166",55.8
SUYOG,EQ,18-10-2024,"1,697.65","1,710.95","1,748.10","1,653.05","1,724.95","1,727.00","1,720.09","34,494","5,93,32,688.30","4,184","17,838",51.71
SUYOG,EQ,21-10-2024,"1,727.00","1,750.00","1,786.35","1,661.00","1,670.10","1,686.70","1,697.43","34,178","5,80,14,775.15","6,460","16,961",49.63
SUYOG,EQ,22-10-2024,"1,686.70","1,686.95","1,699.00","1,558.60","1,604.00","1,595.05","1,613.74","38,312","6,18,25,679.80","5,978","22,139",57.79
SUYOG,EQ,23-10-2024,"1,595.05","1,590.00","1,655.95","1,561.00","1,609.65","1,619.70","1,608.28","36,881","5,93,15,151.20","5,710","20,090",54.47
SUYOG,EQ,24-10-2024,"1,619.70","1,633.05","1,669.00","1,561.00","1,612.05","1,611.35","1,600.89","35,081","5,61,60,656.40","5,451","19,997",57.0
SUYOG,EQ,25-10-2024,"1,611.35","1,628.95","1,628.95","1,502.00","1,539.40","1,525.15","1,543.57","71,104","10,97,53,844.45","6,193","45,414",63.87
SUYOG,EQ,28-10-2024,"1,525.15","1,540.00","1,551.85","1,498.45","1,515.00","1,520.60","1,530.88","25,124","3,84,61,856.75","2,709","12,432",49.48
SUYOG,EQ,29-10-2024,"1,520.60","1,539.90","1,619.95","1,510.65","1,570.00","1,570.00","1,567.73","34,316","5,37,98,317.90","3,488","19,339",56.36
SUYOG,EQ,30-10-2024,"1,570.00","1,551.05","1,600.40","1,551.05","1,589.05","1,569.85","1,572.09","18,950","2,97,91,022.55","4,039","10,555",55.7
SUYOG,EQ,31-10-2024,"1,569.85","1,605.00","1,668.80","1,594.10","1,626.20","1,637.45","1,621.31","24,046","3,89,85,980.55","2,746","12,105",50.34
SUYOG,EQ,01-11-2024,"1,637.45","1,660.00","1,714.80","1,596.00","1,654.00","1,661.25","1,664.68","24,899","4,14,48,960.20","1,991","11,682",46.92
SUYOG,EQ,04-11-2024,"1,661.25","1,674.85","1,683.85","1,621.65","1,626.00","1,636.75","1,655.18","22,989","3,80,50,945.95","2,609","11,391",49.55
SUYOG,EQ,05-11-2024,"1,636.75","1,636.75","1,688.00","1,627.40","1,660.00","1,664.45","1,657.58","19,623","3,25,26,659.80","2,589","10,679",54.42
SUYOG,EQ,06-11-2024,"1,664.45","1,678.60","1,713.95","1,655.00","1,709.95","1,704.10","1,686.12","25,964","4,37,78,506.85","3,129","17,092",65.83
SUYOG,EQ,07-11-2024,"1,704.10","1,699.85","1,900.00","1,661.00","1,868.00","1,867.40","1,836.18","2,37,136","43,54,24,074.40","17,988","1,01,754",42.91
SUYOG,EQ,08-11-2024,"1,867.40","1,895.00","1,945.05","1,805.00","1,822.00","1,823.80","1,871.73","1,16,737","21,85,00,142.90","13,457","50,338",43.12
SUYOG,EQ,11-11-2024,"1,823.80","1,838.00","1,838.00","1,765.45","1,793.00","1,782.10","1,808.85","43,316","7,83,51,998.45","5,057","17,156",39.61
SUYOG,EQ,12-11-2024,"1,782.10","1,785.15","1,880.05","1,775.35","1,778.95","1,790.60","1,829.89","58,900","10,77,80,701.30","7,334","28,024",47.58
SUYOG,EQ,13-11-2024,"1,790.60","1,790.00","1,798.30","1,690.00","1,710.00","1,707.20","1,736.78","54,922","9,53,87,261.00","5,925","28,016",51.01
SUYOG,EQ,14-11-2024,"1,707.20","1,697.00","1,778.30","1,697.00","1,730.00","1,747.15","1,732.02","39,382","6,82,10,425.85","3,637","17,843",45.31
SUYOG,EQ,18-11-2024,"1,747.15","1,760.00","1,799.00","1,632.65","1,715.00","1,707.80","1,705.43","44,613","7,60,84,166.35","5,555","21,641",48.51
SUYOG,EQ,19-11-2024,"1,707.80","1,737.85","1,783.95","1,660.00","1,660.00","1,683.80","1,726.24","46,278","7,98,86,956.75","7,114","21,087",45.57
SUYOG,EQ,21-11-2024,"1,683.80","1,701.00","1,723.30","1,616.00","1,693.00","1,673.15","1,647.61","40,953","6,74,74,395.90","7,511","23,012",56.19
SUYOG,EQ,22-11-2024,"1,673.15","1,698.25","1,774.40","1,661.05","1,733.00","1,733.35","1,728.60","55,740","9,63,52,258.15","9,287","28,221",50.63
SUYOG,EQ,25-11-2024,"1,733.35","1,740.00","1,783.30","1,725.00","1,755.00","1,745.40","1,742.78","29,651","5,16,75,207.05","4,080","18,581",62.67
SUYOG,EQ,26-11-2024,"1,745.40","1,785.00","1,830.00","1,731.30","1,746.55","1,744.45","1,783.52","49,025","8,74,37,176.30","4,083","17,776",36.26
SUYOG,EQ,27-11-2024,"1,744.45","1,750.00","1,805.10","1,738.55","1,804.00","1,794.60","1,765.98","42,330","7,47,53,800.90","6,790","21,208",50.1
SUYOG,EQ,28-11-2024,"1,794.60","1,825.00","1,859.90","1,764.75","1,782.35","1,786.50","1,811.75","56,361","10,21,12,273.80","6,250","24,150",42.85
SUYOG,EQ,29-11-2024,"1,786.50","1,796.35","1,910.00","1,762.15","1,890.00","1,898.10","1,863.76","1,02,738","19,14,79,249.05","8,649","59,206",57.63
SUYOG,EQ,02-12-2024,"1,898.10","1,899.60","1,924.90","1,825.25","1,867.40","1,857.20","1,889.75","62,024","11,72,09,600.30","6,193","35,018",56.46
SUYOG,EQ,03-12-2024,"1,857.20","1,857.20","1,878.00","1,818.15","1,830.00","1,836.65","1,843.47","31,780","5,85,85,513.00","5,475","16,449",51.76
SUYOG,EQ,04-12-2024,"1,836.65","1,860.00","1,863.95","1,810.65","1,819.95","1,819.25","1,820.73","23,981","4,36,63,006.65","4,517","14,241",59.38
SUYOG,EQ,05-12-2024,"1,819.25","1,830.00","1,835.90","1,792.30","1,825.00","1,824.65","1,807.46","25,950","4,69,03,536.60","3,533","12,581",48.48
SUYOG,EQ,06-12-2024,"1,824.65","1,845.00","1,859.00","1,799.20","1,835.00","1,823.90","1,826.51","31,552","5,76,30,084.60","4,332","16,433",52.08
SUYOG,EQ,09-12-2024,"1,823.90","1,825.00","1,924.95","1,824.95","1,907.00","1,909.15","1,896.83","71,035","13,47,41,094.10","5,219","36,700",51.66
SUYOG,EQ,10-12-2024,"1,909.15","1,933.00","1,947.70","1,862.00","1,930.00","1,918.70","1,919.06","1,13,635","21,80,72,703.65","8,575","53,254",46.86
SUYOG,EQ,11-12-2024,"1,918.70","1,940.00","1,940.00","1,872.55","1,880.05","1,881.50","1,891.53","33,579","6,35,15,793.20","3,406","19,923",59.33
SUYOG,EQ,12-12-2024,"1,881.50","1,870.00","1,899.95","1,852.00","1,865.00","1,876.00","1,870.21","24,238","4,53,30,260.00","4,958","14,059",58.0
SUYOG,EQ,13-12-2024,"1,876.00","1,899.00","1,899.00","1,831.30","1,855.95","1,850.00","1,850.08","24,036","4,44,68,587.30","4,018","13,148",54.7
SUYOG,EQ,16-12-2024,"1,850.00","1,860.00","1,891.95","1,823.35","1,828.70","1,837.10","1,853.51","37,939","7,03,20,460.40","5,495","17,535",46.22
SUYOG,EQ,17-12-2024,"1,837.10","1,830.00","1,870.70","1,802.25","1,870.70","1,850.60","1,825.68","35,910","6,55,60,185.00","4,804","19,667",54.77
SUYOG,EQ,18-12-2024,"1,850.60","1,879.60","1,968.20","1,860.95","1,890.00","1,896.35","1,927.67","2,13,219","41,10,15,623.80","15,411","75,693",35.5
SUYOG,EQ,19-12-2024,"1,896.35","1,890.00","1,926.95","1,831.55","1,900.00","1,896.30","1,891.64","59,060","11,17,20,518.80","6,409","34,472",58.37
SUYOG,EQ,20-12-2024,"1,896.30","1,929.95","1,953.45","1,870.90","1,871.40","1,876.85","1,897.36","82,369","15,62,83,993.60","6,342","51,165",62.12
SUYOG,EQ,23-12-2024,"1,876.85","1,940.00","1,940.00","1,840.00","1,908.80","1,896.15","1,888.88","64,599","12,20,20,074.90","5,978","33,705",52.18
SUYOG,EQ,24-12-2024,"1,896.15","1,908.80","1,911.95","1,855.00","1,858.65","1,861.45","1,873.91","31,355","5,87,56,481.80","4,120","18,871",60.18
