SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TARAPUR,EQ,18-05-2010,75.0,75.0,97.45,54.3,55.2,57.4,77.73,"8,13,21,869","6,32,12,06,984.10",-,"50,31,863",6.19
TARAPUR,EQ,19-05-2010,57.4,52.0,54.7,48.8,50.9,50.7,51.5,"1,49,07,666","76,77,53,931.35",-,"8,75,496",5.87
TARAPUR,EQ,20-05-2010,50.7,51.05,52.8,48.8,48.85,49.4,50.76,"26,20,293","13,30,10,740.20",-,"3,86,867",14.76
TARAPUR,EQ,21-05-2010,49.4,48.5,48.5,41.1,41.9,42.0,43.46,"28,60,261","12,42,97,564.40",-,"5,46,931",19.12
TARAPUR,EQ,24-05-2010,42.0,43.0,46.6,39.75,42.5,42.7,43.9,"71,29,871","31,29,67,631.25",-,"5,32,628",7.47
TARAPUR,EQ,25-05-2010,42.7,41.0,43.4,40.05,40.1,40.5,41.89,"20,12,217","8,42,91,269.30",-,"2,72,833",13.56
TARAPUR,EQ,26-05-2010,40.5,41.85,42.3,40.0,40.3,40.4,41.23,"12,14,317","5,00,62,493.00",-,"2,27,142",18.71
TARAPUR,EQ,27-05-2010,40.4,40.75,40.75,38.6,38.9,39.1,39.33,"10,55,343","4,15,08,312.80",-,"2,22,566",21.09
TARAPUR,EQ,28-05-2010,39.1,40.0,41.45,39.45,39.55,39.7,40.35,"12,96,255","5,23,02,919.80",-,"2,09,553",16.17
TARAPUR,EQ,31-05-2010,39.7,39.75,40.3,38.45,38.45,38.65,39.03,"6,13,913","2,39,63,780.55",-,"1,86,168",30.32
TARAPUR,EQ,01-06-2010,38.65,38.6,41.2,38.1,38.8,38.95,39.89,"14,92,937","5,95,59,858.55",-,"2,40,807",16.13
TARAPUR,EQ,02-06-2010,38.95,39.4,39.9,38.5,38.7,38.65,38.94,"4,67,593","1,82,08,712.40",-,"1,51,299",32.36
TARAPUR,EQ,03-06-2010,38.65,39.4,40.4,38.6,38.9,38.9,39.57,"8,86,747","3,50,91,853.00",-,"1,63,207",18.41
TARAPUR,EQ,04-06-2010,38.9,39.3,40.0,38.15,38.35,38.55,38.87,"3,25,324","1,26,46,754.55",-,"1,08,915",33.48
TARAPUR,EQ,07-06-2010,38.55,38.0,38.0,37.15,37.3,37.35,37.48,"3,65,870","1,37,13,907.25",-,"1,25,895",34.41
TARAPUR,EQ,08-06-2010,37.35,37.5,39.25,37.1,37.5,37.3,38.14,"7,44,674","2,84,02,667.05",-,"1,49,844",20.12
TARAPUR,EQ,09-06-2010,37.3,37.5,38.25,37.2,37.4,37.35,37.64,"3,66,890","1,38,10,772.25",-,"76,060",20.73
TARAPUR,EQ,10-06-2010,37.35,37.35,38.05,37.35,37.7,37.65,37.69,"3,29,535","1,24,18,583.35",-,"91,477",27.76
TARAPUR,EQ,11-06-2010,37.65,38.1,38.3,37.15,37.25,37.35,37.77,"2,79,234","1,05,45,272.95",-,"90,420",32.38
TARAPUR,EQ,14-06-2010,37.35,37.65,37.85,37.2,37.3,37.35,37.48,"1,97,587","74,05,606.80",-,"88,925",45.01
TARAPUR,EQ,15-06-2010,37.35,37.4,38.4,37.35,37.7,37.75,37.87,"4,07,834","1,54,43,343.95",-,"1,23,399",30.26
TARAPUR,EQ,16-06-2010,37.75,37.9,41.4,37.75,39.95,39.9,40.05,"23,45,007","9,39,12,672.40",-,"4,30,107",18.34
TARAPUR,EQ,17-06-2010,39.9,40.25,41.25,39.6,39.65,39.75,40.34,"5,18,273","2,09,09,152.15",-,"1,35,773",26.2
TARAPUR,EQ,18-06-2010,39.75,40.0,40.25,38.5,38.6,38.6,39.11,"2,15,272","84,18,581.40",-,"83,164",38.63
TARAPUR,EQ,21-06-2010,38.6,39.1,39.5,38.5,38.75,38.55,38.75,"1,97,782","76,63,755.30",-,"87,870",44.43
TARAPUR,EQ,22-06-2010,38.55,38.35,38.7,38.05,38.25,38.2,38.29,"1,38,279","52,94,147.35",-,"57,006",41.23
TARAPUR,EQ,23-06-2010,38.2,38.0,39.8,38.0,39.25,39.3,39.15,"4,04,584","1,58,40,833.05",-,"1,20,511",29.79
TARAPUR,EQ,24-06-2010,39.3,40.0,40.3,39.15,39.45,39.35,39.75,"3,62,821","1,44,21,467.20",-,"1,02,451",28.24
TARAPUR,EQ,25-06-2010,39.35,39.1,39.75,38.55,38.85,38.75,39.18,"1,54,925","60,69,875.65",-,"56,355",36.38
TARAPUR,EQ,28-06-2010,38.75,39.0,39.75,38.5,38.9,38.85,39.04,"3,61,314","1,41,06,711.00",-,"1,24,995",34.59
TARAPUR,EQ,29-06-2010,38.85,39.1,39.5,38.35,38.55,38.5,38.78,"2,09,913","81,41,073.30",-,"72,730",34.65
TARAPUR,EQ,30-06-2010,38.5,38.55,39.4,38.0,38.85,38.8,38.75,"2,08,824","80,91,620.90",-,"1,00,270",48.02
TARAPUR,EQ,01-07-2010,38.8,39.0,39.0,38.1,38.2,38.2,38.39,"1,35,919","52,17,463.70",-,"65,951",48.52
TARAPUR,EQ,02-07-2010,38.2,38.45,39.25,37.8,38.15,38.05,38.53,"2,39,457","92,26,740.25",-,"89,006",37.17
TARAPUR,EQ,05-07-2010,38.05,38.15,38.75,38.0,38.1,38.15,38.3,"99,630","38,16,156.05",-,"49,761",49.95
TARAPUR,EQ,06-07-2010,38.15,38.15,38.7,38.05,38.1,38.1,38.34,"2,11,605","81,13,722.50",-,"93,871",44.36
TARAPUR,EQ,07-07-2010,38.1,38.4,40.4,38.25,40.05,39.9,39.59,"9,09,973","3,60,29,476.95",-,"2,76,645",30.4
TARAPUR,EQ,08-07-2010,39.9,41.0,41.0,39.7,39.9,39.9,40.27,"5,21,920","2,10,18,936.00",-,"2,05,153",39.31
TARAPUR,EQ,09-07-2010,39.9,40.05,40.8,39.1,39.15,39.45,40.02,"2,38,473","95,43,710.25",-,"90,799",38.08
TARAPUR,EQ,12-07-2010,39.45,39.85,39.85,39.1,39.25,39.2,39.37,"1,03,026","40,56,205.00",-,"52,085",50.56
TARAPUR,EQ,13-07-2010,39.2,39.65,39.7,38.9,39.3,39.15,39.21,"1,05,300","41,28,384.10",-,"48,866",46.41
TARAPUR,EQ,14-07-2010,39.15,39.5,39.6,38.4,38.5,38.65,39.12,"1,63,846","64,09,428.10",-,"93,973",57.35
TARAPUR,EQ,15-07-2010,38.65,38.85,39.0,38.35,38.45,38.45,38.61,"1,14,454","44,19,599.05",-,"52,186",45.6
TARAPUR,EQ,16-07-2010,38.45,38.4,39.35,38.25,38.7,38.75,38.82,"1,57,935","61,31,482.65",-,"60,334",38.2
TARAPUR,EQ,19-07-2010,38.75,38.3,39.35,38.3,38.45,38.55,38.8,"1,06,083","41,16,312.00",-,"39,732",37.45
TARAPUR,EQ,20-07-2010,38.55,38.6,39.2,38.2,38.2,38.35,38.7,"1,23,695","47,87,115.90",-,"43,425",35.11
TARAPUR,EQ,21-07-2010,38.35,38.5,38.9,38.0,38.15,38.2,38.41,"98,736","37,92,509.50",-,"56,386",57.11
TARAPUR,EQ,22-07-2010,38.2,38.1,38.5,38.1,38.15,38.2,38.26,"67,702","25,90,599.40",-,"40,863",60.36
TARAPUR,EQ,23-07-2010,38.2,38.4,38.55,37.5,37.55,37.6,37.89,"1,13,196","42,89,396.05",-,"78,321",69.19
