SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ROMAN,EQ,09-07-2007,175.0,306.25,387.0,306.25,315.9,319.2,327.1,"1,04,67,430","3,42,38,76,656.95",-,"11,53,830",11.02
ROMAN,EQ,10-07-2007,319.2,320.0,321.15,299.4,302.2,302.7,307.02,"43,73,435","1,34,27,34,684.30",-,"2,68,210",6.13
ROMAN,EQ,11-07-2007,302.7,295.1,331.95,293.25,318.0,317.15,321.32,"62,89,069","2,02,08,23,050.50",-,"3,51,525",5.59
ROMAN,EQ,12-07-2007,317.15,321.0,328.0,313.3,317.5,317.25,321.57,"14,19,452","45,64,57,890.70",-,"1,48,774",10.48
ROMAN,EQ,13-07-2007,317.25,325.0,325.0,304.0,307.0,306.6,314.68,"8,77,541","27,61,43,970.65",-,"1,67,151",19.05
ROMAN,EQ,16-07-2007,306.6,307.2,318.5,302.15,313.5,312.95,311.24,"9,20,412","28,64,71,575.30",-,"1,14,678",12.46
ROMAN,EQ,17-07-2007,312.95,301.55,326.35,301.55,305.55,307.5,317.35,"13,29,153","42,18,02,156.35",-,"2,11,309",15.90
ROMAN,EQ,18-07-2007,307.5,296.15,313.65,296.15,306.05,305.95,308.08,"5,25,495","16,18,94,708.65",-,"81,304",15.47
ROMAN,EQ,19-07-2007,305.95,309.0,313.45,298.05,304.0,303.35,306.22,"3,75,319","11,49,31,567.40",-,"61,937",16.50
ROMAN,EQ,20-07-2007,303.35,305.1,307.6,289.05,292.0,290.45,297.48,"3,75,216","11,16,17,621.15",-,"84,384",22.49
ROMAN,EQ,23-07-2007,290.45,270.0,292.8,270.0,281.7,282.0,282.9,"3,24,219","9,17,23,022.50",-,"63,900",19.71
ROMAN,EQ,24-07-2007,282.0,282.15,302.45,282.1,284.0,283.95,291.3,"6,36,087","18,52,94,787.30",-,"78,311",12.31
ROMAN,EQ,25-07-2007,283.95,284.0,285.0,271.0,275.0,273.2,277.27,"2,30,903","6,40,21,374.15",-,"40,040",17.34
ROMAN,EQ,26-07-2007,273.2,279.9,288.5,275.15,279.1,279.7,281.15,"2,31,420","6,50,63,662.60",-,"35,084",15.16
ROMAN,EQ,27-07-2007,279.7,272.65,277.75,250.55,252.0,253.4,261.95,"2,50,369","6,55,83,094.60",-,"46,301",18.49
ROMAN,EQ,30-07-2007,253.4,258.0,258.0,232.0,242.7,243.45,249.27,"2,17,905","5,43,17,090.20",-,"44,489",20.42
ROMAN,EQ,31-07-2007,243.45,247.45,259.0,245.0,253.0,253.5,252.82,"4,01,608","10,15,35,771.95",-,"51,148",12.74
ROMAN,EQ,01-08-2007,253.5,278.0,278.0,216.6,221.7,220.3,235.99,"2,49,035","5,87,69,951.50",-,"77,632",31.17
ROMAN,EQ,02-08-2007,220.3,228.8,234.0,215.25,215.25,219.55,225.73,"2,19,468","4,95,41,001.25",-,"25,188",11.48
