SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TATATECH,EQ,30-11-2023,500.00,"1,200.00","1,400.00","1,200.00","1,326.70","1,313.00","1,312.61","4,65,79,444","61,14,07,06,591.45","14,22,692","2,15,81,651",46.33
TATATECH,EQ,01-12-2023,"1,313.00","1,339.30","1,348.00","1,211.60","1,216.00","1,220.60","1,243.62","1,86,81,419","23,23,26,28,471.60","6,93,074","46,64,065",24.97
TATATECH,EQ,04-12-2023,"1,220.60","1,220.60","1,234.00","1,151.15","1,189.00","1,192.65","1,185.86","1,47,40,755","17,48,04,47,306.60","5,00,852","28,76,032",19.51
TATATECH,EQ,05-12-2023,"1,192.65","1,192.65","1,221.95","1,175.00","1,193.75","1,191.85","1,207.10","44,22,358","5,33,82,49,618.30","1,54,041","12,08,477",27.33
TATATECH,EQ,06-12-2023,"1,191.85","1,202.00","1,207.45","1,181.00","1,187.00","1,188.50","1,191.15","27,35,968","3,25,89,49,213.10","1,14,146","8,20,698",30.0
TATATECH,EQ,07-12-2023,"1,188.50","1,192.95","1,199.00","1,180.00","1,184.00","1,185.70","1,189.08","16,24,651","1,93,18,38,157.55","71,777","6,43,035",39.58
TATATECH,EQ,08-12-2023,"1,185.70","1,189.00","1,219.70","1,188.25","1,190.50","1,192.55","1,201.65","25,28,210","3,03,80,29,255.00","94,314","7,48,281",29.6
TATATECH,EQ,11-12-2023,"1,192.55","1,199.00","1,269.70","1,193.00","1,239.95","1,237.35","1,239.38","80,17,469","9,93,67,13,623.10","2,41,629","19,48,982",24.31
TATATECH,EQ,12-12-2023,"1,237.35","1,254.00","1,263.05","1,230.00","1,233.00","1,233.25","1,245.53","24,26,780","3,02,26,34,269.75","87,901","9,04,757",37.28
TATATECH,EQ,13-12-2023,"1,233.25","1,244.00","1,284.80","1,236.15","1,250.10","1,250.35","1,264.18","42,81,933","5,41,31,53,052.60","1,34,764","13,30,736",31.08
TATATECH,EQ,14-12-2023,"1,250.35","1,270.00","1,275.00","1,240.15","1,243.50","1,243.30","1,253.45","19,92,554","2,49,75,70,154.65","72,822","9,18,182",46.08
TATATECH,EQ,15-12-2023,"1,243.30","1,255.95","1,256.70","1,240.00","1,243.30","1,242.20","1,246.53","12,39,743","1,54,53,73,931.70","54,793","5,60,642",45.22
TATATECH,EQ,18-12-2023,"1,242.20","1,245.65","1,249.15","1,225.60","1,229.95","1,229.25","1,232.89","10,00,620","1,23,36,58,601.25","51,083","4,65,778",46.55
TATATECH,EQ,19-12-2023,"1,229.25","1,233.00","1,259.80","1,224.60","1,240.50","1,241.55","1,248.18","20,86,748","2,60,46,29,214.80","76,834","7,16,432",34.33
TATATECH,EQ,20-12-2023,"1,241.55","1,247.90","1,248.75","1,198.00","1,204.00","1,201.15","1,220.98","16,04,663","1,95,92,65,192.20","88,440","8,47,944",52.84
TATATECH,EQ,21-12-2023,"1,201.15","1,165.25","1,218.60","1,165.25","1,209.00","1,208.90","1,201.80","15,04,596","1,80,82,24,634.75","77,950","5,26,532",34.99
TATATECH,EQ,22-12-2023,"1,208.90","1,214.70","1,222.50","1,205.00","1,208.55","1,208.75","1,212.08","7,01,235","84,99,52,706.45","42,858","3,07,929",43.91
TATATECH,EQ,26-12-2023,"1,208.75","1,210.00","1,217.95","1,200.50","1,204.90","1,202.75","1,207.65","5,75,200","69,46,39,223.30","39,544","3,11,692",54.19
TATATECH,EQ,27-12-2023,"1,202.75","1,208.00","1,212.90","1,196.20","1,199.90","1,199.60","1,202.38","6,56,321","78,91,47,180.30","35,135","3,29,788",50.25
TATATECH,EQ,28-12-2023,"1,199.60","1,200.00","1,201.85","1,169.00","1,179.00","1,175.95","1,181.26","19,13,710","2,26,05,92,585.45","1,30,102","11,06,453",57.82
TATATECH,EQ,29-12-2023,"1,175.95","1,180.00","1,188.00","1,170.45","1,182.00","1,180.15","1,181.09","9,74,333","1,15,07,78,263.50","54,434","4,48,692",46.05
TATATECH,EQ,01-01-2024,"1,180.15","1,184.00","1,197.90","1,180.00","1,180.00","1,180.45","1,185.74","7,94,228","94,17,44,990.30","54,162","4,40,787",55.5
TATATECH,EQ,02-01-2024,"1,180.45","1,184.00","1,188.90","1,177.00","1,183.65","1,181.95","1,183.42","7,20,393","85,25,28,674.00","38,674","3,48,134",48.33
TATATECH,EQ,03-01-2024,"1,181.95","1,180.00","1,185.00","1,168.00","1,173.75","1,172.05","1,173.55","9,37,005","1,09,96,21,181.05","59,940","5,47,973",58.48
TATATECH,EQ,04-01-2024,"1,172.05","1,175.00","1,181.55","1,169.45","1,171.45","1,171.35","1,174.29","7,06,442","82,95,65,173.60","49,951","4,53,432",64.19
