SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TATVA,EQ,29-07-2021,"1,083.00","2,111.85","2,534.20","2,111.85","2,303.30","2,312.20","2,304.49","78,60,870","18,11,52,66,961.55","5,50,733","21,90,591",27.87
TATVA,EQ,30-07-2021,"2,312.20","2,323.00","2,380.00","2,250.00","2,270.00","2,267.85","2,303.34","14,32,655","3,29,98,97,869.60","94,519","3,21,191",22.42
TATVA,EQ,02-08-2021,"2,267.85","2,279.00","2,287.70","2,248.00","2,269.00","2,263.25","2,263.35","4,93,438","1,11,68,25,305.90","30,437","1,84,432",37.38
TATVA,EQ,03-08-2021,"2,263.25","2,264.95","2,280.15","2,250.00","2,256.00","2,268.20","2,261.71","3,29,279","74,47,34,072.75","20,128","1,38,172",41.96
TATVA,EQ,04-08-2021,"2,268.20","2,268.20","2,274.00","2,208.75","2,211.25","2,213.10","2,237.30","3,49,040","78,09,07,808.40","19,834","1,57,143",45.02
TATVA,EQ,05-08-2021,"2,213.10","2,212.25","2,215.00","2,120.10","2,140.00","2,131.65","2,140.12","3,03,604","64,97,49,950.00","24,754","1,15,336",37.99
TATVA,EQ,06-08-2021,"2,131.65","2,131.65","2,189.00","2,110.00","2,144.25","2,134.40","2,150.34","2,36,079","50,76,50,870.70","15,683","48,076",20.36
TATVA,EQ,09-08-2021,"2,134.40","2,144.25","2,156.70","2,060.85","2,075.00","2,079.20","2,084.78","2,11,519","44,09,70,858.85","22,509","99,677",47.12
TATVA,EQ,10-08-2021,"2,079.20","2,070.00","2,078.00","2,017.85","2,041.90","2,043.85","2,037.79","1,93,101","39,34,99,231.70","19,045","77,796",40.29
TATVA,EQ,11-08-2021,"2,043.85","2,044.00","2,058.00","2,001.00","2,005.00","2,011.15","2,020.49","1,32,078","26,68,62,276.85","12,706","57,165",43.28
TATVA,EQ,12-08-2021,"2,011.15","2,034.00","2,164.85","2,017.05","2,130.00","2,124.35","2,117.94","3,82,918","81,09,98,122.15","26,242","56,746",14.82
TATVA,EQ,13-08-2021,"2,124.35","2,134.00","2,196.30","2,131.05","2,151.90","2,158.45","2,166.89","1,82,102","39,45,95,536.70","15,386","36,307",19.94
TATVA,EQ,16-08-2021,"2,158.45","2,130.00","2,168.00","2,061.00","2,165.00","2,128.65","2,119.57","99,656","21,12,27,773.00","8,727","33,891",34.01
TATVA,EQ,17-08-2021,"2,128.65","2,162.65","2,185.00","2,128.00","2,165.00","2,170.55","2,158.06","1,53,911","33,21,49,271.55","13,411","54,998",35.73
TATVA,EQ,18-08-2021,"2,170.55","2,174.00","2,230.00","2,148.40","2,199.85","2,202.50","2,200.50","1,70,423","37,50,15,068.00","13,760","57,854",33.95
TATVA,EQ,20-08-2021,"2,202.50","2,180.00","2,258.00","2,157.35","2,200.00","2,200.00","2,209.69","1,88,841","41,72,79,511.60","11,679","1,04,511",55.34
TATVA,EQ,23-08-2021,"2,200.00","2,244.40","2,244.40","2,129.30","2,185.00","2,183.35","2,185.63","87,957","19,22,41,706.35","7,916","32,962",37.48
TATVA,EQ,24-08-2021,"2,183.35","2,183.70","2,185.00","2,120.00","2,132.00","2,144.25","2,161.21","60,029","12,97,35,483.55","6,593","20,435",34.04
TATVA,EQ,25-08-2021,"2,144.25","2,090.00","2,222.00","2,053.25","2,190.00","2,191.55","2,128.19","2,90,102","61,73,91,883.65","24,682","45,488",15.68
TATVA,EQ,26-08-2021,"2,191.55","2,181.00","2,181.00","2,111.00","2,120.00","2,138.55","2,146.40","2,09,220","44,90,69,260.50","16,680","92,846",44.38
TATVA,EQ,27-08-2021,"2,138.55","2,120.00","2,148.55","2,080.00","2,084.00","2,085.25","2,105.71","2,21,377","46,61,55,184.40","9,680","1,53,336",69.26
TATVA,EQ,30-08-2021,"2,085.25","2,088.00","2,128.00","2,071.00","2,075.95","2,077.25","2,094.11","1,09,506","22,93,17,241.50","13,876","54,319",49.6
TATVA,EQ,31-08-2021,"2,077.25","2,088.00","2,100.00","2,051.00","2,061.00","2,060.80","2,073.65","71,756","14,87,96,710.55","12,458","32,398",45.15
TATVA,EQ,01-09-2021,"2,060.80","2,074.00","2,078.90","2,044.00","2,050.30","2,050.45","2,057.59","62,935","12,94,94,388.30","10,752","25,451",40.44
TATVA,EQ,02-09-2021,"2,050.45","2,054.00","2,080.65","2,026.00","2,040.00","2,038.90","2,054.53","78,604","16,14,94,281.90","8,662","30,313",38.56
TATVA,EQ,03-09-2021,"2,038.90","2,048.00","2,079.70","2,041.00","2,046.00","2,048.90","2,059.46","1,40,229","28,87,96,411.70","13,312","25,971",18.52
TATVA,EQ,06-09-2021,"2,048.90","2,062.00","2,083.00","2,035.00","2,039.00","2,039.25","2,052.25","1,03,904","21,32,36,938.50","12,543","50,121",48.24
TATVA,EQ,07-09-2021,"2,039.25","2,047.00","2,099.05","2,031.10","2,062.00","2,065.95","2,071.67","1,24,097","25,70,87,507.20","18,273","44,488",35.85
TATVA,EQ,08-09-2021,"2,065.95","2,073.00","2,073.00","2,042.50","2,055.00","2,056.40","2,057.14","32,946","6,77,74,369.90","4,434","11,276",34.23
TATVA,EQ,09-09-2021,"2,056.40","2,041.00","2,066.20","2,041.00","2,046.00","2,047.10","2,050.49","28,814","5,90,82,828.45","4,103","12,609",43.76
TATVA,EQ,13-09-2021,"2,047.10","2,045.90","2,068.45","2,043.10","2,050.00","2,053.50","2,055.07","32,321","6,64,22,005.15","4,140","11,417",35.32
TATVA,EQ,14-09-2021,"2,053.50","2,059.00","2,065.00","2,041.55","2,060.05","2,059.00","2,055.90","44,506","9,14,99,839.80","5,547","21,716",48.79
TATVA,EQ,15-09-2021,"2,059.00","2,064.00","2,195.00","2,060.00","2,194.00","2,181.05","2,142.55","2,20,711","47,28,84,719.80","19,616","78,772",35.69
TATVA,EQ,16-09-2021,"2,181.05","2,216.40","2,256.90","2,170.55","2,174.00","2,182.95","2,209.41","1,70,249","37,61,50,627.20","17,693","58,896",34.59
TATVA,EQ,17-09-2021,"2,182.95","2,188.00","2,188.00","2,085.00","2,103.00","2,105.15","2,130.60","70,261","14,96,98,112.80","9,175","27,642",39.34
TATVA,EQ,20-09-2021,"2,105.15","2,080.00","2,150.00","2,079.65","2,080.00","2,092.65","2,106.80","49,877","10,50,81,019.10","6,630","14,642",29.36
TATVA,EQ,21-09-2021,"2,092.65","2,083.00","2,146.50","2,062.55","2,142.35","2,135.60","2,108.78","54,112","11,41,10,527.95","6,985","19,569",36.16
TATVA,EQ,22-09-2021,"2,135.60","2,181.60","2,316.60","2,152.15","2,262.55","2,265.35","2,259.93","4,44,739","1,00,50,78,920.80","39,639","1,29,830",29.19
TATVA,EQ,23-09-2021,"2,265.35","2,280.00","2,355.00","2,231.95","2,237.00","2,248.55","2,296.01","2,15,411","49,45,85,416.30","25,096","66,188",30.73
TATVA,EQ,24-09-2021,"2,248.55","2,256.80","2,273.95","2,197.15","2,216.00","2,207.95","2,222.29","55,394","12,31,01,341.85","6,788","20,107",36.3
TATVA,EQ,27-09-2021,"2,207.95","2,218.00","2,235.00","2,160.10","2,175.00","2,185.25","2,200.51","70,392","15,48,98,068.85","8,740","18,444",26.2
TATVA,EQ,28-09-2021,"2,185.25","2,188.00","2,225.80","2,165.00","2,216.00","2,210.30","2,196.10","51,609","11,33,38,317.95","6,305","21,267",41.21
TATVA,EQ,29-09-2021,"2,210.30","2,209.70","2,295.00","2,193.35","2,249.00","2,244.45","2,249.89","95,251","21,43,04,311.35","9,585","33,945",35.64
TATVA,EQ,30-09-2021,"2,244.45","2,246.70","2,281.30","2,181.10","2,194.00","2,191.70","2,230.48","82,988","18,51,03,410.10","12,942","25,662",30.92
TATVA,EQ,01-10-2021,"2,191.70","2,178.80","2,197.00","2,142.10","2,150.00","2,154.65","2,165.69","52,643","11,40,08,509.95","6,923","18,088",34.36
TATVA,EQ,04-10-2021,"2,154.65","2,168.80","2,235.00","2,166.00","2,204.85","2,200.30","2,205.26","72,425","15,97,15,999.85","10,427","25,356",35.01
TATVA,EQ,05-10-2021,"2,200.30","2,199.00","2,310.00","2,156.85","2,254.00","2,250.60","2,264.85","2,08,603","47,24,54,720.35","19,390","53,795",25.79
TATVA,EQ,06-10-2021,"2,250.60","2,255.00","2,322.00","2,225.00","2,275.00","2,277.25","2,291.71","1,57,160","36,01,65,286.15","14,389","55,963",35.61
TATVA,EQ,07-10-2021,"2,277.25","2,293.70","2,345.00","2,276.00","2,298.90","2,292.70","2,318.09","1,25,513","29,09,50,970.00","11,915","45,202",36.01
TATVA,EQ,08-10-2021,"2,292.70","2,308.00","2,398.00","2,285.00","2,370.00","2,360.65","2,351.11","2,35,645","55,40,28,166.05","22,241","1,01,981",43.28
TATVA,EQ,11-10-2021,"2,360.65","2,370.00","2,447.90","2,370.00","2,390.00","2,400.20","2,412.92","2,10,962","50,90,33,986.45","19,574","93,868",44.5
TATVA,EQ,12-10-2021,"2,400.20","2,389.00","2,421.40","2,332.00","2,345.05","2,347.70","2,376.04","81,469","19,35,73,609.20","9,541","36,282",44.53
TATVA,EQ,13-10-2021,"2,347.70","2,359.60","2,363.70","2,292.00","2,320.00","2,322.70","2,318.96","86,321","20,01,75,171.45","9,724","37,477",43.42
TATVA,EQ,14-10-2021,"2,322.70","2,338.60","2,359.00","2,305.90","2,332.00","2,326.10","2,330.44","61,622","14,36,06,456.35","7,683","26,353",42.77
TATVA,EQ,18-10-2021,"2,326.10","2,328.00","2,360.00","2,260.00","2,268.00","2,270.15","2,310.60","50,797","11,73,71,348.40","6,745","25,952",51.09
TATVA,EQ,19-10-2021,"2,270.15","2,270.15","2,288.30","2,165.00","2,176.00","2,184.85","2,228.04","60,814","13,54,96,072.05","10,825","36,662",60.29
TATVA,EQ,20-10-2021,"2,184.85","2,189.90","2,200.45","2,079.00","2,110.00","2,104.70","2,120.49","73,985","15,68,84,564.90","12,809","36,712",49.62
TATVA,EQ,21-10-2021,"2,104.70","2,110.00","2,172.00","2,101.85","2,143.50","2,144.70","2,142.19","39,244","8,40,68,130.45","6,687","13,997",35.67
TATVA,EQ,22-10-2021,"2,144.70","2,154.70","2,200.00","2,125.00","2,148.30","2,135.10","2,162.29","39,784","8,60,24,479.05","8,100","15,770",39.64
TATVA,EQ,25-10-2021,"2,135.10","2,450.00","2,480.00","2,280.00","2,317.95","2,312.25","2,362.01","5,40,769","1,27,73,03,425.45","66,543","1,05,297",19.47
TATVA,EQ,26-10-2021,"2,312.25","2,319.00","2,662.60","2,273.50","2,639.00","2,559.90","2,497.34","5,29,655","1,32,27,29,062.70","49,778","1,62,181",30.62
TATVA,EQ,27-10-2021,"2,559.90","2,725.00","2,807.00","2,607.00","2,644.00","2,649.45","2,728.39","10,15,192","2,76,98,37,482.05","96,988","1,60,660",15.83
TATVA,EQ,28-10-2021,"2,649.45","2,630.00","2,647.00","2,580.00","2,590.00","2,596.25","2,608.70","1,93,161","50,38,99,284.20","20,313","50,213",26.0
TATVA,EQ,29-10-2021,"2,596.25","2,560.00","2,664.25","2,461.00","2,512.00","2,505.00","2,551.55","1,48,875","37,98,62,433.40","15,370","51,194",34.39
TATVA,EQ,01-11-2021,"2,505.00","2,534.00","2,700.00","2,500.05","2,690.95","2,665.80","2,602.41","1,00,413","26,13,15,810.25","11,002","42,615",42.44
TATVA,EQ,02-11-2021,"2,665.80","2,684.50","2,906.00","2,665.80","2,885.00","2,877.95","2,833.75","3,12,765","88,62,98,405.80","30,320","1,09,207",34.92
TATVA,EQ,03-11-2021,"2,877.95","2,930.00","2,977.80","2,752.10","2,766.15","2,779.00","2,854.67","1,57,688","45,01,47,641.55","20,288","57,585",36.52
TATVA,EQ,04-11-2021,"2,779.00","2,814.00","2,860.00","2,786.15","2,843.95","2,843.30","2,828.29","35,962","10,17,10,934.90","4,292","15,821",43.99
TATVA,EQ,08-11-2021,"2,843.30","2,865.00","2,865.00","2,700.00","2,752.60","2,755.50","2,774.09","49,197","13,64,77,086.45","7,120","21,752",44.21
TATVA,EQ,09-11-2021,"2,755.50","2,755.50","2,827.00","2,682.15","2,721.00","2,730.40","2,743.76","70,669","19,38,98,972.15","10,467","30,793",43.57
TATVA,EQ,10-11-2021,"2,730.40","2,715.00","2,770.95","2,650.00","2,657.00","2,663.35","2,692.13","60,943","16,40,66,719.05","8,921","26,940",44.21
TATVA,EQ,11-11-2021,"2,663.35","2,663.35","2,688.00","2,563.35","2,585.00","2,573.90","2,592.21","66,723","17,29,60,270.85","11,590","31,849",47.73
TATVA,EQ,12-11-2021,"2,573.90","2,585.00","2,756.00","2,525.00","2,722.00","2,725.20","2,659.76","1,76,939","47,06,15,777.65","22,011","52,581",29.72
TATVA,EQ,15-11-2021,"2,725.20","2,765.00","2,773.00","2,655.60","2,669.95","2,678.60","2,701.73","60,232","16,27,30,519.85","8,829","23,797",39.51
TATVA,EQ,16-11-2021,"2,678.60","2,677.70","2,707.95","2,622.25","2,650.00","2,634.50","2,662.12","49,200","13,09,76,220.40","7,295","18,084",36.76
TATVA,EQ,17-11-2021,"2,634.50","2,629.90","2,680.00","2,561.40","2,590.00","2,580.05","2,622.30","60,735","15,92,65,516.35","9,225","25,935",42.7
TATVA,EQ,18-11-2021,"2,580.05","2,590.00","2,608.30","2,463.25","2,590.00","2,568.85","2,543.98","91,095","23,17,43,861.20","15,537","31,430",34.5
