SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TBI,ST,07-06-2024,94.0,198.0,207.9,198.0,207.9,207.9,202.79,"25,92,000","52,56,37,320.00","1,714","25,92,000",100.0
TBI,ST,10-06-2024,207.9,218.25,218.25,212.0,218.25,218.25,217.87,"5,24,400","11,42,50,380.00",313,"5,14,800",98.17
TBI,ST,11-06-2024,218.25,229.15,229.15,229.15,229.15,229.15,229.15,"21,600","49,49,640.00",17,"21,600",100.0
TBI,ST,12-06-2024,229.15,240.6,240.6,240.6,240.6,240.6,240.6,"36,000","86,61,600.00",20,"36,000",100.0
TBI,ST,13-06-2024,240.6,252.6,252.6,252.6,252.6,252.6,252.6,"14,400","36,37,440.00",11,"14,400",100.0
TBI,ST,14-06-2024,252.6,247.5,265.2,240.0,265.2,265.2,259.58,"7,60,800","19,74,91,200.00",509,"6,84,000",89.91
TBI,ST,18-06-2024,265.2,278.4,278.45,272.0,278.45,278.45,278.2,"1,57,200","4,37,33,280.00",115,"1,56,000",99.24
TBI,ST,19-06-2024,278.45,292.35,292.35,289.0,292.35,292.35,292.24,"49,200","1,43,77,980.00",40,"49,200",100.0
TBI,ST,20-06-2024,292.35,306.95,306.95,306.95,306.95,306.95,306.95,"27,600","84,71,820.00",20,"27,600",100.0
TBI,ST,21-06-2024,306.95,322.25,322.25,322.25,322.25,322.25,322.25,"27,600","88,94,100.00",16,"27,600",100.0
TBI,SM,24-06-2024,322.25,354.45,354.45,340.35,354.45,354.45,353.79,"2,85,600","10,10,43,300.00",172,"1,54,800",54.2
TBI,SM,25-06-2024,354.45,388.0,389.85,330.0,361.5,367.05,372.5,"5,97,600","22,26,03,720.00",458,"3,28,800",55.02
TBI,SM,26-06-2024,367.05,345.0,366.0,330.35,330.35,330.35,341.39,"3,39,600","11,59,34,760.00",260,"2,18,400",64.31
TBI,SM,27-06-2024,330.35,313.0,362.0,307.0,337.95,327.6,336.47,"2,96,400","9,97,28,400.00",231,"1,82,400",61.54
TBI,SM,28-06-2024,327.6,313.0,329.95,294.85,294.85,296.65,303.5,"4,03,200","12,23,70,540.00",295,"2,70,000",66.96
TBI,SM,01-07-2024,296.65,288.05,326.3,270.55,326.25,326.15,309.1,"4,98,000","15,39,29,700.00",266,"2,58,000",51.81
TBI,SM,02-07-2024,326.15,327.0,334.0,315.0,318.0,317.85,320.83,"88,800","2,84,89,560.00",73,"68,400",77.03
TBI,SM,03-07-2024,317.85,324.0,349.6,324.0,349.6,349.6,344.53,"1,33,200","4,58,91,300.00",107,"1,23,600",92.79
TBI,SM,04-07-2024,349.6,384.55,384.55,350.0,362.0,363.0,369.18,"1,30,800","4,82,88,120.00",101,"1,00,800",77.06
