SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TECHNOE,BE,04-12-2018,263.7,304.0,304.0,288.8,288.8,288.8,291.64,"57,775","1,68,49,696.90",173,-,-
TECHNOE,BE,05-12-2018,288.8,274.4,274.4,274.4,274.4,274.4,274.4,"42,971","1,17,91,242.40",21,-,-
TECHNOE,BE,06-12-2018,274.4,260.7,260.7,260.7,260.7,260.7,260.7,"85,143","2,21,96,780.10",42,-,-
TECHNOE,BE,07-12-2018,260.7,247.7,250.0,247.7,247.7,247.7,247.8,"6,804","16,86,033.80",42,-,-
TECHNOE,BE,10-12-2018,247.7,235.35,240.0,235.35,235.35,235.35,235.36,"55,223","1,29,97,157.70",221,-,-
TECHNOE,BE,11-12-2018,235.35,223.6,234.0,223.6,223.6,224.6,223.99,"44,743","1,00,21,900.55",414,-,-
TECHNOE,BE,12-12-2018,224.6,221.05,235.8,215.6,235.8,233.35,225.93,"2,52,920","5,71,42,745.45","1,272",-,-
TECHNOE,BE,13-12-2018,233.35,245.0,245.0,245.0,245.0,245.0,245.0,"7,631","18,69,595.00",87,-,-
TECHNOE,BE,14-12-2018,245.0,257.25,257.25,252.0,257.25,257.25,257.15,"1,91,049","4,91,27,586.40",759,-,-
TECHNOE,BE,17-12-2018,257.25,261.9,270.1,256.7,256.7,260.45,264.5,"74,837","1,97,94,083.60",828,-,-
TECHNOE,EQ,18-12-2018,260.45,264.0,274.45,252.9,259.5,260.2,258.43,"1,32,419","3,42,20,982.10","2,153","1,10,366",83.35
TECHNOE,EQ,19-12-2018,260.2,263.0,267.0,260.5,260.5,261.6,263.02,"43,171","1,13,54,670.10","1,553","32,031",74.20
TECHNOE,EQ,20-12-2018,261.6,261.5,261.5,254.75,257.0,258.15,257.35,"1,04,473","2,68,85,863.70","2,993","90,826",86.94
TECHNOE,EQ,21-12-2018,258.15,258.5,259.7,255.65,257.2,258.0,258.45,"38,311","99,01,357.35",819,"34,060",88.90
TECHNOE,EQ,24-12-2018,258.0,260.85,265.0,260.85,261.55,261.85,262.44,"55,392","1,45,36,943.50",734,"42,040",75.90
TECHNOE,EQ,26-12-2018,261.85,264.0,264.0,254.5,254.75,255.15,256.51,"77,811","1,99,59,219.05","2,507","54,329",69.82
TECHNOE,EQ,27-12-2018,255.15,256.05,260.0,255.2,259.35,259.1,257.8,"28,397","73,20,826.05",685,"21,048",74.12
TECHNOE,EQ,28-12-2018,259.1,259.95,260.0,256.4,260.0,259.85,258.86,"45,026","1,16,55,358.05",677,"39,179",87.01
TECHNOE,EQ,31-12-2018,259.85,260.0,275.0,260.0,262.95,264.3,267.33,"1,07,921","2,88,50,180.40","2,940","79,892",74.03
TECHNOE,EQ,01-01-2019,264.3,266.5,266.5,260.75,263.4,261.65,263.29,"81,585","2,14,80,646.55","1,219","73,459",90.04
TECHNOE,EQ,02-01-2019,261.65,252.05,252.05,237.35,248.05,247.7,244.83,"99,617","2,43,89,122.55","3,335","53,677",53.88
TECHNOE,EQ,03-01-2019,247.7,237.5,249.0,237.5,242.0,241.85,242.7,"15,318","37,17,701.80",331,"11,059",72.2
TECHNOE,EQ,04-01-2019,241.85,240.0,242.8,238.25,240.0,240.0,240.0,"51,454","1,23,48,897.60","1,527","46,798",90.95
TECHNOE,EQ,07-01-2019,240.0,243.45,252.3,240.0,246.9,248.1,244.11,"45,525","1,11,13,194.40","1,243","30,489",66.97
TECHNOE,EQ,08-01-2019,248.1,246.0,246.0,240.1,245.25,245.0,243.38,"6,674","16,24,303.90",407,"4,125",61.81
TECHNOE,EQ,09-01-2019,245.0,242.1,245.5,240.95,245.05,245.0,243.97,"8,169","19,92,961.10",715,"5,718",70.0
TECHNOE,EQ,10-01-2019,245.0,248.95,248.95,241.15,245.0,245.0,243.82,"4,051","9,87,719.75",285,"2,609",64.4
TECHNOE,EQ,11-01-2019,245.0,243.05,249.85,240.6,243.0,241.75,242.25,"5,149","12,47,351.60",157,"3,159",61.35
TECHNOE,EQ,14-01-2019,241.75,242.45,247.4,240.6,243.5,243.55,244.1,"19,059","46,52,291.35",242,"12,219",64.11
TECHNOE,EQ,15-01-2019,243.55,242.15,244.9,242.1,244.0,244.0,243.95,"25,730","62,76,722.90",159,"24,783",96.32
TECHNOE,EQ,16-01-2019,244.0,249.75,257.95,243.0,257.0,253.3,248.18,"14,398","35,73,307.45",466,"11,723",81.42
TECHNOE,EQ,17-01-2019,253.3,254.75,260.0,246.05,246.6,247.1,257.22,"67,942","1,74,76,304.55",821,"51,337",75.56
TECHNOE,EQ,18-01-2019,247.1,245.3,249.55,242.75,248.0,245.5,245.61,"14,431","35,44,437.90",502,"9,821",68.05
TECHNOE,EQ,21-01-2019,245.5,244.05,248.0,243.5,246.1,246.6,245.36,"8,357","20,50,457.40",250,"6,846",81.92
TECHNOE,EQ,22-01-2019,246.6,245.8,249.0,244.05,249.0,246.55,245.55,"9,447","23,19,690.65",789,"6,540",69.23
TECHNOE,EQ,23-01-2019,246.55,244.55,252.0,244.5,248.1,249.95,246.71,"7,949","19,61,089.80",196,"6,725",84.6
TECHNOE,EQ,24-01-2019,249.95,248.0,254.3,246.0,254.0,251.95,248.58,"6,860","17,05,273.25",267,"4,703",68.56
TECHNOE,EQ,25-01-2019,251.95,250.05,260.0,245.45,250.0,249.95,256.54,"1,05,061","2,69,52,299.20","1,059","55,666",52.98
TECHNOE,EQ,28-01-2019,249.95,243.1,248.15,243.1,243.3,243.65,244.96,"12,448","30,49,245.45","1,288","11,571",92.95
TECHNOE,EQ,29-01-2019,243.65,243.0,244.9,242.1,243.0,243.05,242.97,"4,063","9,87,170.95",114,"3,560",87.62
TECHNOE,EQ,30-01-2019,243.05,245.0,255.1,236.2,236.55,237.7,239.95,"5,155","12,36,961.55",471,"1,832",35.54
TECHNOE,EQ,31-01-2019,237.7,239.65,247.9,234.4,242.0,240.9,242.4,"2,56,928","6,22,80,287.00",585,"1,45,994",56.82
TECHNOE,EQ,01-02-2019,240.9,244.25,244.3,235.0,236.15,237.3,236.66,"7,399","17,51,052.95",320,"5,703",77.08
TECHNOE,EQ,04-02-2019,237.3,237.55,240.75,235.0,236.0,235.2,236.4,"4,704","11,12,038.15",178,"4,138",87.97
TECHNOE,EQ,05-02-2019,235.2,241.05,241.05,234.5,235.05,235.1,235.03,"9,423","22,14,650.50",181,"8,188",86.89
TECHNOE,EQ,06-02-2019,235.1,243.9,243.9,220.2,228.5,228.5,228.01,"37,410","85,29,760.85","3,701","22,486",60.11
TECHNOE,EQ,07-02-2019,228.5,231.8,236.0,225.05,229.95,227.95,228.92,"4,186","9,58,276.05",188,"3,009",71.88
TECHNOE,EQ,08-02-2019,227.95,229.95,234.5,222.35,234.5,232.15,228.26,"7,768","17,73,108.25",542,"4,803",61.83
TECHNOE,EQ,11-02-2019,232.15,230.0,230.0,223.1,223.1,226.25,226.2,"19,510","44,13,188.10",297,"17,502",89.71
TECHNOE,EQ,12-02-2019,226.25,225.05,231.0,219.05,230.0,221.15,221.27,"32,648","72,24,056.65",535,"30,989",94.92
TECHNOE,EQ,13-02-2019,221.15,223.4,223.9,218.0,218.1,221.65,221.84,"9,084","20,15,206.35",203,"7,749",85.3
TECHNOE,EQ,14-02-2019,221.65,221.05,232.0,215.85,232.0,229.0,222.73,"10,217","22,75,653.00",785,"7,004",68.55
TECHNOE,EQ,15-02-2019,229.0,231.95,241.0,219.5,240.0,236.9,230.15,"33,770","77,72,137.75","1,551","23,519",69.64
TECHNOE,EQ,18-02-2019,236.9,235.05,253.5,235.05,252.0,250.9,250.38,"3,37,524","8,45,10,661.55",966,"2,87,004",85.03
TECHNOE,EQ,19-02-2019,250.9,250.2,250.2,242.3,245.05,246.85,245.77,"15,467","38,01,342.50",688,"6,840",44.22
TECHNOE,EQ,20-02-2019,246.85,245.05,255.85,245.05,252.05,253.7,251.34,"9,532","23,95,794.30",560,"7,529",78.99
TECHNOE,EQ,21-02-2019,253.7,252.05,266.35,250.0,263.0,262.6,262.31,"2,24,502","5,88,89,409.35","1,091","1,00,376",44.71
TECHNOE,EQ,22-02-2019,262.6,263.15,270.0,256.9,270.0,267.75,264.94,"26,275","69,61,271.95",782,"19,563",74.45
TECHNOE,EQ,25-02-2019,267.75,264.0,268.95,259.05,260.0,265.65,265.56,"3,43,363","9,11,85,131.95","4,872","2,16,217",62.97
TECHNOE,EQ,26-02-2019,265.65,253.0,260.5,247.0,247.1,249.8,251.91,"19,997","50,37,412.85","1,144","11,218",56.1
TECHNOE,EQ,27-02-2019,249.8,253.0,253.0,244.3,245.9,245.35,249.78,"46,760","1,16,79,542.05",352,"42,130",90.1
