SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TERASOFT,EQ,29-12-2016,109.75,112.95,115.0,105.5,105.8,106.2,108.83,"61,775","67,23,244.00","1,338","32,811",53.11
TERASOFT,EQ,30-12-2016,106.2,109.4,113.75,106.0,107.4,108.05,110.24,"1,00,911","1,11,24,105.35","1,423","55,522",55.02
TERASOFT,EQ,02-01-2017,108.05,108.0,111.75,107.0,110.0,110.65,109.76,"43,862","48,14,178.05",683,"32,146",73.29
TERASOFT,EQ,03-01-2017,110.65,111.95,130.95,108.2,123.65,124.45,123.74,"7,83,667","9,69,73,199.10","10,119","1,90,476",24.31
TERASOFT,EQ,04-01-2017,124.45,124.0,132.85,120.5,129.3,130.05,129.45,"4,33,064","5,60,59,936.15","6,860","1,22,567",28.3
TERASOFT,EQ,05-01-2017,130.05,130.0,131.9,123.0,124.95,125.05,126.69,"1,12,491","1,42,51,612.30","1,909","62,829",55.85
TERASOFT,EQ,06-01-2017,125.05,123.0,131.9,121.2,124.0,125.3,126.61,"1,95,909","2,48,04,028.80","2,998","76,082",38.84
TERASOFT,EQ,09-01-2017,125.3,125.25,125.85,121.0,121.1,122.45,122.68,"62,086","76,16,746.20",836,"29,849",48.08
TERASOFT,EQ,10-01-2017,122.45,122.45,125.5,121.2,122.2,122.75,123.15,"49,367","60,79,487.95",833,"16,525",33.47
TERASOFT,EQ,11-01-2017,122.75,123.95,128.9,121.6,124.75,124.2,125.46,"68,177","85,53,404.25","1,154","21,624",31.72
TERASOFT,EQ,12-01-2017,124.2,124.55,125.45,119.55,120.0,120.9,122.21,"39,248","47,96,348.05",504,"24,821",63.24
TERASOFT,EQ,13-01-2017,120.9,121.2,122.85,117.0,118.95,118.5,119.94,"44,826","53,76,298.75",577,"30,709",68.51
TERASOFT,EQ,16-01-2017,118.5,119.05,122.0,116.0,117.0,117.2,118.57,"25,730","30,50,776.55",411,"14,504",56.37
TERASOFT,EQ,17-01-2017,117.2,117.15,125.75,116.0,119.1,119.75,121.39,"71,107","86,31,918.95","1,794","25,718",36.17
TERASOFT,EQ,18-01-2017,119.75,121.65,123.85,117.5,120.0,119.65,121.15,"31,899","38,64,547.20",716,"12,526",39.27
TERASOFT,EQ,19-01-2017,119.65,120.55,121.55,118.0,118.15,118.4,119.41,"15,745","18,80,042.90",398,"8,065",51.22
TERASOFT,EQ,20-01-2017,118.4,117.15,121.0,115.4,117.45,116.7,118.06,"22,648","26,73,877.45",334,"16,219",71.61
TERASOFT,EQ,23-01-2017,116.7,116.0,120.4,116.0,116.2,116.6,117.64,"11,907","14,00,787.45",268,"7,649",64.24
TERASOFT,EQ,24-01-2017,116.6,117.0,121.5,116.05,117.2,116.35,117.16,"10,038","11,76,066.90",236,"6,213",61.89
TERASOFT,EQ,25-01-2017,116.35,119.6,121.0,115.25,116.5,115.45,116.81,"30,552","35,68,737.95",429,"20,703",67.76
TERASOFT,EQ,27-01-2017,115.45,117.0,118.4,110.05,113.0,114.25,114.55,"27,264","31,23,184.95",358,"21,265",78.0
TERASOFT,EQ,30-01-2017,114.25,112.0,116.0,109.0,109.65,110.25,112.37,"20,320","22,83,393.45",289,"15,705",77.29
TERASOFT,EQ,31-01-2017,110.25,109.25,113.0,100.3,108.0,107.15,109.73,"20,223","22,18,987.15",410,"13,510",66.81
TERASOFT,EQ,01-02-2017,107.15,105.3,115.0,105.25,111.25,112.3,109.03,"22,879","24,94,502.40",309,"16,157",70.62
TERASOFT,EQ,02-02-2017,112.3,112.0,114.75,109.0,109.1,110.15,111.33,"11,321","12,60,341.30",385,"6,832",60.35
TERASOFT,EQ,03-02-2017,110.15,110.05,111.9,108.0,108.25,108.35,108.95,"10,716","11,67,524.80",215,"9,124",85.14
TERASOFT,EQ,06-02-2017,108.35,107.5,110.95,99.05,108.0,106.7,107.71,"26,214","28,23,515.85",394,"21,396",81.62
TERASOFT,EQ,07-02-2017,106.7,106.0,107.55,101.7,102.5,102.8,104.44,"34,225","35,74,530.65",359,"32,530",95.05
TERASOFT,EQ,08-02-2017,102.8,105.0,108.65,103.0,105.05,105.25,105.39,"31,228","32,91,173.10",275,"24,950",79.9
TERASOFT,EQ,09-02-2017,105.25,105.5,107.95,104.5,105.5,106.15,106.07,"50,348","53,40,199.25",461,"38,955",77.37
TERASOFT,EQ,10-02-2017,106.15,107.0,114.0,106.15,109.95,109.7,110.46,"41,073","45,36,782.85",676,"19,994",48.68
TERASOFT,EQ,13-02-2017,109.7,102.9,103.05,95.2,96.3,96.4,98.64,"1,36,793","1,34,93,251.90","1,682","94,330",68.96
TERASOFT,EQ,14-02-2017,96.4,96.4,99.35,93.7,95.35,95.95,96.33,"27,379","26,37,347.85",461,"12,737",46.52
