SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TEXRAIL,BE,03-03-2011,161.7,90.0,95.0,68.0,68.0,69.25,75.84,"4,34,099","3,29,22,342.45",-,-,-
TEXRAIL,BE,04-03-2011,69.25,68.0,69.85,65.8,69.1,68.3,66.43,"55,430","36,82,272.55",-,-,-
TEXRAIL,BE,07-03-2011,68.3,68.95,68.95,64.9,66.6,66.5,65.07,"1,39,368","90,68,197.80",-,-,-
TEXRAIL,BE,08-03-2011,66.5,66.0,68.0,63.2,67.9,66.95,64.02,"2,49,876","1,59,96,832.70",-,-,-
TEXRAIL,BE,09-03-2011,66.95,66.05,69.7,66.0,68.5,69.3,67.47,"20,795","14,02,968.05",-,-,-
TEXRAIL,BE,10-03-2011,69.3,68.0,68.25,66.0,67.2,66.7,66.47,"3,80,257","2,52,74,621.50",-,-,-
TEXRAIL,BE,11-03-2011,66.7,63.7,67.6,63.7,67.0,66.2,66.14,"1,82,990","1,21,02,565.15",-,-,-
TEXRAIL,BE,14-03-2011,66.2,64.55,67.0,64.2,67.0,67.0,66.11,"26,143","17,28,423.25",-,-,-
TEXRAIL,BE,15-03-2011,67.0,66.0,66.4,63.75,64.95,63.8,65.1,"35,704","23,24,438.05",-,-,-
TEXRAIL,BE,16-03-2011,63.8,63.05,67.0,63.0,67.0,66.35,66.86,"2,19,638","1,46,85,824.70",-,-,-
TEXRAIL,EQ,17-03-2011,66.35,68.7,77.0,67.95,70.7,70.6,72.85,"2,75,285","2,00,55,399.15",-,"1,23,350",44.81
TEXRAIL,EQ,18-03-2011,70.6,70.1,71.6,66.3,66.6,66.75,68.42,"37,021","25,33,038.15",-,"19,608",52.96
TEXRAIL,EQ,21-03-2011,66.75,65.3,67.0,63.2,64.95,64.2,64.67,"56,647","36,63,481.05",-,"40,070",70.74
TEXRAIL,EQ,22-03-2011,64.2,65.05,65.65,63.85,65.45,64.55,64.96,"1,38,472","89,94,511.95",-,"1,34,781",97.33
TEXRAIL,EQ,23-03-2011,64.55,65.25,69.0,64.55,68.0,67.2,66.36,"1,73,261","1,14,97,415.95",-,"83,149",47.99
TEXRAIL,EQ,24-03-2011,67.2,68.7,68.7,64.8,65.7,65.8,65.55,"58,773","38,52,360.80",-,"42,948",73.07
TEXRAIL,EQ,25-03-2011,65.8,65.25,67.3,63.75,64.0,64.2,64.55,"1,62,457","1,04,86,739.55",-,"1,47,425",90.75
TEXRAIL,EQ,28-03-2011,64.2,65.6,65.85,63.5,65.35,65.1,64.67,"39,157","25,32,401.45",-,"28,164",71.93
TEXRAIL,EQ,29-03-2011,65.1,65.9,68.75,64.0,68.6,67.65,65.78,"1,26,048","82,91,282.90",-,"1,05,186",83.45
TEXRAIL,EQ,30-03-2011,67.65,67.65,69.9,67.65,68.95,69.0,68.64,"38,777","26,61,834.25",-,"33,685",86.87
TEXRAIL,EQ,31-03-2011,69.0,69.0,71.0,65.5,70.0,70.05,69.19,"64,793","44,83,188.25",-,"56,951",87.90
TEXRAIL,EQ,01-04-2011,70.05,69.3,72.6,69.0,70.4,70.55,70.64,"71,029","50,17,731.20",-,"45,271",63.74
TEXRAIL,EQ,04-04-2011,70.55,70.5,77.2,70.0,76.5,76.8,74.83,"1,09,678","82,07,466.25",-,"76,840",70.06
TEXRAIL,EQ,05-04-2011,76.8,76.8,77.0,74.1,75.05,75.25,75.21,"74,596","56,10,322.10",-,"57,841",77.54
TEXRAIL,EQ,06-04-2011,75.25,74.25,76.5,72.15,73.1,73.3,74.13,"65,601","48,63,088.50",-,"57,664",87.90
TEXRAIL,EQ,07-04-2011,73.3,73.55,74.95,73.3,73.9,73.6,73.77,"32,478","23,95,963.40",-,"23,484",72.31
TEXRAIL,EQ,08-04-2011,73.6,74.0,76.9,73.5,76.75,75.9,74.84,"1,10,201","82,47,595.90",-,"80,634",73.17
TEXRAIL,EQ,11-04-2011,75.9,74.7,75.65,73.0,73.35,73.5,74.95,"74,527","55,85,700.75",-,"59,475",79.80
TEXRAIL,EQ,13-04-2011,73.5,72.55,75.1,72.0,74.65,74.7,73.45,"48,722","35,78,475.30",-,"36,649",75.22
TEXRAIL,EQ,15-04-2011,74.7,73.55,74.4,72.1,72.1,72.4,72.62,"69,701","50,61,636.60",-,"60,273",86.47
TEXRAIL,EQ,18-04-2011,72.4,71.65,72.05,69.25,70.0,70.1,70.81,"31,658","22,41,821.05",-,"25,806",81.51
TEXRAIL,EQ,19-04-2011,70.1,71.15,73.0,70.0,73.0,72.0,70.53,"4,21,189","2,97,06,792.90",-,"4,16,022",98.77
TEXRAIL,EQ,20-04-2011,72.0,73.2,74.75,70.95,72.05,71.9,71.83,"57,890","41,58,237.65",-,"49,812",86.05
TEXRAIL,EQ,21-04-2011,71.9,71.15,75.0,71.15,74.8,74.3,73.6,"32,885","24,20,456.35",-,"29,361",89.28
TEXRAIL,EQ,25-04-2011,74.3,74.9,76.0,72.9,75.0,75.25,74.93,"42,686","31,98,415.95",-,"18,860",44.18
TEXRAIL,EQ,26-04-2011,75.25,74.9,76.45,73.65,75.95,76.05,75.77,"48,441","36,70,218.75",-,"37,042",76.47
TEXRAIL,EQ,27-04-2011,76.05,75.4,75.95,74.75,75.0,75.0,75.21,"20,792","15,63,821.55",-,"13,651",65.66
TEXRAIL,EQ,28-04-2011,75.0,75.0,75.0,73.55,74.05,74.15,74.36,"31,793","23,63,983.45",-,"29,954",94.22
TEXRAIL,EQ,29-04-2011,74.15,74.7,74.7,73.0,74.15,74.05,73.8,"24,646","18,18,782.50",-,"23,083",93.66
TEXRAIL,EQ,02-05-2011,74.05,74.5,75.0,71.75,74.0,74.0,73.96,"60,442","44,70,167.90",-,"58,270",96.41
TEXRAIL,EQ,03-05-2011,74.0,73.0,74.05,72.55,73.0,73.9,73.21,"50,080","36,66,232.75",-,"41,748",83.36
TEXRAIL,EQ,04-05-2011,73.9,71.1,75.0,71.05,75.0,74.4,73.95,"22,811","16,86,802.60",-,"19,064",83.57
TEXRAIL,EQ,05-05-2011,74.4,75.0,75.0,73.1,74.0,73.8,73.81,"11,310","8,34,843.35",-,"8,601",76.05
TEXRAIL,EQ,06-05-2011,73.8,73.3,74.9,73.3,74.0,74.2,73.91,"21,396","15,81,378.75",-,"19,365",90.51
TEXRAIL,EQ,09-05-2011,74.2,73.5,74.85,73.05,74.0,74.0,73.76,"25,346","18,69,460.95",-,"23,209",91.57
TEXRAIL,EQ,10-05-2011,74.0,73.5,74.5,72.0,74.5,72.95,73.47,"34,782","25,55,423.25",-,"28,145",80.92
TEXRAIL,EQ,11-05-2011,72.95,73.25,75.1,73.25,74.1,73.8,74.05,"28,337","20,98,217.85",-,"24,687",87.12
TEXRAIL,EQ,12-05-2011,73.8,73.2,74.05,72.5,72.5,72.5,72.85,"27,897","20,32,228.70",-,"26,533",95.11
TEXRAIL,EQ,13-05-2011,72.5,71.5,74.7,71.5,74.0,74.0,73.99,"56,180","41,56,692.45",-,"54,434",96.89
TEXRAIL,EQ,16-05-2011,74.0,73.95,73.95,72.5,72.8,72.8,72.83,"15,558","11,33,055.15",-,"15,084",96.95
TEXRAIL,EQ,17-05-2011,72.8,72.25,73.85,72.0,73.05,73.5,72.77,"20,091","14,61,965.85",-,"18,408",91.62
TEXRAIL,EQ,18-05-2011,73.5,73.0,74.0,70.15,74.0,73.05,73.01,"25,622","18,70,575.00",-,"25,302",98.75
TEXRAIL,EQ,19-05-2011,73.05,72.6,73.1,71.1,73.1,72.7,72.22,"39,831","28,76,781.20",-,"37,082",93.10
TEXRAIL,EQ,20-05-2011,72.7,72.0,75.5,71.5,73.05,73.05,73.1,"30,545","22,32,889.55",-,"28,554",93.48
TEXRAIL,EQ,23-05-2011,73.05,72.1,74.5,71.55,73.0,72.75,72.85,"8,687","6,32,882.00",-,"5,316",61.19
TEXRAIL,EQ,24-05-2011,72.75,73.2,77.0,73.2,76.95,76.45,75.57,"37,654","28,45,415.00",-,"29,434",78.17
TEXRAIL,EQ,25-05-2011,76.45,75.25,78.7,75.0,77.0,77.1,76.87,"50,969","39,17,986.75",-,"23,727",46.55
TEXRAIL,EQ,26-05-2011,77.1,77.5,79.35,76.25,76.75,76.85,77.1,"14,772","11,38,911.30",-,"10,775",72.94
TEXRAIL,EQ,27-05-2011,76.85,76.25,77.5,75.45,77.0,76.95,76.56,"19,346","14,81,069.35",-,"18,056",93.33
TEXRAIL,EQ,30-05-2011,76.95,76.25,77.45,76.2,77.45,76.95,77.02,"11,807","9,09,328.85",-,"11,367",96.27
TEXRAIL,EQ,31-05-2011,76.95,78.9,78.9,73.55,76.0,75.55,75.67,"2,13,409","1,61,47,932.35",-,"2,03,130",95.18
TEXRAIL,EQ,01-06-2011,75.55,76.6,76.6,74.6,76.0,75.6,75.69,"90,548","68,54,016.10","1,043","82,939",91.60
TEXRAIL,EQ,02-06-2011,75.6,75.2,76.85,75.2,75.9,75.95,75.79,"4,693","3,55,699.60",78,"3,166",67.46
TEXRAIL,EQ,03-06-2011,75.95,76.0,78.0,76.0,77.05,77.25,77.06,"51,817","39,93,109.75",208,"49,387",95.31
TEXRAIL,EQ,06-06-2011,77.25,77.0,79.3,76.05,79.2,78.75,78.63,"16,791","13,20,266.15",283,"10,672",63.56
TEXRAIL,EQ,07-06-2011,78.75,79.6,79.9,77.75,79.1,79.4,78.86,"12,128","9,56,395.95",134,"9,227",76.08
TEXRAIL,EQ,08-06-2011,79.4,78.4,84.4,78.35,81.4,81.4,80.14,"36,416","29,18,458.55",336,"27,746",76.19
TEXRAIL,EQ,09-06-2011,81.4,81.4,83.0,81.15,82.0,82.05,82.09,"34,252","28,11,865.10",288,"23,512",68.64
TEXRAIL,EQ,10-06-2011,82.05,82.3,83.45,82.0,83.05,83.1,82.35,"16,534","13,61,512.70",186,"14,693",88.87
TEXRAIL,EQ,13-06-2011,83.1,81.75,85.0,81.75,84.0,83.8,83.03,"10,509","8,72,540.95",193,"7,686",73.14
TEXRAIL,EQ,14-06-2011,83.8,83.0,84.1,82.0,83.95,83.45,83.71,"11,442","9,57,834.80",218,"9,751",85.22
TEXRAIL,EQ,15-06-2011,83.45,83.5,84.5,82.3,82.3,82.4,83.12,"15,866","13,18,794.60",253,"11,950",75.32
TEXRAIL,EQ,16-06-2011,82.4,82.3,83.55,81.15,83.5,83.15,82.39,"18,693","15,40,075.30",241,"15,671",83.83
TEXRAIL,EQ,17-06-2011,83.15,82.25,85.25,81.95,83.9,84.15,83.06,"21,264","17,66,199.20",294,"18,671",87.81
TEXRAIL,EQ,20-06-2011,84.15,82.35,87.2,80.0,86.0,83.55,82.39,"37,431","30,83,929.85",530,"30,861",82.45
TEXRAIL,EQ,21-06-2011,83.55,83.05,86.0,82.15,83.5,83.0,83.06,"21,182","17,59,347.10",249,"17,359",81.95
TEXRAIL,EQ,22-06-2011,83.0,81.25,83.75,81.25,83.0,83.0,82.98,"23,507","19,50,647.00",212,"22,961",97.68
TEXRAIL,EQ,23-06-2011,83.0,83.0,84.5,82.5,83.5,83.0,83.11,"13,555","11,26,542.50",151,"12,269",90.51
TEXRAIL,EQ,24-06-2011,83.0,80.05,84.45,80.05,83.5,83.7,83.59,"20,120","16,81,868.15",139,"18,829",93.58
TEXRAIL,EQ,27-06-2011,83.7,82.05,85.35,82.05,85.0,84.75,83.8,"70,725","59,26,536.95",380,"67,024",94.77
TEXRAIL,EQ,28-06-2011,84.75,84.95,84.95,83.1,84.0,83.95,83.99,"55,903","46,95,288.40",889,"54,899",98.20
TEXRAIL,EQ,29-06-2011,83.95,84.0,86.8,82.95,86.0,85.6,83.62,"60,850","50,88,498.95",299,"56,476",92.81
TEXRAIL,EQ,30-06-2011,85.6,84.05,88.65,83.7,86.0,86.65,85.29,"37,931","32,35,101.40",270,"27,655",72.91
TEXRAIL,EQ,01-07-2011,86.65,88.45,89.5,85.5,89.5,86.3,86.33,"18,82,876","16,25,40,844.20",406,"18,58,810",98.72
TEXRAIL,EQ,04-07-2011,86.3,87.0,101.4,87.0,92.05,92.1,95.18,"4,36,235","4,15,20,625.25","5,961","1,18,391",27.14
TEXRAIL,EQ,05-07-2011,92.1,92.8,93.5,91.05,91.8,92.05,92.17,"31,878","29,38,080.10",466,"15,482",48.57
TEXRAIL,EQ,06-07-2011,92.05,91.0,95.35,91.0,93.5,93.3,93.28,"70,477","65,74,270.00",727,"47,161",66.92
TEXRAIL,EQ,07-07-2011,93.3,92.2,94.0,92.15,93.0,93.15,93.28,"58,479","54,54,877.20",347,"51,099",87.38
TEXRAIL,EQ,08-07-2011,93.15,94.5,94.85,92.15,92.5,92.5,92.79,"57,663","53,50,392.60",709,"46,270",80.24
TEXRAIL,EQ,11-07-2011,92.5,92.5,94.0,90.25,91.25,91.1,92.35,"42,343","39,10,443.10",875,"33,641",79.45
TEXRAIL,EQ,12-07-2011,91.1,89.3,92.65,89.05,92.5,92.05,91.0,"16,169","14,71,408.70",392,"9,536",58.98
TEXRAIL,EQ,13-07-2011,92.05,92.5,93.0,91.5,91.9,92.05,92.06,"60,495","55,68,973.45","1,524","50,649",83.72
TEXRAIL,EQ,14-07-2011,92.05,91.7,93.75,90.5,91.35,92.35,91.94,"53,392","49,08,610.60",469,"45,964",86.09
TEXRAIL,EQ,15-07-2011,92.35,91.3,93.75,91.3,92.0,92.0,92.01,"1,16,810","1,07,48,051.75","3,066","1,14,490",98.01
TEXRAIL,EQ,18-07-2011,92.0,92.5,95.9,91.15,93.5,93.6,92.49,"90,485","83,69,165.10","1,840","79,179",87.51
TEXRAIL,EQ,19-07-2011,93.6,93.95,97.5,92.5,92.5,93.05,94.95,"75,725","71,89,988.60","1,919","40,223",53.12
TEXRAIL,EQ,20-07-2011,93.05,94.0,95.1,91.0,93.0,93.7,92.73,"68,266","63,30,566.75",943,"52,170",76.42
