SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
THEJO,SM,15-05-2014,200.0,209.0,209.0,209.0,209.0,209.0,209.0,600,"1,25,400.00",1,600,100.0
THEJO,SM,22-05-2014,209.0,209.0,209.0,209.0,209.0,209.0,209.0,600,"1,25,400.00",1,600,100.0
THEJO,SM,23-06-2014,209.0,208.0,210.0,208.0,210.0,208.75,208.75,"2,400","5,01,000.00",4,"2,400",100.0
THEJO,SM,26-08-2014,208.75,200.0,200.0,200.0,200.0,200.0,200.0,"1,800","3,60,000.00",3,"1,200",66.67
THEJO,SM,09-09-2014,200.0,210.0,210.0,210.0,210.0,210.0,210.0,600,"1,26,000.00",1,600,100.0
THEJO,SM,30-09-2014,210.0,205.0,205.0,205.0,205.0,205.0,205.0,600,"1,23,000.00",1,600,100.0
THEJO,SM,12-11-2014,205.0,164.0,164.0,164.0,164.0,164.0,164.0,600,"98,400.00",1,600,100.0
THEJO,SM,17-11-2014,164.0,195.0,195.0,195.0,195.0,195.0,195.0,600,"1,17,000.00",1,600,100.0
THEJO,SM,25-11-2014,195.0,164.0,164.0,164.0,164.0,164.0,164.0,600,"98,400.00",1,600,100.0
THEJO,SM,03-12-2014,164.0,195.0,195.0,195.0,195.0,195.0,195.0,600,"1,17,000.00",1,600,100.0
THEJO,SM,04-12-2014,195.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,22-01-2015,200.0,188.0,188.0,188.0,188.0,188.0,188.0,600,"1,12,800.00",1,600,100.0
THEJO,SM,29-01-2015,188.0,190.0,190.0,190.0,190.0,190.0,190.0,600,"1,14,000.00",1,600,100.0
THEJO,SM,30-01-2015,190.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,04-02-2015,200.0,206.0,206.0,206.0,206.0,206.0,206.0,600,"1,23,600.00",1,600,100.0
THEJO,SM,27-02-2015,206.0,206.0,206.0,206.0,206.0,206.0,206.0,600,"1,23,600.00",1,600,100.0
THEJO,SM,02-03-2015,206.0,205.0,206.0,205.0,206.0,206.0,205.8,"3,000","6,17,400.00",3,"3,000",100.0
THEJO,SM,03-03-2015,206.0,206.0,206.0,206.0,206.0,206.0,206.0,600,"1,23,600.00",1,600,100.0
THEJO,SM,04-03-2015,206.0,206.0,206.0,190.0,190.0,190.0,200.67,"1,800","3,61,200.00",2,"1,800",100.0
THEJO,SM,10-03-2015,190.0,206.0,206.0,206.0,206.0,206.0,206.0,"4,800","9,88,800.00",4,"4,800",100.0
THEJO,SM,11-03-2015,206.0,206.0,206.0,206.0,206.0,206.0,206.0,"1,200","2,47,200.00",1,"1,200",100.0
THEJO,SM,13-03-2015,206.0,191.0,191.0,191.0,191.0,191.0,191.0,600,"1,14,600.00",1,600,100.0
THEJO,SM,18-03-2015,191.0,210.0,210.0,210.0,210.0,210.0,210.0,600,"1,26,000.00",1,600,100.0
THEJO,SM,19-03-2015,210.0,210.0,210.0,210.0,210.0,210.0,210.0,"1,800","3,78,000.00",3,"1,800",100.0
THEJO,SM,23-03-2015,210.0,195.0,195.0,195.0,195.0,195.0,195.0,600,"1,17,000.00",1,600,100.0
THEJO,SM,25-03-2015,195.0,195.0,195.0,195.0,195.0,195.0,195.0,600,"1,17,000.00",1,600,100.0
THEJO,SM,26-03-2015,195.0,195.0,195.0,195.0,195.0,195.0,195.0,"1,200","2,34,000.00",2,"1,200",100.0
THEJO,SM,09-04-2015,195.0,210.0,210.0,210.0,210.0,210.0,210.0,"1,800","3,78,000.00",3,"1,800",100.0
THEJO,SM,15-04-2015,210.0,210.0,210.0,210.0,210.0,210.0,210.0,"2,400","5,04,000.00",4,"2,400",100.0
THEJO,SM,30-04-2015,210.0,190.0,190.0,190.0,190.0,190.0,190.0,600,"1,14,000.00",1,600,100.0
THEJO,SM,20-05-2015,190.0,190.0,190.0,190.0,190.0,190.0,190.0,600,"1,14,000.00",1,600,100.0
THEJO,SM,03-06-2015,190.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,15-06-2015,200.0,190.0,190.0,190.0,190.0,190.0,190.0,"3,000","5,70,000.00",5,"3,000",100.0
THEJO,SM,18-06-2015,190.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,23-06-2015,200.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,26-06-2015,200.0,200.0,200.0,200.0,200.0,200.0,200.0,"4,800","9,60,000.00",5,"4,800",100.0
THEJO,SM,29-06-2015,200.0,200.0,200.0,200.0,200.0,200.0,200.0,"2,400","4,80,000.00",4,"2,400",100.0
THEJO,SM,01-07-2015,200.0,190.1,190.1,190.0,190.0,190.0,190.05,"1,200","2,28,060.00",2,"1,200",100.0
THEJO,SM,03-07-2015,190.0,200.0,200.0,200.0,200.0,200.0,200.0,"1,800","3,60,000.00",3,"1,800",100.0
THEJO,SM,15-07-2015,200.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,16-07-2015,200.0,202.0,202.0,202.0,202.0,202.0,202.0,600,"1,21,200.00",1,600,100.0
THEJO,SM,20-07-2015,202.0,210.0,215.0,210.0,215.0,211.1,211.13,"4,800","10,13,400.00",8,"4,800",100.0
THEJO,SM,27-07-2015,211.1,190.0,190.0,190.0,190.0,190.0,190.0,600,"1,14,000.00",1,600,100.0
THEJO,SM,06-08-2015,190.0,192.0,192.0,192.0,192.0,192.0,192.0,600,"1,15,200.00",1,600,100.0
THEJO,SM,19-08-2015,192.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,20-08-2015,200.0,200.0,200.0,200.0,200.0,200.0,200.0,600,"1,20,000.00",1,600,100.0
THEJO,SM,21-08-2015,200.0,209.0,210.0,209.0,210.0,210.0,209.79,"6,000","12,58,740.00",10,"6,000",100.0
