SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TIRUMALCHM,EQ,01-01-1996,109.75,109.75,119.5,110.5,-,115.1,114.85,"7,950","9,13,060.00",-,-,-
TIRUMALCHM,EQ,02-01-1996,115.10,115.1,119.5,117.0,-,119.0,118.51,"7,750","9,18,482.50",-,-,-
TIRUMALCHM,EQ,03-01-1996,119.00,119.0,127.0,122.0,-,125.1,124.69,"5,850","7,29,442.50",-,-,-
TIRUMALCHM,EQ,04-01-1996,125.10,125.1,125.0,117.0,-,118.75,120.69,"12,750","15,38,757.50",-,-,-
TIRUMALCHM,EQ,05-01-1996,118.75,109.0,120.0,109.0,-,118.5,117.29,"3,800","4,45,715.00",-,-,-
TIRUMALCHM,EQ,08-01-1996,118.50,118.5,119.0,114.0,-,114.05,116.52,"3,500","4,07,802.50",-,-,-
TIRUMALCHM,EQ,09-01-1996,114.05,114.05,115.5,111.0,-,113.8,112.93,"2,700","3,04,902.50",-,-,-
TIRUMALCHM,EQ,10-01-1996,113.80,115.0,116.0,114.0,-,114.4,114.97,"1,900","2,18,450.00",-,-,-
TIRUMALCHM,EQ,11-01-1996,114.40,114.4,113.5,111.05,-,111.05,112.41,500,"56,205.00",-,-,-
TIRUMALCHM,EQ,12-01-1996,111.05,113.0,114.5,113.0,-,113.0,113.79,900,"1,02,410.00",-,-,-
TIRUMALCHM,EQ,15-01-1996,113.00,113.0,113.0,111.05,-,111.05,112.35,150,"16,852.50",-,-,-
TIRUMALCHM,EQ,16-01-1996,111.05,111.05,110.05,100.0,-,104.15,106.73,"2,100","2,24,135.00",-,-,-
TIRUMALCHM,EQ,17-01-1996,104.15,104.15,107.9,102.05,-,102.35,103.98,"5,200","5,40,717.50",-,-,-
TIRUMALCHM,EQ,18-01-1996,102.35,102.0,102.05,102.0,-,102.0,102.0,"1,250","1,27,505.00",-,-,-
TIRUMALCHM,EQ,19-01-1996,102.00,101.05,101.05,100.05,-,100.5,100.5,800,"80,397.50",-,-,-
TIRUMALCHM,EQ,22-01-1996,100.50,99.0,100.0,99.0,-,99.5,99.42,600,"59,650.00",-,-,-
TIRUMALCHM,EQ,23-01-1996,99.50,99.5,100.5,99.0,-,99.6,99.84,"1,450","1,44,775.00",-,-,-
TIRUMALCHM,EQ,24-01-1996,99.60,99.6,99.0,99.0,-,99.0,99.0,100,"9,900.00",-,-,-
TIRUMALCHM,EQ,25-01-1996,99.00,97.0,98.5,96.0,-,96.05,96.89,650,"62,980.00",-,-,-
TIRUMALCHM,EQ,29-01-1996,96.05,96.05,97.0,93.9,-,96.4,94.68,"2,600","2,46,180.00",-,-,-
TIRUMALCHM,EQ,30-01-1996,96.40,98.0,98.0,94.5,-,94.5,95.91,"1,200","1,15,090.00",-,-,-
TIRUMALCHM,EQ,31-01-1996,94.50,94.5,99.0,96.0,-,97.75,97.49,"1,000","97,490.00",-,-,-
TIRUMALCHM,EQ,01-02-1996,97.75,100.0,106.0,100.0,-,105.95,104.36,"2,350","2,45,245.00",-,-,-
TIRUMALCHM,EQ,02-02-1996,105.95,109.1,110.0,105.0,-,108.5,108.14,"3,800","4,10,930.00",-,-,-
TIRUMALCHM,EQ,05-02-1996,108.50,108.5,114.95,107.0,-,109.95,111.06,"2,900","3,22,080.00",-,-,-
TIRUMALCHM,EQ,06-02-1996,109.95,109.95,110.0,105.05,-,106.3,108.74,"3,850","4,18,640.00",-,-,-
TIRUMALCHM,EQ,07-02-1996,106.30,105.05,106.0,105.05,-,106.0,105.68,150,"15,852.50",-,-,-
TIRUMALCHM,EQ,08-02-1996,106.00,110.0,114.0,109.0,-,114.0,111.38,650,"72,395.00",-,-,-
TIRUMALCHM,EQ,09-02-1996,114.00,114.0,121.0,112.0,-,114.9,113.49,"3,350","3,80,195.00",-,-,-
TIRUMALCHM,EQ,12-02-1996,114.90,115.95,116.4,111.05,-,115.0,113.92,"2,950","3,36,052.50",-,-,-
TIRUMALCHM,EQ,13-02-1996,115.00,114.5,114.5,111.0,-,111.35,112.91,"2,250","2,54,052.50",-,-,-
TIRUMALCHM,EQ,14-02-1996,111.35,115.0,122.5,115.0,-,120.3,119.81,"7,650","9,16,555.00",-,-,-
TIRUMALCHM,EQ,15-02-1996,120.30,120.3,132.0,121.0,-,130.4,127.69,"14,350","18,32,412.50",-,-,-
TIRUMALCHM,EQ,16-02-1996,130.40,131.95,133.0,126.0,-,126.5,129.71,"6,750","8,75,515.00",-,-,-
TIRUMALCHM,EQ,19-02-1996,126.50,133.0,133.0,128.0,-,128.15,128.74,"8,750","11,26,467.50",-,-,-
TIRUMALCHM,EQ,20-02-1996,128.15,128.15,130.0,122.0,-,123.6,126.13,"8,350","10,53,175.00",-,-,-
TIRUMALCHM,EQ,22-02-1996,123.60,123.0,125.0,122.0,-,122.4,123.23,"1,950","2,40,292.50",-,-,-
TIRUMALCHM,EQ,23-02-1996,122.40,123.0,123.0,122.05,-,122.25,122.42,900,"1,10,180.00",-,-,-
TIRUMALCHM,EQ,26-02-1996,122.25,119.0,121.0,119.0,-,120.3,120.41,"1,050","1,26,430.00",-,-,-
TIRUMALCHM,EQ,27-02-1996,120.30,119.5,121.0,115.1,-,116.7,118.15,"3,050","3,60,352.50",-,-,-
TIRUMALCHM,EQ,28-02-1996,116.70,120.0,120.0,115.0,-,115.4,116.15,"5,000","5,80,742.50",-,-,-
TIRUMALCHM,EQ,29-02-1996,115.40,110.5,111.0,104.0,-,106.1,106.87,"1,800","1,92,365.00",-,-,-
TIRUMALCHM,EQ,01-03-1996,106.10,106.5,107.5,106.5,-,107.25,106.88,600,"64,127.50",-,-,-
TIRUMALCHM,EQ,04-03-1996,107.25,108.0,109.6,107.25,-,109.3,108.62,"1,550","1,68,355.00",-,-,-
TIRUMALCHM,EQ,06-03-1996,109.30,108.0,110.0,108.0,-,110.0,109.33,150,"16,400.00",-,-,-
TIRUMALCHM,EQ,07-03-1996,110.00,120.0,120.0,111.0,-,111.45,111.64,"2,850","3,18,182.50",-,-,-
TIRUMALCHM,EQ,08-03-1996,111.45,111.45,113.0,109.0,-,110.1,110.48,"3,250","3,59,072.50",-,-,-
TIRUMALCHM,EQ,11-03-1996,110.10,110.1,110.0,107.0,-,107.0,108.43,"5,000","5,42,130.00",-,-,-
TIRUMALCHM,EQ,12-03-1996,107.00,107.0,106.0,103.0,-,103.3,104.11,"1,300","1,35,340.00",-,-,-
TIRUMALCHM,EQ,13-03-1996,103.30,103.3,110.0,105.0,-,105.25,106.41,"1,050","1,11,727.50",-,-,-
TIRUMALCHM,EQ,14-03-1996,105.25,105.25,107.0,105.2,-,105.25,106.66,"1,350","1,43,985.00",-,-,-
TIRUMALCHM,EQ,15-03-1996,105.25,105.25,107.0,105.0,-,105.05,106.35,"1,800","1,91,432.50",-,-,-
TIRUMALCHM,EQ,18-03-1996,105.05,105.05,105.25,104.0,-,105.25,104.85,500,"52,422.50",-,-,-
TIRUMALCHM,EQ,19-03-1996,105.25,105.25,103.95,100.25,-,101.05,101.58,950,"96,502.50",-,-,-
TIRUMALCHM,EQ,21-03-1996,101.05,101.05,105.0,102.05,-,102.05,103.48,450,"46,565.00",-,-,-
TIRUMALCHM,EQ,22-03-1996,102.05,102.05,107.0,102.5,-,107.0,105.46,"1,700","1,79,280.00",-,-,-
TIRUMALCHM,EQ,25-03-1996,107.00,107.0,104.95,104.25,-,104.25,104.54,550,"57,497.50",-,-,-
