SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TITAN,EQ,01-01-1996,115.25,116.0,116.0,115.0,-,115.0,115.5,200,"23,100.00",-,-,-
TITAN,EQ,02-01-1996,115.00,116.0,117.0,114.0,-,115.05,114.85,"1,200","1,37,815.00",-,-,-
TITAN,EQ,03-01-1996,115.05,115.05,115.0,113.0,-,114.0,113.76,"1,100","1,25,135.00",-,-,-
TITAN,EQ,04-01-1996,114.00,113.0,113.0,111.0,-,112.15,112.03,"2,300","2,57,680.00",-,-,-
TITAN,EQ,05-01-1996,112.15,110.0,111.0,109.0,-,109.1,109.44,"1,000","1,09,440.00",-,-,-
TITAN,EQ,08-01-1996,109.10,109.1,109.0,108.0,-,108.0,108.49,"1,200","1,30,190.00",-,-,-
TITAN,EQ,09-01-1996,108.00,105.0,108.0,105.0,-,107.95,106.88,"2,300","2,45,815.00",-,-,-
TITAN,EQ,10-01-1996,107.95,107.95,109.0,106.0,-,109.0,107.81,500,"53,905.00",-,-,-
TITAN,EQ,11-01-1996,109.00,108.0,110.0,108.0,-,110.0,109.57,700,"76,700.00",-,-,-
TITAN,EQ,12-01-1996,110.00,110.0,116.5,113.0,-,113.0,114.22,"2,700","3,08,395.00",-,-,-
TITAN,EQ,15-01-1996,113.00,109.0,109.0,108.05,-,108.55,108.63,500,"54,315.00",-,-,-
TITAN,EQ,16-01-1996,108.55,108.55,115.0,109.0,-,114.2,111.16,"1,700","1,88,975.00",-,-,-
TITAN,EQ,17-01-1996,114.20,114.2,112.95,109.3,-,109.3,110.75,300,"33,225.00",-,-,-
TITAN,EQ,18-01-1996,109.30,107.5,110.0,106.55,-,110.0,107.93,"2,400","2,59,025.00",-,-,-
TITAN,EQ,19-01-1996,110.00,106.5,108.45,106.0,-,108.3,107.39,"2,300","2,46,995.00",-,-,-
TITAN,EQ,22-01-1996,108.30,108.3,110.0,107.0,-,110.0,109.83,"15,100","16,58,360.00",-,-,-
TITAN,EQ,23-01-1996,110.00,110.0,108.0,101.0,-,101.75,105.13,"1,600","1,68,200.00",-,-,-
TITAN,EQ,24-01-1996,101.75,101.75,106.45,102.05,-,106.45,105.0,900,"94,500.00",-,-,-
TITAN,EQ,25-01-1996,106.45,106.45,106.0,100.0,-,100.0,102.22,"1,700","1,73,775.00",-,-,-
TITAN,EQ,29-01-1996,100.00,100.0,102.5,101.0,-,102.5,101.78,"2,600","2,64,625.00",-,-,-
TITAN,EQ,30-01-1996,102.50,102.5,104.95,102.55,-,104.5,103.91,"2,900","3,01,330.00",-,-,-
TITAN,EQ,31-01-1996,104.50,105.0,108.0,104.0,-,106.55,105.7,"2,200","2,32,540.00",-,-,-
TITAN,EQ,01-02-1996,106.55,105.0,110.0,105.0,-,109.0,108.25,"1,500","1,62,375.00",-,-,-
TITAN,EQ,02-02-1996,109.00,115.0,115.5,113.05,-,115.0,114.24,"2,200","2,51,330.00",-,-,-
TITAN,EQ,05-02-1996,115.00,115.0,118.95,114.05,-,114.15,115.56,"1,300","1,50,225.00",-,-,-
TITAN,EQ,06-02-1996,114.15,114.5,117.0,112.0,-,114.5,114.47,"2,300","2,63,275.00",-,-,-
TITAN,EQ,07-02-1996,114.50,114.5,114.0,108.0,-,110.2,110.56,"2,400","2,65,355.00",-,-,-
TITAN,EQ,08-02-1996,110.20,113.0,113.5,110.55,-,110.9,112.05,"2,200","2,46,510.00",-,-,-
TITAN,EQ,09-02-1996,110.90,115.0,122.5,115.0,-,122.5,119.64,"6,900","8,25,540.00",-,-,-
TITAN,EQ,12-02-1996,122.50,122.5,131.0,122.0,-,128.1,125.24,"10,200","12,77,420.00",-,-,-
TITAN,EQ,13-02-1996,128.10,126.05,128.95,125.05,-,126.0,126.31,"7,500","9,47,335.00",-,-,-
TITAN,EQ,14-02-1996,126.00,126.0,133.85,130.0,-,133.35,130.78,"6,300","8,23,935.00",-,-,-
TITAN,EQ,15-02-1996,133.35,133.35,133.0,127.55,-,132.6,132.53,"1,29,100","1,71,09,645.00",-,-,-
TITAN,EQ,16-02-1996,132.60,132.6,132.15,125.25,-,131.55,131.49,"2,77,900","3,65,41,155.00",-,-,-
TITAN,EQ,19-02-1996,131.55,131.55,126.9,125.05,-,125.1,125.42,"2,000","2,50,840.00",-,-,-
TITAN,EQ,20-02-1996,125.10,125.1,125.75,124.1,-,125.0,124.93,"7,100","8,87,020.00",-,-,-
TITAN,EQ,22-02-1996,125.00,125.0,126.0,124.5,-,124.5,125.08,"1,300","1,62,610.00",-,-,-
TITAN,EQ,23-02-1996,124.50,124.1,124.1,122.0,-,122.0,122.89,"1,000","1,22,885.00",-,-,-
TITAN,EQ,26-02-1996,122.00,124.0,125.0,122.1,-,124.25,123.92,"2,400","2,97,415.00",-,-,-
TITAN,EQ,27-02-1996,124.25,124.25,122.0,120.0,-,122.0,120.48,"1,600","1,92,775.00",-,-,-
TITAN,EQ,28-02-1996,122.00,122.0,123.0,120.0,-,120.0,121.0,700,"84,700.00",-,-,-
TITAN,EQ,29-02-1996,120.00,120.0,120.0,118.5,-,120.0,118.95,"1,400","1,66,525.00",-,-,-
TITAN,EQ,01-03-1996,120.00,120.0,120.9,117.5,-,120.05,118.56,"2,300","2,72,685.00",-,-,-
TITAN,EQ,04-03-1996,120.05,120.05,118.75,117.55,-,117.6,118.03,"1,600","1,88,855.00",-,-,-
TITAN,EQ,06-03-1996,117.60,118.0,118.0,115.05,-,116.5,115.86,"1,900","2,20,125.00",-,-,-
TITAN,EQ,07-03-1996,116.50,116.5,116.0,113.0,-,115.0,114.77,"1,300","1,49,195.00",-,-,-
TITAN,EQ,08-03-1996,115.00,115.0,117.4,109.9,-,117.1,111.74,"3,800","4,24,610.00",-,-,-
TITAN,EQ,11-03-1996,117.10,117.1,116.0,113.35,-,116.0,114.71,"2,900","3,32,660.00",-,-,-
TITAN,EQ,12-03-1996,116.00,116.0,115.0,113.0,-,113.2,113.67,"2,700","3,06,920.00",-,-,-
TITAN,EQ,13-03-1996,113.20,113.2,117.0,114.2,-,116.2,115.94,"2,300","2,66,665.00",-,-,-
TITAN,EQ,14-03-1996,116.20,116.2,118.75,115.5,-,117.9,116.89,800,"93,515.00",-,-,-
TITAN,EQ,15-03-1996,117.90,117.9,119.0,117.0,-,117.0,117.84,"3,000","3,53,520.00",-,-,-
TITAN,EQ,18-03-1996,117.00,112.0,115.0,112.0,-,115.0,114.31,"3,300","3,77,235.00",-,-,-
TITAN,EQ,19-03-1996,115.00,115.0,116.0,114.0,-,114.8,115.01,"2,500","2,87,515.00",-,-,-
TITAN,EQ,21-03-1996,114.80,114.8,118.0,116.0,-,117.0,117.09,"1,900","2,22,475.00",-,-,-
TITAN,EQ,22-03-1996,117.00,117.0,115.0,114.2,-,114.2,114.36,"1,600","1,82,970.00",-,-,-
TITAN,EQ,25-03-1996,114.20,114.0,114.5,114.0,-,114.5,114.25,200,"22,850.00",-,-,-
TITAN,EQ,26-03-1996,114.50,111.05,112.5,111.0,-,111.1,111.56,"2,400","2,67,750.00",-,-,-
TITAN,EQ,27-03-1996,111.10,111.1,115.0,111.0,-,112.05,112.73,"2,400","2,70,555.00",-,-,-
TITAN,EQ,28-03-1996,112.05,112.05,115.0,112.0,-,113.8,113.63,"1,700","1,93,175.00",-,-,-
TITAN,EQ,29-03-1996,113.80,113.8,119.0,114.4,-,116.65,117.2,"4,100","4,80,505.00",-,-,-
TITAN,EQ,01-04-1996,116.65,118.95,118.95,114.9,-,114.9,115.84,900,"1,04,255.00",-,-,-
TITAN,EQ,02-04-1996,114.90,115.0,115.0,113.0,-,113.85,114.26,900,"1,02,835.00",-,-,-
TITAN,EQ,03-04-1996,113.85,113.85,115.5,115.0,-,115.5,115.34,800,"92,275.00",-,-,-
TITAN,EQ,04-04-1996,115.50,115.5,116.0,115.2,-,115.2,115.65,"1,100","1,27,220.00",-,-,-
TITAN,EQ,08-04-1996,115.20,115.2,115.9,113.25,-,114.05,114.51,"2,900","3,32,065.00",-,-,-
TITAN,EQ,09-04-1996,114.05,115.05,116.0,115.0,-,115.25,115.33,"2,000","2,30,655.00",-,-,-
