SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TMCV,BE,12-11-2025,260.75,335.0,345.0,320.0,330.0,329.45,330.31,"3,12,73,277","10,32,99,86,370.20","3,65,598",-,-
TMCV,BE,13-11-2025,329.45,316.6,326.0,316.0,320.1,320.75,322.21,12079524,38920.92,140019, -, -
TMCV,BE,14-11-2025,320.75,310.0,335.0,306.3,331.0,317.6,317.44,165519798,525428.9,342670, -, -
TMCV,BE,17-11-2025,317.6,321.8,325.5,313.0,323.05,322.6,321.22,17163624,55132.39,174522, -, -
TMCV,BE,18-11-2025,322.6,317.2,327.0,310.0,323.95,325.15,322.11,13458307,43350.67,258140, -, -
TMCV,BE,19-11-2025,325.15,320.05,333.0,318.0,327.3,325.3,326.9,12999201,42494.77,218350, -, -
TMCV,BE,20-11-2025,325.3,322.0,326.0,320.1,323.5,322.85,322.85,9883805,31910.3,149248, -, -
TMCV,BE,21-11-2025,322.85,321.05,325.2,317.05,322.95,324.1,321.96,6066926,19533.16,140553, -, -
TMCV,BE,24-11-2025,324.1,321.6,324.0,314.35,315.1,320.6,320.98,16657006,53466.08,124621, -, -
TMCV,BE,25-11-2025,320.6,314.0,320.0,310.05,317.55,317.85,316.43,7686623,24322.85,96819, -, -
TMCV,EQ,26-11-2025,317.85,320.0,325.5,317.75,323.7,324.05,322.43,9984230,32192.42,115860, 8289519, 83.03
TMCV,EQ,27-11-2025,324.05,322.5,347.7,322.0,343.7,343.9,340.51,22672738,77203.68,231466, 16058625, 70.83
TMCV,EQ,28-11-2025,343.9,340.55,359.9,331.1,352.0,352.0,350.84,18549631,65079.39,210931, 11087677, 59.77
TMCV,EQ,01-12-2025,352.0,352.45,365.0,351.15,358.0,359.05,358.71,12843866,46071.7,290906, 7716299, 60.08
TMCV,EQ,02-12-2025,359.05,360.0,368.0,352.15,354.2,354.8,357.79,8297661,29688.15,113391, 5186850, 62.51
TMCV,EQ,03-12-2025,354.8,354.0,362.25,346.5,360.4,360.4,356.9,11412231,40730.28,156299, 7174386, 62.87
TMCV,EQ,04-12-2025,360.4,357.75,361.5,354.15,356.5,356.45,358.11,7199260,25781.17,124467, 4574089, 63.54
TMCV,EQ,05-12-2025,356.45,355.0,361.45,349.35,358.55,359.55,356.65,6652749,23726.71,109379, 3887351, 58.43
TMCV,EQ,08-12-2025,359.55,358.0,364.2,357.1,360.1,360.35,360.25,6936051,24987.38,125763, 4944322, 71.28
TMCV,EQ,09-12-2025,360.35,357.1,381.95,353.5,372.95,373.1,370.39,16119717,59705.72,273830, 9555303, 59.28
TMCV,EQ,10-12-2025,373.1,378.05,382.95,368.35,378.0,377.8,375.62,16089720,60435.54,190294, 10192370, 63.35
TMCV,EQ,11-12-2025,377.8,378.2,379.9,370.15,371.45,372.8,375.26,9667951,36280.14,108283, 6421397, 66.42
TMCV,EQ,12-12-2025,372.8,371.5,379.0,366.35,370.95,373.45,372.59,12391574,46169.63,144798, 7624392, 61.53
TMCV,EQ,15-12-2025,373.45,372.5,379.15,365.2,376.95,377.95,373.57,7033258,26274.22,121798, 3784302, 53.81
TMCV,EQ,16-12-2025,377.95,377.95,390.0,374.5,387.55,387.35,383.57,10329070,39619.46,165544, 6159582, 59.63
TMCV,EQ,17-12-2025,387.35,389.0,397.5,383.55,386.1,386.9,387.63,10044939,38937.54,114783, 6282089, 62.54
TMCV,EQ,18-12-2025,386.9,391.0,406.8,390.2,399.95,401.05,400.19,18688147,74787.8,267146, 11556394, 61.84
TMCV,EQ,19-12-2025,401.05,402.05,403.3,385.25,392.7,394.35,396.31,22075008,87486.27,227745, 15207257, 68.89
TMCV,EQ,22-12-2025,394.35,396.35,414.0,394.35,411.55,411.7,408.64,12081781,49371.02,139402, 6479361, 53.63
TMCV,EQ,23-12-2025,411.7,412.85,428.2,412.5,425.5,426.1,422.41,13800012,58292.83,194339, 7644386, 55.39
TMCV,EQ,24-12-2025,426.1,427.15,432.3,408.0,410.0,408.75,416.28,19626872,81703.21,229029, 10882491, 55.45
TMCV,EQ,26-12-2025,408.75,410.0,416.5,403.4,410.0,408.65,410.37,9030231,37057.7,114144, 4088966, 45.28
TMCV,EQ,29-12-2025,408.65,410.0,418.0,406.55,409.6,409.5,410.07,7173718,29417.6,94029, 4383679, 61.11
TMCV,EQ,30-12-2025,409.5,409.95,415.5,406.0,410.15,409.65,409.98,6416425,26305.99,98166, 3461292, 53.94
TMCV,EQ,31-12-2025,409.65,411.85,418.0,409.7,415.55,415.5,414.36,6269208,25976.83,81800, 3567948, 56.91
TMCV,EQ,01-01-2026,415.5,419.2,430.0,417.55,426.45,427.75,425.64,10096081,42972.92,158871, 4707561, 46.63
TMCV,EQ,02-01-2026,427.75,433.1,448.0,432.75,442.25,442.25,440.66,15267178,67275.82,306582, 7490913, 49.07
TMCV,EQ,05-01-2026,442.25,433.85,437.8,422.5,427.0,426.45,429.29,15748095,67605.43,213231, 7740644, 49.15
TMCV,EQ,06-01-2026,426.45,429.95,437.45,427.2,432.7,432.65,431.5,8271070,35689.55,111048, 4477230, 54.13
TMCV,EQ,07-01-2026,432.65,435.0,440.65,430.15,436.0,435.75,435.67,13125259,57182.78,151853, 7586852, 57.80
TMCV,EQ,08-01-2026,435.75,436.85,441.5,430.5,432.9,435.2,436.44,11209566,48923.57,196238, 6218310, 55.47
TMCV,EQ,09-01-2026,435.2,431.0,446.15,428.2,430.95,431.55,438.16,15300641,67041.44,170912, 9181228, 60.01
TMCV,EQ,12-01-2026,431.55,430.0,430.05,414.7,425.3,424.9,421.83,10323536,43547.88,156724, 5239044, 50.75
TMCV,EQ,13-01-2026,424.9,425.3,432.5,422.15,423.9,424.15,425.11,7174148,30497.87,89547, 4043254, 56.36
TMCV,EQ,14-01-2026,424.15,426.05,436.0,422.65,433.05,433.75,432.32,9765782,42219.78,118383, 6377560, 65.31
TMCV,EQ,16-01-2026,433.75,431.95,446.65,427.5,439.0,438.5,440.45,12641260,55678.11,154945, 6242813, 49.38
TMCV,EQ,19-01-2026,438.5,442.0,451.2,434.5,441.75,441.4,440.52,11049623,48675.27,137479, 6068685, 54.92
TMCV,EQ,20-01-2026,441.4,441.4,446.4,426.55,428.9,432.45,440.17,9845662,43337.72,150594, 5802214, 58.93
TMCV,EQ,21-01-2026,432.45,431.35,449.55,421.1,436.1,434.85,434.21,13056494,56692.25,174799, 5333624, 40.85
TMCV,EQ,22-01-2026,434.85,436.1,453.8,435.85,443.35,444.9,444.35,13509687,60030.66,159172, 5530856, 40.94
TMCV,EQ,23-01-2026,444.9,446.95,456.4,439.35,448.7,449.2,449.09,11557765,51905.02,155112, 5299378, 45.85
TMCV,EQ,27-01-2026,449.2,450.0,454.75,438.5,444.8,443.9,446.74,12074561,53941.96,136543, 7443152, 61.64
TMCV,EQ,28-01-2026,443.9,450.0,470.25,448.0,465.65,467.95,459.9,12636077,58113.49,240355, 6475104, 51.24
