SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
TOP20,EQ,19-12-2025,9.62,9.88,9.88,9.64,9.66,9.65,9.68,"40,315","3,90,142.52",83,"22,024",54.63
TOP20,EQ,22-12-2025,9.65,9.71,9.75,9.7,9.74,9.73,9.72,28587,2.78,80, 28584,99.99
TOP20,EQ,23-12-2025,9.73,9.92,9.92,9.71,9.72,9.72,9.72,37160,3.61,93, 37156,99.99
TOP20,EQ,24-12-2025,9.72,9.91,9.91,9.69,9.7,9.7,9.71,37164,3.61,92, 35901,96.6
TOP20,EQ,26-12-2025,9.7,9.7,9.7,9.65,9.67,9.67,9.67,32451,3.14,128, 32451,100.0
TOP20,EQ,29-12-2025,9.67,9.67,9.68,9.61,9.64,9.62,9.64,44310,4.27,127, 43912,99.1
TOP20,EQ,30-12-2025,9.62,9.61,9.65,9.58,9.63,9.6,9.62,12716,1.22,83, 10867,85.46
TOP20,EQ,31-12-2025,9.6,9.64,9.7,9.62,9.7,9.69,9.66,22725,2.2,57, 15123,66.55
TOP20,EQ,01-01-2026,9.69,9.69,9.7,9.66,9.69,9.66,9.68,54899,5.31,92, 16938,30.85
TOP20,EQ,02-01-2026,9.66,9.9,9.9,9.68,9.73,9.72,9.72,23223,2.26,60, 20908,90.03
TOP20,EQ,05-01-2026,9.72,9.72,9.73,9.68,9.7,9.71,9.71,30469,2.96,115, 13831,45.39
TOP20,EQ,06-01-2026,9.71,9.71,9.71,9.68,9.71,9.68,9.69,65605,6.36,91, 24657,37.58
TOP20,EQ,07-01-2026,9.68,9.7,9.72,9.67,9.7,9.7,9.7,69945,6.78,84, 58949,84.28
TOP20,EQ,08-01-2026,9.7,9.74,9.74,9.62,9.63,9.63,9.65,25241,2.44,129, 22498,89.13
TOP20,EQ,09-01-2026,9.63,9.63,9.66,9.54,9.57,9.56,9.59,82899,7.95,191, 39208,47.3
TOP20,EQ,12-01-2026,9.56,9.57,9.59,9.46,9.59,9.59,9.52,20104,1.91,115, 7397,36.79
TOP20,EQ,13-01-2026,9.59,9.63,9.63,9.51,9.58,9.58,9.57,13373,1.28,94, 13126,98.15
TOP20,EQ,14-01-2026,9.58,9.58,9.58,9.51,9.52,9.53,9.54,90807,8.66,104, 71599,78.85
TOP20,EQ,16-01-2026,9.53,9.57,9.61,9.51,9.53,9.51,9.59,2136709,204.85,157, 2104664,98.5
TOP20,EQ,19-01-2026,9.51,9.51,9.56,9.47,9.51,9.53,9.5,21825,2.07,133, 10947,50.16
TOP20,EQ,20-01-2026,9.53,9.54,9.54,9.36,9.38,9.36,9.42,43571,4.11,242, 43070,98.85
TOP20,EQ,21-01-2026,9.36,9.45,9.45,9.3,9.37,9.34,9.35,70372,6.58,133, 59927,85.16
TOP20,EQ,22-01-2026,9.34,9.44,9.49,9.35,9.43,9.42,9.41,17925,1.69,82, 9958,55.55
TOP20,EQ,23-01-2026,9.42,9.42,9.43,9.3,9.32,9.31,9.35,22032,2.06,141, 19597,88.95
TOP20,EQ,27-01-2026,9.31,9.54,9.54,9.24,9.33,9.31,9.26,51520,4.77,136, 44659,86.68
TOP20,EQ,28-01-2026,9.31,9.99,9.99,9.28,9.35,9.33,9.32,73727,6.87,177, 68097,92.36
TOP20,EQ,29-01-2026,9.33,9.31,9.38,9.24,9.34,9.34,9.31,53418,4.98,122, 40337, 75.51
