SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
UNIENTER,EQ,23-01-2004,2.0,10.0,75.0,10.0,33.9,34.8,38.33,"1,22,321","46,89,064.40",-,"75,531",61.75
UNIENTER,EQ,27-01-2004,34.8,35.0,37.0,27.85,27.85,27.85,31.25,"96,020","30,00,887.60",-,"74,035",77.1
UNIENTER,EQ,28-01-2004,27.85,27.5,27.5,22.3,22.3,22.3,23.21,"85,596","19,86,388.45",-,"58,800",68.69
UNIENTER,EQ,29-01-2004,22.3,21.7,23.5,17.85,18.75,19.15,19.49,"3,14,153","61,22,206.70",-,"1,23,960",39.46
UNIENTER,EQ,30-01-2004,19.15,19.9,20.0,17.25,17.25,17.25,18.39,"1,05,247","19,35,799.15",-,"66,856",63.52
UNIENTER,EQ,03-02-2004,17.25,17.0,17.0,15.55,15.55,15.55,15.66,"77,292","12,10,006.75",-,"68,476",88.59
UNIENTER,EQ,04-02-2004,15.55,14.25,15.65,14.0,14.25,14.15,14.31,"2,00,739","28,73,183.95",-,"73,811",36.77
UNIENTER,EQ,05-02-2004,14.15,15.4,15.4,12.75,12.75,12.75,13.21,"84,372","11,14,269.25",-,"42,953",50.91
UNIENTER,EQ,06-02-2004,12.75,13.4,14.05,12.55,14.05,14.05,13.45,"82,597","11,11,169.20",-,"30,650",37.11
UNIENTER,EQ,09-02-2004,14.05,15.2,15.5,12.85,13.6,13.8,13.72,"2,42,784","33,29,869.15",-,"1,42,506",58.7
UNIENTER,EQ,10-02-2004,13.8,13.8,13.8,12.45,12.5,12.55,12.84,"1,73,677","22,30,619.05",-,"1,17,626",67.73
UNIENTER,EQ,11-02-2004,12.55,12.65,13.45,12.1,12.75,12.8,12.99,"1,26,169","16,38,717.45",-,"59,987",47.54
UNIENTER,EQ,12-02-2004,12.8,13.0,13.2,12.4,12.5,12.6,12.82,"66,273","8,49,397.50",-,"46,466",70.11
UNIENTER,EQ,13-02-2004,12.6,13.8,13.8,11.65,11.95,11.95,12.37,"78,443","9,70,432.30",-,"61,645",78.59
UNIENTER,EQ,16-02-2004,11.95,12.1,13.15,11.8,13.15,13.15,12.31,"1,18,331","14,56,155.85",-,"80,488",68.02
UNIENTER,EQ,17-02-2004,13.15,13.25,14.5,12.8,14.5,14.35,13.85,"9,04,453","1,25,25,369.75",-,"5,28,523",58.44
UNIENTER,EQ,18-02-2004,14.35,14.6,15.7,14.25,15.0,15.05,15.06,"3,52,669","53,11,022.95",-,"1,51,787",43.04
UNIENTER,EQ,19-02-2004,15.05,14.95,15.1,13.75,13.75,13.95,14.25,"1,49,246","21,26,762.10",-,"92,100",61.71
UNIENTER,EQ,20-02-2004,13.95,13.5,14.8,13.2,14.5,14.35,14.4,"1,21,723","17,52,551.40",-,"87,912",72.22
UNIENTER,EQ,23-02-2004,14.35,13.65,14.7,13.65,14.0,13.8,14.23,"89,575","12,74,775.10",-,"63,431",70.81
UNIENTER,EQ,24-02-2004,13.8,13.2,14.1,13.2,13.7,13.6,13.57,"46,086","6,25,389.20",-,"27,187",58.99
UNIENTER,EQ,25-02-2004,13.6,13.5,13.75,12.5,12.6,12.7,12.98,"39,762","5,16,259.45",-,"29,298",73.68
UNIENTER,EQ,26-02-2004,12.7,13.45,13.45,12.3,12.7,12.9,13.07,"24,970","3,26,374.45",-,"11,393",45.63
UNIENTER,EQ,27-02-2004,12.9,12.8,13.2,12.7,12.85,12.85,12.93,"24,060","3,10,985.55",-,"14,032",58.32
UNIENTER,EQ,01-03-2004,12.85,12.1,13.45,12.1,12.85,12.95,12.97,"26,081","3,38,226.15",-,"15,147",58.08
UNIENTER,EQ,03-03-2004,12.95,12.7,14.1,12.7,13.75,13.75,13.6,"46,710","6,35,059.65",-,"21,026",45.01
UNIENTER,EQ,04-03-2004,13.75,14.6,14.6,12.75,13.0,12.9,13.2,"48,446","6,39,568.05",-,"39,662",81.87
UNIENTER,EQ,05-03-2004,12.9,12.75,13.7,12.75,12.95,12.95,13.15,"23,274","3,06,168.30",-,"15,821",67.98
UNIENTER,EQ,08-03-2004,12.95,12.8,13.2,12.8,12.85,12.95,13.03,"12,157","1,58,432.85",-,"10,672",87.78
UNIENTER,EQ,09-03-2004,12.95,12.85,12.85,12.1,12.5,12.45,12.53,"33,587","4,20,782.50",-,"31,710",94.41
UNIENTER,EQ,10-03-2004,12.45,12.4,12.7,12.25,12.4,12.5,12.49,"20,651","2,57,935.55",-,"17,108",82.84
UNIENTER,EQ,11-03-2004,12.5,12.95,12.95,11.75,11.9,11.9,12.18,"39,897","4,85,800.90",-,"32,449",81.33
