SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SESAGOA,EQ,01-01-1996,431.60,430.5,440.0,430.5,-,437.0,436.1,"1,100","4,79,715.00",-,-,-
SESAGOA,EQ,02-01-1996,437.00,437.0,441.05,433.0,-,436.05,435.77,850,"3,70,402.50",-,-,-
SESAGOA,EQ,03-01-1996,436.05,436.05,440.0,436.0,-,440.0,438.24,400,"1,75,297.50",-,-,-
SESAGOA,EQ,04-01-1996,440.00,430.0,435.0,430.0,-,430.0,432.75,600,"2,59,650.00",-,-,-
SESAGOA,EQ,05-01-1996,430.00,420.0,430.0,420.0,-,427.5,425.5,250,"1,06,375.00",-,-,-
SESAGOA,EQ,08-01-1996,427.50,425.0,425.0,416.0,-,416.0,422.2,250,"1,05,550.00",-,-,-
SESAGOA,EQ,09-01-1996,416.00,417.15,417.5,416.05,-,416.05,416.85,600,"2,50,112.50",-,-,-
SESAGOA,EQ,10-01-1996,416.05,417.0,417.0,417.0,-,417.0,417.0,50,"20,850.00",-,-,-
SESAGOA,EQ,11-01-1996,417.00,411.0,411.3,411.0,-,411.3,411.15,100,"41,115.00",-,-,-
SESAGOA,EQ,12-01-1996,411.30,411.3,413.1,410.0,-,410.05,412.11,950,"3,91,507.50",-,-,-
SESAGOA,EQ,15-01-1996,410.05,410.05,413.75,411.5,-,411.55,411.98,300,"1,23,592.50",-,-,-
SESAGOA,EQ,16-01-1996,411.55,405.15,406.15,405.15,-,406.15,405.82,150,"60,872.50",-,-,-
SESAGOA,EQ,17-01-1996,406.15,402.55,403.05,402.55,-,403.05,402.94,250,"1,00,735.00",-,-,-
SESAGOA,EQ,18-01-1996,403.05,395.0,398.0,385.5,-,385.5,394.3,250,"98,575.00",-,-,-
SESAGOA,EQ,22-01-1996,385.50,385.5,395.0,385.0,-,393.3,390.54,400,"1,56,215.00",-,-,-
SESAGOA,EQ,23-01-1996,393.30,393.3,394.0,391.05,-,391.05,392.89,200,"78,577.50",-,-,-
SESAGOA,EQ,24-01-1996,391.05,390.0,395.0,390.0,-,393.0,392.67,300,"1,17,800.00",-,-,-
SESAGOA,EQ,25-01-1996,393.00,390.0,393.0,390.0,-,391.0,391.14,400,"1,56,457.50",-,-,-
SESAGOA,EQ,29-01-1996,391.00,391.0,387.0,382.0,-,382.0,384.14,350,"1,34,450.00",-,-,-
SESAGOA,EQ,30-01-1996,382.00,382.0,395.0,385.05,-,385.05,389.35,150,"58,402.50",-,-,-
SESAGOA,EQ,01-02-1996,385.05,395.0,395.0,385.0,-,385.0,390.0,100,"39,000.00",-,-,-
SESAGOA,EQ,02-02-1996,385.00,385.0,388.0,385.0,-,388.0,386.29,350,"1,35,200.00",-,-,-
SESAGOA,EQ,05-02-1996,388.00,392.5,392.5,390.0,-,390.0,391.25,100,"39,125.00",-,-,-
SESAGOA,EQ,06-02-1996,390.00,390.0,392.5,387.0,-,392.5,390.33,300,"1,17,100.00",-,-,-
SESAGOA,EQ,07-02-1996,392.50,390.05,390.05,390.0,-,390.0,390.03,200,"78,005.00",-,-,-
SESAGOA,EQ,09-02-1996,390.00,390.0,405.0,388.0,-,388.0,403.04,"1,150","4,63,500.00",-,-,-
SESAGOA,EQ,12-02-1996,388.00,388.0,390.0,390.0,-,390.0,390.0,50,"19,500.00",-,-,-
SESAGOA,EQ,13-02-1996,390.00,390.0,390.0,385.0,-,385.0,388.33,300,"1,16,500.00",-,-,-
SESAGOA,EQ,14-02-1996,385.00,380.0,400.0,380.0,-,400.0,395.25,300,"1,18,575.00",-,-,-
SESAGOA,EQ,15-02-1996,400.00,400.0,405.0,400.0,-,400.0,400.53,850,"3,40,450.00",-,-,-
SESAGOA,EQ,16-02-1996,400.00,400.0,406.0,402.0,-,402.0,403.54,"1,150","4,64,072.50",-,-,-
SESAGOA,EQ,19-02-1996,402.00,402.0,395.0,392.0,-,394.0,393.64,350,"1,37,775.00",-,-,-
SESAGOA,EQ,20-02-1996,394.00,394.0,399.0,385.0,-,387.5,392.34,600,"2,35,402.50",-,-,-
SESAGOA,EQ,22-02-1996,387.50,390.0,395.0,390.0,-,395.0,393.87,450,"1,77,242.50",-,-,-
SESAGOA,EQ,26-02-1996,395.00,395.0,400.0,395.0,-,400.0,398.73,550,"2,19,300.00",-,-,-
SESAGOA,EQ,27-02-1996,400.00,400.0,405.0,400.0,-,404.0,403.86,350,"1,41,350.00",-,-,-
SESAGOA,EQ,28-02-1996,404.00,395.0,395.0,390.0,-,391.55,393.74,"1,950","7,67,800.00",-,-,-
SESAGOA,EQ,29-02-1996,391.55,390.0,390.0,385.0,-,385.0,387.5,100,"38,750.00",-,-,-
SESAGOA,EQ,04-03-1996,385.00,385.0,391.0,391.0,-,391.0,391.0,100,"39,100.00",-,-,-
SESAGOA,EQ,07-03-1996,391.00,391.0,390.0,384.0,-,387.0,385.8,250,"96,450.00",-,-,-
SESAGOA,EQ,08-03-1996,387.00,387.0,390.0,389.25,-,390.0,389.49,200,"77,897.50",-,-,-
SESAGOA,EQ,11-03-1996,390.00,387.0,387.0,385.0,-,385.0,385.82,500,"1,92,910.00",-,-,-
SESAGOA,EQ,12-03-1996,385.00,385.0,385.0,370.0,-,375.0,380.8,500,"1,90,400.00",-,-,-
SESAGOA,EQ,14-03-1996,375.00,375.0,380.0,375.0,-,377.0,377.12,450,"1,69,705.00",-,-,-
SESAGOA,EQ,18-03-1996,377.00,370.0,370.0,365.0,-,365.0,367.5,100,"36,750.00",-,-,-
SESAGOA,EQ,19-03-1996,365.00,361.7,365.3,361.7,-,365.0,364.2,750,"2,73,152.50",-,-,-
SESAGOA,EQ,21-03-1996,365.00,370.0,370.0,369.0,-,369.0,369.67,150,"55,450.00",-,-,-
SESAGOA,EQ,22-03-1996,369.00,371.15,385.0,371.1,-,380.0,379.27,"1,350","5,12,020.00",-,-,-
SESAGOA,EQ,25-03-1996,380.00,380.0,395.0,385.05,-,391.25,391.88,300,"1,17,565.00",-,-,-
SESAGOA,EQ,26-03-1996,391.25,391.25,396.0,392.0,-,393.2,393.73,550,"2,16,550.00",-,-,-
SESAGOA,EQ,27-03-1996,393.20,390.0,390.0,390.0,-,390.0,390.0,50,"19,500.00",-,-,-
SESAGOA,EQ,28-03-1996,390.00,390.0,390.0,390.0,-,390.0,390.0,100,"39,000.00",-,-,-
SESAGOA,EQ,29-03-1996,390.00,393.5,400.0,393.5,-,397.0,396.61,350,"1,38,812.50",-,-,-
SESAGOA,EQ,01-04-1996,397.00,397.0,405.0,397.0,-,405.0,399.97,750,"2,99,975.00",-,-,-
SESAGOA,EQ,02-04-1996,405.00,405.0,402.0,399.95,-,401.4,401.39,500,"2,00,695.00",-,-,-
SESAGOA,EQ,03-04-1996,401.40,396.0,400.0,396.0,-,397.35,398.33,200,"79,665.00",-,-,-
SESAGOA,EQ,08-04-1996,397.35,397.35,396.25,385.0,-,394.0,391.33,500,"1,95,662.50",-,-,-
SESAGOA,EQ,09-04-1996,394.00,394.0,395.0,391.0,-,392.0,392.37,"1,150","4,51,230.00",-,-,-
SESAGOA,EQ,10-04-1996,392.00,392.0,394.9,388.0,-,393.45,390.73,200,"78,145.00",-,-,-
SESAGOA,EQ,11-04-1996,393.45,393.45,394.0,394.0,-,394.0,394.0,50,"19,700.00",-,-,-
SESAGOA,EQ,12-04-1996,394.00,391.0,402.0,389.0,-,395.55,393.45,550,"2,16,395.00",-,-,-
SESAGOA,EQ,15-04-1996,395.55,395.55,402.0,398.0,-,402.0,399.45,550,"2,19,700.00",-,-,-
SESAGOA,EQ,16-04-1996,402.00,402.0,401.0,399.95,-,400.0,400.14,350,"1,40,047.50",-,-,-
SESAGOA,EQ,17-04-1996,400.00,406.0,430.0,406.0,-,430.0,428.07,"6,600","28,25,275.00",-,-,-
SESAGOA,EQ,18-04-1996,430.00,430.0,431.0,425.0,-,427.0,428.11,450,"1,92,650.00",-,-,-
SESAGOA,EQ,19-04-1996,427.00,427.0,445.0,423.05,-,425.0,434.93,"1,000","4,34,932.50",-,-,-
SESAGOA,EQ,22-04-1996,425.00,425.0,424.5,418.0,-,424.5,420.17,"1,050","4,41,175.00",-,-,-
SESAGOA,EQ,23-04-1996,424.50,417.0,418.0,413.0,-,414.55,414.75,"1,350","5,59,910.00",-,-,-
SESAGOA,EQ,24-04-1996,414.55,420.0,420.0,420.0,-,420.0,420.0,100,"42,000.00",-,-,-
SESAGOA,EQ,25-04-1996,420.00,420.0,423.0,405.0,-,405.5,412.31,800,"3,29,850.00",-,-,-
SESAGOA,EQ,26-04-1996,405.50,405.5,410.0,403.0,-,407.75,406.66,600,"2,43,997.50",-,-,-
SESAGOA,EQ,30-04-1996,407.75,407.75,405.75,400.0,-,403.8,403.45,"1,000","4,03,445.00",-,-,-
SESAGOA,EQ,01-05-1996,403.80,403.8,402.0,400.0,-,401.0,401.0,500,"2,00,500.00",-,-,-
SESAGOA,EQ,02-05-1996,401.00,401.0,401.0,399.95,-,400.0,400.14,350,"1,40,047.50",-,-,-
SESAGOA,EQ,03-05-1996,400.00,400.0,400.0,395.5,-,396.25,397.75,300,"1,19,325.00",-,-,-
SESAGOA,EQ,06-05-1996,396.25,396.25,400.0,395.05,-,396.1,397.44,550,"2,18,592.50",-,-,-
SESAGOA,EQ,07-05-1996,396.10,396.1,400.0,391.0,-,394.05,394.77,800,"3,15,812.50",-,-,-
SESAGOA,EQ,08-05-1996,394.05,394.05,392.5,392.5,-,392.5,392.5,50,"19,625.00",-,-,-
SESAGOA,EQ,09-05-1996,392.50,392.5,398.0,395.0,-,398.0,396.67,150,"59,500.00",-,-,-
SESAGOA,EQ,10-05-1996,398.00,386.0,395.0,386.0,-,393.9,392.56,600,"2,35,537.50",-,-,-
SESAGOA,EQ,13-05-1996,393.90,397.0,398.5,397.0,-,398.0,397.71,600,"2,38,625.00",-,-,-
SESAGOA,EQ,14-05-1996,398.00,398.0,399.0,397.55,-,398.55,398.32,550,"2,19,077.50",-,-,-
SESAGOA,EQ,16-05-1996,398.55,405.0,405.0,398.5,-,398.5,399.61,300,"1,19,882.50",-,-,-
SESAGOA,EQ,17-05-1996,398.50,398.0,398.0,398.0,-,398.0,398.0,100,"39,800.00",-,-,-
SESAGOA,EQ,20-05-1996,398.00,398.0,387.75,385.0,-,385.0,386.83,150,"58,025.00",-,-,-
SESAGOA,EQ,21-05-1996,385.00,382.5,383.0,380.0,-,380.0,381.46,550,"2,09,802.50",-,-,-
SESAGOA,EQ,23-05-1996,380.00,385.0,385.0,385.0,-,385.0,385.0,100,"38,500.00",-,-,-
