SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
WESTHATCH,EQ,03-01-1996,85.00,66.0,66.0,66.0,-,66.0,66.0,100,"6,600.00",-,-,-
WESTHATCH,EQ,04-01-1996,66.00,64.0,64.0,64.0,-,64.0,64.0,200,"12,800.00",-,-,-
WESTHATCH,EQ,15-01-1996,64.00,60.0,60.0,60.0,-,60.0,60.0,"1,100","66,000.00",-,-,-
WESTHATCH,EQ,17-01-1996,60.00,62.0,62.0,60.0,-,60.0,61.0,200,"12,200.00",-,-,-
WESTHATCH,EQ,19-01-1996,60.00,63.0,66.0,62.0,-,62.0,64.5,"2,100","1,35,440.00",-,-,-
WESTHATCH,EQ,23-01-1996,62.00,62.0,65.0,62.0,-,65.0,62.43,700,"43,700.00",-,-,-
WESTHATCH,EQ,24-01-1996,65.00,65.0,65.0,62.0,-,62.0,64.0,300,"19,200.00",-,-,-
WESTHATCH,EQ,25-01-1996,62.00,62.0,62.0,60.0,-,62.0,61.0,400,"24,400.00",-,-,-
WESTHATCH,EQ,29-01-1996,62.00,61.0,62.0,61.0,-,61.0,61.17,600,"36,700.00",-,-,-
WESTHATCH,EQ,30-01-1996,61.00,61.0,61.0,61.0,-,61.0,61.0,200,"12,200.00",-,-,-
WESTHATCH,EQ,31-01-1996,61.00,60.1,60.1,60.1,-,60.1,60.1,100,"6,010.00",-,-,-
WESTHATCH,EQ,01-02-1996,60.10,60.1,63.0,60.0,-,63.0,61.23,"1,300","79,600.00",-,-,-
WESTHATCH,EQ,06-02-1996,63.00,63.0,63.0,62.0,-,62.0,62.5,200,"12,500.00",-,-,-
WESTHATCH,EQ,07-02-1996,62.00,63.0,63.0,63.0,-,63.0,63.0,100,"6,300.00",-,-,-
WESTHATCH,EQ,08-02-1996,63.00,60.5,63.0,60.5,-,63.0,62.17,300,"18,650.00",-,-,-
WESTHATCH,EQ,12-02-1996,63.00,65.0,65.0,65.0,-,65.0,65.0,200,"13,000.00",-,-,-
WESTHATCH,EQ,13-02-1996,65.00,61.05,61.05,61.05,-,61.05,61.05,100,"6,105.00",-,-,-
WESTHATCH,EQ,15-02-1996,61.05,67.0,67.0,67.0,-,67.0,67.0,100,"6,700.00",-,-,-
WESTHATCH,EQ,16-02-1996,67.00,70.0,70.0,70.0,-,70.0,70.0,100,"7,000.00",-,-,-
WESTHATCH,EQ,19-02-1996,70.00,70.0,68.0,68.0,-,68.0,68.0,100,"6,800.00",-,-,-
WESTHATCH,EQ,23-02-1996,68.00,68.0,67.0,67.0,-,67.0,67.0,200,"13,400.00",-,-,-
WESTHATCH,EQ,27-02-1996,67.00,70.05,70.05,70.05,-,70.05,70.05,100,"7,005.00",-,-,-
WESTHATCH,EQ,28-02-1996,70.05,70.05,70.0,70.0,-,70.0,70.0,200,"14,000.00",-,-,-
WESTHATCH,EQ,01-03-1996,70.00,70.0,70.0,70.0,-,70.0,70.0,200,"14,000.00",-,-,-
