SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VIMTALABS,EQ,15-12-2005,819.00,899.00,908.50,831.00,908.50,908.50,892.02,"3,112","27,75,965.55",-,420,13.5
VIMTALABS,EQ,16-12-2005,908.50,912.00,967.00,912.00,958.00,959.50,948.26,"8,108","76,88,454.30",-,"2,369",29.22
VIMTALABS,EQ,19-12-2005,959.50,978.75,985.00,950.05,975.00,976.95,972.31,"2,244","21,81,868.30",-,"1,420",63.28
VIMTALABS,EQ,20-12-2005,976.95,995.00,"1,074.65",995.00,"1,074.65","1,074.65","1,047.78","2,268","23,76,369.40",-,"1,298",57.23
VIMTALABS,EQ,21-12-2005,"1,074.65","1,115.00","1,128.40","1,040.00","1,080.00","1,066.25","1,113.16","5,848","65,09,737.25",-,"4,476",76.54
VIMTALABS,EQ,22-12-2005,"1,066.25","1,119.00","1,119.60","1,013.10","1,066.50","1,058.70","1,104.53","4,936","54,51,965.30",-,"2,470",50.04
VIMTALABS,EQ,23-12-2005,"1,058.70","1,071.00","1,075.00","1,007.20","1,009.10","1,008.95","1,047.80",953,"9,98,552.85",-,646,67.79
VIMTALABS,EQ,26-12-2005,"1,008.95","1,025.00","1,059.40","1,025.00","1,050.00","1,049.25","1,052.60","2,223","23,39,933.85",-,"1,647",74.09
VIMTALABS,EQ,27-12-2005,"1,049.25","1,011.00","1,100.00","1,011.00","1,080.00","1,087.80","1,066.07","11,756","1,25,32,739.40",-,"11,530",98.08
VIMTALABS,EQ,28-12-2005,"1,087.80","1,088.00","1,103.90","1,051.00","1,077.00","1,089.35","1,086.46",960,"10,43,004.75",-,804,83.75
VIMTALABS,EQ,29-12-2005,"1,089.35","1,137.00","1,140.00","1,075.00","1,112.65","1,117.55","1,105.60","29,335","3,24,32,799.25",-,"28,754",98.02
VIMTALABS,EQ,30-12-2005,"1,117.55","1,129.00","1,130.00","1,091.00","1,125.00","1,114.20","1,106.87","1,364","15,09,766.00",-,984,72.14
VIMTALABS,EQ,02-01-2006,"1,114.20","1,111.00","1,152.80","1,111.00","1,126.10","1,126.10","1,134.86","3,003","34,07,979.10",-,"2,539",84.55
VIMTALABS,EQ,03-01-2006,"1,126.10","1,158.00","1,158.00","1,125.00","1,139.00","1,136.00","1,131.20",443,"5,01,122.65",-,236,53.27
VIMTALABS,EQ,04-01-2006,"1,136.00","1,158.00","1,158.00","1,126.50","1,142.00","1,139.00","1,143.24",700,"8,00,269.40",-,616,88.00
VIMTALABS,EQ,05-01-2006,"1,139.00","1,141.00","1,141.00","1,120.00","1,120.00","1,134.20","1,134.01","2,103","23,84,825.70",-,"1,882",89.49
VIMTALABS,EQ,06-01-2006,"1,134.20","1,151.00","1,151.00","1,122.00","1,122.00","1,132.55","1,136.92",858,"9,75,473.10",-,567,66.08
VIMTALABS,EQ,09-01-2006,"1,132.55","1,150.00","1,152.00","1,111.00","1,135.00","1,120.25","1,142.95","2,737","31,28,262.90",-,"2,568",93.83
VIMTALABS,EQ,10-01-2006,"1,120.25","1,155.00","1,158.00","1,082.00","1,082.00","1,097.70","1,130.94","5,434","61,45,548.65",-,"3,800",69.93
VIMTALABS,EQ,12-01-2006,"1,097.70","1,070.00","1,098.00","1,043.00","1,043.00","1,043.25","1,066.27","3,316","35,35,755.25",-,"3,013",90.86
VIMTALABS,EQ,13-01-2006,"1,043.25","1,040.00","1,040.00",991.10,"1,010.05","1,026.40","1,021.42","2,678","27,35,371.35",-,"1,812",67.66
VIMTALABS,EQ,16-01-2006,"1,026.40","1,050.00","1,065.00",975.10,975.10,988.95,"1,003.26","2,169","21,76,076.45",-,"1,787",82.39
VIMTALABS,EQ,17-01-2006,988.95,975.00,985.05,939.50,949.95,947.60,956.83,"2,497","23,89,198.05",-,"2,327",93.19
VIMTALABS,EQ,18-01-2006,947.60,952.00,970.00,931.00,958.70,951.95,948.21,"1,192","11,30,266.75",-,910,76.34
VIMTALABS,EQ,19-01-2006,951.95,957.95,958.00,927.00,931.00,934.70,940.85,"1,902","17,89,496.00",-,"1,062",55.84
VIMTALABS,EQ,20-01-2006,934.70,953.00,973.50,910.00,937.00,938.00,939.84,954,"8,96,605.35",-,611,64.05
VIMTALABS,EQ,23-01-2006,938.00,949.50,984.90,936.00,984.90,984.90,971.25,"1,307","12,69,426.25",-,"1,249",95.56
VIMTALABS,EQ,24-01-2006,984.90,"1,033.00","1,033.00",984.00,"1,000.00",999.35,999.21,"1,108","11,07,124.30",-,825,74.46
VIMTALABS,EQ,25-01-2006,999.35,996.00,"1,039.95",993.00,996.00,"1,003.00","1,020.60","1,646","16,79,907.10",-,"1,175",71.39
VIMTALABS,EQ,27-01-2006,"1,003.00","1,044.00","1,044.00",978.70,980.00,987.05,"1,002.53",858,"8,60,171.15",-,820,95.57
VIMTALABS,EQ,30-01-2006,987.05,"1,004.80","1,004.95",970.00,987.00,986.05,989.62,537,"5,31,425.90",-,506,94.23
VIMTALABS,EQ,31-01-2006,986.05,982.00,985.00,961.00,973.00,973.00,976.14,"1,214","11,85,032.35",-,"1,208",99.51
VIMTALABS,EQ,01-02-2006,973.00,965.00,965.00,930.10,930.10,938.50,945.23,"1,254","11,85,314.25",-,"1,179",94.02
VIMTALABS,EQ,02-02-2006,938.50,949.90,975.00,938.00,938.00,939.45,954.04,"1,283","12,24,028.20",-,968,75.45
VIMTALABS,EQ,03-02-2006,939.45,936.90,957.35,935.00,940.00,939.65,942.12,"1,597","15,04,565.90",-,"1,441",90.23
VIMTALABS,EQ,06-02-2006,939.65,952.00,960.00,920.00,935.00,922.30,935.61,"2,525","23,62,422.20",-,"2,308",91.41
VIMTALABS,EQ,07-02-2006,922.30,964.90,965.00,927.00,927.00,929.65,938.15,"1,247","11,69,878.30",-,970,77.79
VIMTALABS,EQ,08-02-2006,929.65,973.00,973.00,920.00,937.00,930.50,933.58,408,"3,80,899.65",-,353,86.52
VIMTALABS,EQ,10-02-2006,930.50,959.00,959.00,930.00,938.00,938.75,943.61,"1,400","13,21,049.00",-,"1,202",85.86
VIMTALABS,EQ,13-02-2006,938.75,950.00,"1,029.95",950.00,"1,005.00",994.55,994.46,"4,346","43,21,924.45",-,"2,780",63.97
VIMTALABS,EQ,14-02-2006,994.55,"1,005.00","1,025.00",991.05,992.00,997.40,"1,004.85","2,551","25,63,376.25",-,"2,247",88.08
VIMTALABS,EQ,15-02-2006,997.40,"1,000.00","1,005.00",970.70,970.70,977.55,987.58,"1,564","15,44,578.70",-,"1,386",88.62
VIMTALABS,EQ,16-02-2006,977.55,985.00,990.00,970.05,970.05,972.30,980.65,"2,100","20,59,369.15",-,"1,175",55.95
VIMTALABS,EQ,17-02-2006,972.30,966.10,982.00,965.00,965.00,972.55,973.86,"1,113","10,83,901.05",-,954,85.71
VIMTALABS,EQ,20-02-2006,972.55,980.00,989.85,915.20,935.00,927.45,948.94,"5,203","49,37,322.80",-,"3,085",59.29
VIMTALABS,EQ,21-02-2006,927.45,930.00,948.10,920.00,937.50,932.95,937.05,"3,008","28,18,633.35",-,"2,032",67.55
VIMTALABS,EQ,22-02-2006,932.95,923.00,950.00,923.00,948.90,944.50,942.05,"2,536","23,89,041.85",-,"1,608",63.41
VIMTALABS,EQ,23-02-2006,944.50,960.00,975.00,950.00,970.35,965.85,961.02,"4,875","46,84,977.75",-,"3,597",73.78
VIMTALABS,EQ,24-02-2006,965.85,160.00,208.00,160.00,204.30,203.35,198.98,"88,841","1,76,77,146.00",-,-,-
VIMTALABS,EQ,27-02-2006,203.35,205.00,209.00,196.30,200.20,200.15,200.93,"35,308","70,94,386.05",-,-,-
VIMTALABS,EQ,28-02-2006,200.15,201.40,205.75,195.50,196.50,196.90,200.59,"63,668","1,27,70,974.50",-,-,-
VIMTALABS,EQ,01-03-2006,196.90,196.90,201.90,196.00,200.40,200.05,199.83,"14,633","29,24,086.00",-,-,-
VIMTALABS,EQ,02-03-2006,200.05,198.25,214.90,198.25,203.50,203.75,206.16,"47,746","98,43,386.40",-,-,-
VIMTALABS,EQ,03-03-2006,203.75,202.00,212.75,202.00,212.00,209.05,206.78,"23,188","47,94,913.75",-,"1,00,385",36.72
VIMTALABS,EQ,06-03-2006,209.05,219.70,219.70,210.00,211.95,211.15,213.88,"21,965","46,97,865.30",-,"12,199",55.54
VIMTALABS,EQ,07-03-2006,211.15,213.00,214.00,205.50,206.00,208.35,210.42,"8,261","17,38,304.85",-,"5,308",64.25
VIMTALABS,EQ,08-03-2006,208.35,190.00,209.80,190.00,197.30,197.40,199.95,"12,751","25,49,612.85",-,"9,104",71.40
VIMTALABS,EQ,09-03-2006,197.40,202.45,202.45,190.50,198.90,198.50,196.20,"13,937","27,34,380.35",-,"7,269",52.16
VIMTALABS,EQ,10-03-2006,198.50,199.00,200.00,193.00,194.00,194.65,195.81,"8,160","15,97,805.85",-,"6,721",82.37
VIMTALABS,EQ,13-03-2006,194.65,201.00,201.00,192.00,193.15,192.65,194.86,"5,955","11,60,386.30",-,"4,610",77.41
VIMTALABS,EQ,14-03-2006,192.65,194.00,195.00,185.15,189.95,188.85,193.40,"2,08,198","4,02,66,179.45",-,"2,06,355",99.11
VIMTALABS,EQ,16-03-2006,188.85,207.00,207.00,183.00,195.50,194.30,192.12,"8,339","16,02,115.05",-,"5,861",70.28
VIMTALABS,EQ,17-03-2006,194.30,190.15,194.55,190.15,193.55,192.95,192.77,"3,204","6,17,636.05",-,"2,709",84.55
VIMTALABS,EQ,20-03-2006,192.95,194.00,198.90,188.00,190.00,190.00,192.50,"13,918","26,79,175.25",-,"7,735",55.58
VIMTALABS,EQ,21-03-2006,190.00,196.00,206.60,190.35,193.95,192.80,198.39,"17,925","35,56,164.75",-,"8,270",46.14
VIMTALABS,EQ,22-03-2006,192.80,194.20,196.00,189.00,192.00,191.75,193.34,"18,525","35,81,590.45",-,"15,759",85.07
VIMTALABS,EQ,23-03-2006,191.75,194.90,195.00,190.05,190.80,191.55,192.54,"4,594","8,84,508.40",-,"2,730",59.43
VIMTALABS,EQ,24-03-2006,191.55,190.80,195.95,190.80,192.75,193.50,193.51,"6,758","13,07,772.20",-,"5,170",76.50
VIMTALABS,EQ,27-03-2006,193.50,200.00,202.00,192.00,192.10,193.85,196.05,"6,921","13,56,895.80",-,"4,598",66.44
VIMTALABS,EQ,28-03-2006,193.85,193.00,194.00,187.25,187.25,187.70,189.57,"8,707","16,50,568.40",-,"6,304",72.40
VIMTALABS,EQ,29-03-2006,187.70,187.30,192.70,187.30,188.00,190.10,190.43,"5,138","9,78,421.45",-,"3,735",72.69
VIMTALABS,EQ,30-03-2006,190.10,193.00,195.00,190.25,193.50,193.15,193.59,"5,675","10,98,618.50",-,"4,198",73.97
VIMTALABS,EQ,31-03-2006,193.15,194.95,199.00,191.00,191.00,191.35,194.64,"7,468","14,53,569.45",-,"6,498",87.01
VIMTALABS,EQ,03-04-2006,191.35,198.00,200.00,191.35,196.15,197.00,197.59,"22,848","45,14,502.15",-,"19,123",83.70
VIMTALABS,EQ,04-04-2006,197.00,197.00,204.00,197.00,203.00,202.45,199.23,"17,133","34,13,430.90",-,"15,702",91.65
VIMTALABS,EQ,05-04-2006,202.45,203.00,208.00,200.35,204.95,203.50,205.08,"13,500","27,68,573.35",-,"9,593",71.06
VIMTALABS,EQ,07-04-2006,203.50,205.00,207.95,198.00,204.95,204.05,203.28,"9,631","19,57,826.95",-,"7,080",73.51
VIMTALABS,EQ,10-04-2006,204.05,199.00,203.00,198.95,200.50,200.80,199.68,"12,007","23,97,607.75",-,"11,290",94.03
VIMTALABS,EQ,12-04-2006,200.80,200.30,205.00,200.25,204.00,201.30,202.10,"3,577","7,22,908.20",-,"2,732",76.38
