SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VISASTEEL,EQ,17-03-2006,57.0,57.0,60.25,49.75,57.1,56.8,56.38,"2,30,61,678","1,30,02,51,343.85",-,"56,12,084",24.34
VISASTEEL,EQ,20-03-2006,56.8,58.0,61.0,55.0,55.1,55.7,57.81,"24,84,497","14,36,40,373.25",-,"6,12,172",24.64
VISASTEEL,EQ,21-03-2006,55.7,55.7,57.8,54.55,55.5,55.4,55.6,"11,32,942","6,29,92,497.25",-,"4,27,087",37.7
VISASTEEL,EQ,22-03-2006,55.4,55.0,55.8,53.8,55.0,54.8,54.84,"4,95,047","2,71,50,579.35",-,"1,55,237",31.36
VISASTEEL,EQ,23-03-2006,54.8,55.0,57.45,53.1,55.5,56.0,55.59,"11,31,489","6,29,01,269.05",-,"3,65,894",32.34
VISASTEEL,EQ,24-03-2006,56.0,56.0,56.5,53.25,54.0,53.65,54.39,"6,39,774","3,47,99,813.25",-,"3,01,350",47.1
VISASTEEL,EQ,27-03-2006,53.65,54.35,55.0,52.3,53.05,53.0,53.8,"7,00,362","3,76,80,919.20",-,"4,05,431",57.89
VISASTEEL,EQ,28-03-2006,53.0,53.0,53.6,51.1,52.55,52.55,52.49,"2,66,834","1,40,05,185.90",-,"1,36,332",51.09
VISASTEEL,EQ,29-03-2006,52.55,52.25,52.65,51.7,52.15,52.15,52.05,"2,02,913","1,05,61,545.35",-,"1,41,099",69.54
VISASTEEL,EQ,30-03-2006,52.15,51.55,53.0,51.55,52.0,52.05,52.07,"2,01,665","1,05,00,461.75",-,"1,48,604",73.69
VISASTEEL,EQ,31-03-2006,52.05,52.4,56.5,51.8,53.0,53.0,54.52,"2,27,687","1,24,12,976.35",-,"68,266",29.98
VISASTEEL,EQ,03-04-2006,53.0,54.0,55.25,53.5,53.7,53.65,54.27,"1,96,617","1,06,70,505.65",-,"1,41,767",72.1
VISASTEEL,EQ,04-04-2006,53.65,54.9,55.0,53.0,53.0,53.15,53.24,"72,563","38,63,505.70",-,"48,349",66.63
VISASTEEL,EQ,05-04-2006,53.15,53.15,53.4,53.0,53.05,53.05,53.09,"48,289","25,63,485.10",-,"33,544",69.47
VISASTEEL,EQ,07-04-2006,53.05,53.9,55.0,53.0,53.55,53.6,53.73,"1,83,619","98,65,983.15",-,"1,08,639",59.17
VISASTEEL,EQ,10-04-2006,53.6,53.85,57.45,51.4,54.5,54.95,55.47,"3,17,470","1,76,10,196.70",-,"1,05,103",33.11
VISASTEEL,EQ,12-04-2006,54.95,55.25,55.9,53.0,53.05,53.0,54.14,"1,00,472","54,39,311.00",-,"43,399",43.2
VISASTEEL,EQ,13-04-2006,53.0,52.6,54.4,51.55,52.0,52.05,52.58,"1,06,305","55,89,651.65",-,"81,405",76.58
VISASTEEL,EQ,17-04-2006,52.05,53.0,54.6,51.6,52.0,52.0,52.71,"2,29,198","1,20,80,585.30",-,"1,22,520",53.46
VISASTEEL,EQ,18-04-2006,52.0,52.1,53.35,51.8,52.0,51.95,52.28,"66,568","34,80,088.10",-,"48,206",72.42
VISASTEEL,EQ,19-04-2006,51.95,51.7,53.9,51.7,53.0,53.0,53.08,"1,03,138","54,74,956.05",-,"53,485",51.86
VISASTEEL,EQ,20-04-2006,53.0,53.5,54.6,52.05,52.75,52.75,53.26,"1,07,234","57,11,510.10",-,"37,648",35.11
VISASTEEL,EQ,21-04-2006,52.75,52.75,53.0,51.4,51.55,51.7,51.96,"64,408","33,46,821.20",-,"32,002",49.69
VISASTEEL,EQ,24-04-2006,51.7,51.5,52.7,50.5,50.9,51.25,51.62,"48,450","25,00,806.15",-,"23,627",48.77
VISASTEEL,EQ,25-04-2006,51.25,50.2,51.4,48.55,49.0,48.9,49.85,"98,629","49,16,526.65",-,"55,874",56.65
VISASTEEL,EQ,26-04-2006,48.9,50.0,51.35,49.1,51.0,50.35,50.05,"60,156","30,10,935.05",-,"45,451",75.56
VISASTEEL,EQ,27-04-2006,50.35,51.4,53.15,50.2,52.9,52.6,52.49,"1,62,238","85,15,436.35",-,"95,393",58.8
VISASTEEL,EQ,28-04-2006,52.6,51.8,53.8,49.2,52.0,51.55,52.31,"2,10,653","1,10,18,879.55",-,"1,31,700",62.52
VISASTEEL,EQ,29-04-2006,51.55,54.0,59.0,54.0,54.5,54.75,55.48,"2,23,910","1,24,22,673.85",-,"1,22,483",54.7
VISASTEEL,EQ,02-05-2006,54.75,55.1,57.0,53.0,53.2,53.8,55.52,"2,22,240","1,23,38,525.20",-,"98,768",44.44
VISASTEEL,EQ,03-05-2006,53.8,55.8,55.8,53.3,55.0,54.8,54.65,"1,19,262","65,17,411.10",-,"71,254",59.75
VISASTEEL,EQ,04-05-2006,54.8,55.8,55.8,50.0,52.05,50.85,51.6,"4,08,628","2,10,86,221.40",-,"3,27,474",80.14
VISASTEEL,EQ,05-05-2006,50.85,52.95,53.0,51.15,52.95,52.55,52.3,"2,21,033","1,15,60,295.90",-,"1,52,820",69.14
VISASTEEL,EQ,08-05-2006,52.55,52.1,53.2,51.55,53.0,53.0,52.66,"1,08,258","57,00,990.75",-,"71,109",65.68
VISASTEEL,EQ,09-05-2006,53.0,52.0,52.4,51.0,51.35,51.45,51.51,"1,59,705","82,26,826.95",-,"1,24,878",78.19
VISASTEEL,EQ,10-05-2006,51.45,52.4,53.6,51.7,52.0,52.1,52.51,"2,37,868","1,24,91,086.05",-,"1,50,185",63.14
VISASTEEL,EQ,11-05-2006,52.1,52.95,53.0,51.4,51.65,52.0,52.36,"1,04,962","54,95,447.55",-,"64,255",61.22
VISASTEEL,EQ,12-05-2006,52.0,51.9,54.0,48.1,51.6,52.0,52.61,"2,02,668","1,06,61,688.05",-,"93,418",46.09
VISASTEEL,EQ,15-05-2006,52.0,51.25,52.2,49.8,49.95,50.2,51.33,"1,61,790","83,03,999.15",-,"1,10,290",68.17
VISASTEEL,EQ,16-05-2006,50.2,49.9,52.5,49.05,52.5,52.1,50.73,"1,18,605","60,17,222.65",-,"76,815",64.77
VISASTEEL,EQ,17-05-2006,52.1,51.5,52.25,50.15,50.3,50.55,50.97,"2,03,487","1,03,72,278.00",-,"1,73,220",85.13
VISASTEEL,EQ,18-05-2006,50.55,50.55,52.0,48.2,50.45,50.25,49.79,"1,62,641","80,98,008.35",-,"1,05,564",64.91
VISASTEEL,EQ,19-05-2006,50.25,50.45,51.5,45.1,45.6,46.0,47.93,"36,961","17,71,419.20",-,"18,286",49.47
VISASTEEL,EQ,22-05-2006,46.0,46.0,46.0,36.8,41.45,41.0,41.03,"92,287","37,86,588.15",-,"70,458",76.35
VISASTEEL,EQ,23-05-2006,41.0,38.8,42.95,33.1,42.95,42.05,40.77,"55,595","22,66,522.65",-,"28,989",52.14
VISASTEEL,EQ,24-05-2006,42.05,44.5,48.85,41.1,41.5,42.5,45.19,"1,78,037","80,45,878.80",-,"95,912",53.87
VISASTEEL,EQ,25-05-2006,42.5,42.0,43.75,40.3,40.3,41.35,41.78,"67,985","28,40,296.65",-,"38,920",57.25
VISASTEEL,EQ,26-05-2006,41.35,41.5,43.6,40.15,40.65,40.6,41.66,"1,04,530","43,54,484.45",-,"66,495",63.61
VISASTEEL,EQ,29-05-2006,40.6,41.8,42.7,40.85,41.9,41.65,41.63,"48,626","20,24,466.30",-,"28,579",58.77
VISASTEEL,EQ,30-05-2006,41.65,42.0,44.2,41.05,42.4,42.2,42.48,"44,996","19,11,518.70",-,"24,017",53.38
VISASTEEL,EQ,31-05-2006,42.2,41.1,41.6,39.8,40.65,40.75,40.46,"26,890","10,87,928.35",-,"11,885",44.2
VISASTEEL,EQ,01-06-2006,40.75,43.0,43.0,39.7,39.7,39.95,40.47,"20,791","8,41,489.65",-,"10,130",48.72
VISASTEEL,EQ,02-06-2006,39.95,40.0,40.0,37.15,37.75,37.6,38.0,"44,571","16,93,768.25",-,"26,219",58.83
VISASTEEL,EQ,05-06-2006,37.6,37.7,38.6,36.2,36.75,36.6,37.05,"39,733","14,72,034.40",-,"24,557",61.81
VISASTEEL,EQ,06-06-2006,36.6,37.0,37.0,33.25,33.3,33.6,34.3,"39,462","13,53,360.80",-,"24,755",62.73
VISASTEEL,EQ,07-06-2006,33.6,32.0,34.0,28.5,30.25,29.2,30.49,"49,776","15,17,675.95",-,"31,021",62.32
VISASTEEL,EQ,08-06-2006,29.2,29.0,29.0,24.3,25.8,26.3,26.38,"93,695","24,71,372.00",-,"70,129",74.85
VISASTEEL,EQ,09-06-2006,26.3,25.45,31.5,25.0,27.15,27.0,27.37,"1,08,656","29,74,101.30",-,"75,375",69.37
VISASTEEL,EQ,12-06-2006,27.0,27.0,27.5,26.4,26.75,26.6,26.9,"32,401","8,71,691.05",-,"23,417",72.27
VISASTEEL,EQ,13-06-2006,26.6,25.5,26.2,24.0,24.5,24.25,24.76,"67,883","16,80,993.25",-,"56,003",82.5
VISASTEEL,EQ,14-06-2006,24.25,27.0,27.0,24.25,24.6,24.6,24.66,"38,356","9,45,840.05",-,"30,701",80.04
VISASTEEL,EQ,15-06-2006,24.6,26.0,27.8,24.7,26.0,25.95,25.8,"57,944","14,95,092.70",-,"47,275",81.59
VISASTEEL,EQ,16-06-2006,25.95,26.0,27.5,26.0,26.5,26.4,26.89,"77,401","20,81,632.60",-,"57,160",73.85
VISASTEEL,EQ,19-06-2006,26.4,26.8,28.5,26.0,27.25,27.3,26.96,"52,725","14,21,472.75",-,"26,447",50.16
VISASTEEL,EQ,20-06-2006,27.3,26.0,27.0,26.0,26.95,26.95,26.93,"42,124","11,34,427.10",-,"36,720",87.17
VISASTEEL,EQ,21-06-2006,26.95,27.45,27.8,26.8,27.2,27.0,27.36,"75,639","20,69,441.30",-,"61,351",81.11
VISASTEEL,EQ,22-06-2006,27.0,28.0,28.35,25.6,26.05,25.8,26.79,"1,55,753","41,72,220.25",-,"1,32,609",85.14
VISASTEEL,EQ,23-06-2006,25.8,26.8,28.35,24.7,26.85,27.4,26.45,"4,53,776","1,20,00,579.35",-,"1,95,310",43.04
