SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VMART,BE,20-02-2013,210.0,214.0,215.0,203.3,203.3,203.3,205.45,"5,46,941","11,23,66,523.30","4,531",-,-
VMART,BE,21-02-2013,203.3,193.15,208.0,193.15,196.0,197.0,199.48,"1,20,568","2,40,51,265.00","1,600",-,-
VMART,BE,22-02-2013,197.0,190.0,198.0,187.15,198.0,194.8,194.11,"11,524","22,36,878.05",163,-,-
VMART,BE,25-02-2013,194.8,193.0,195.0,190.15,193.0,193.0,192.72,"12,584","24,25,169.30",121,-,-
VMART,BE,26-02-2013,193.0,191.0,193.0,183.35,183.35,183.4,186.18,"4,700","8,75,027.05",89,-,-
VMART,BE,27-02-2013,183.4,183.35,183.35,174.25,180.0,179.3,176.09,"5,548","9,76,971.40",140,-,-
VMART,BE,28-02-2013,179.3,174.25,183.0,170.35,170.35,170.35,171.1,"5,989","10,24,719.45",128,-,-
VMART,BE,01-03-2013,170.35,162.5,175.0,161.85,175.0,171.75,166.55,"6,373","10,61,451.20",173,-,-
VMART,BE,04-03-2013,171.75,170.0,179.9,164.25,179.9,173.8,171.29,"5,351","9,16,553.40",101,-,-
VMART,BE,05-03-2013,173.8,169.0,175.4,169.0,170.0,170.0,169.95,"8,164","13,87,500.75",35,-,-
VMART,EQ,06-03-2013,170.0,171.0,186.0,171.0,178.0,178.15,176.15,"19,245","33,90,050.15",232,"18,038",93.73
VMART,EQ,07-03-2013,178.15,178.7,180.0,176.0,177.0,177.0,177.22,"3,307","5,86,067.35",48,"3,259",98.55
VMART,EQ,08-03-2013,177.0,175.0,177.5,174.25,177.5,174.95,176.19,"3,678","6,48,028.85",61,"3,352",91.14
VMART,EQ,11-03-2013,174.95,173.0,180.0,173.0,179.8,179.55,176.25,"3,601","6,34,690.45",79,"3,510",97.47
VMART,EQ,12-03-2013,179.55,176.3,181.8,176.3,179.05,179.95,179.02,"12,934","23,15,442.40",74,"8,790",67.96
VMART,EQ,13-03-2013,179.95,176.35,180.0,161.0,176.75,177.95,175.99,"2,129","3,74,673.80",76,"1,991",93.52
VMART,EQ,14-03-2013,177.95,174.1,185.0,174.1,183.95,179.75,179.59,"17,090","30,69,156.00",71,"16,792",98.26
VMART,EQ,15-03-2013,179.75,177.5,184.0,171.0,182.3,179.3,181.4,"3,700","6,71,186.35",64,"3,258",88.05
VMART,EQ,18-03-2013,179.3,184.0,209.0,152.5,180.0,180.4,180.15,"18,367","33,08,782.35",147,"16,729",91.08
VMART,EQ,19-03-2013,180.4,177.1,180.0,175.0,176.9,176.15,176.76,"4,308","7,61,502.60",37,"4,119",95.61
VMART,EQ,20-03-2013,176.15,175.1,178.0,170.0,170.0,171.1,176.07,"5,060","8,90,911.75",65,"4,964",98.10
VMART,EQ,21-03-2013,171.1,171.5,173.0,169.0,169.0,169.65,171.17,"1,370","2,34,507.00",49,"1,309",95.55
VMART,EQ,22-03-2013,169.65,161.1,170.0,160.0,166.2,166.8,164.83,"8,021","13,22,082.75",79,"5,963",74.34
VMART,EQ,25-03-2013,166.8,162.2,167.7,158.0,158.0,160.4,161.98,"2,099","3,39,992.35",45,"1,709",81.42
VMART,EQ,26-03-2013,160.4,151.1,164.85,150.0,164.0,164.0,161.11,"2,640","4,25,335.95",33,"2,569",97.31
VMART,EQ,28-03-2013,164.0,160.6,177.0,157.0,177.0,169.2,164.26,"7,187","11,80,535.35",121,"6,288",87.49
VMART,EQ,01-04-2013,169.2,165.5,175.0,165.15,170.0,169.0,170.46,"13,123","22,36,890.50",57,"12,756",97.20
VMART,EQ,02-04-2013,169.0,166.0,180.0,166.0,171.25,177.8,178.18,"8,481","15,11,155.20",52,"6,259",73.80
VMART,EQ,03-04-2013,177.8,174.0,178.0,174.0,178.0,177.85,177.84,531,"94,435.25",4,531,100.00
VMART,EQ,04-04-2013,177.85,172.0,177.0,170.0,170.0,170.5,171.64,"8,468","14,53,445.10",43,"8,351",98.62
VMART,EQ,05-04-2013,170.5,170.0,174.0,150.0,167.0,167.0,165.71,449,"74,405.45",22,386,85.97
VMART,EQ,08-04-2013,167.0,179.0,179.0,162.05,165.0,165.15,172.53,"1,880","3,24,350.60",35,"1,708",90.85
VMART,EQ,09-04-2013,165.15,163.55,164.3,163.55,164.05,164.05,164.05,545,"89,405.75",22,495,90.83
VMART,EQ,10-04-2013,164.05,160.0,169.0,157.15,163.0,164.35,163.12,695,"1,13,368.35",28,523,75.25
VMART,EQ,11-04-2013,164.35,160.15,164.0,160.15,161.25,161.25,161.33,481,"77,600.95",22,359,74.64
VMART,EQ,12-04-2013,161.25,157.55,162.5,157.0,159.45,158.85,158.17,473,"74,812.95",28,274,57.93
VMART,EQ,15-04-2013,158.85,154.1,160.0,154.1,156.65,157.3,157.09,564,"88,597.60",27,395,70.04
VMART,EQ,16-04-2013,157.3,163.85,170.0,160.0,165.0,165.0,164.18,"1,059","1,73,870.30",47,883,83.38
VMART,EQ,17-04-2013,165.0,162.6,173.0,162.5,172.0,168.45,169.83,"20,432","34,69,872.35",185,"20,229",99.01
VMART,EQ,18-04-2013,168.45,168.45,173.25,168.45,172.0,171.3,171.73,"1,356","2,32,872.35",44,"1,356",100.00
VMART,EQ,22-04-2013,171.3,168.8,179.0,168.6,179.0,174.55,173.09,"1,551","2,68,467.35",47,"1,481",95.49
VMART,EQ,23-04-2013,174.55,169.9,175.0,169.5,175.0,175.0,172.0,"51,493","88,57,036.85",42,"51,468",99.95
VMART,EQ,25-04-2013,175.0,170.05,176.0,169.9,176.0,174.0,171.58,"1,318","2,26,148.15",67,"1,055",80.05
VMART,EQ,26-04-2013,174.0,175.0,175.0,169.0,169.0,170.05,170.15,102,"17,355.45",7,45,44.12
VMART,EQ,29-04-2013,170.05,171.1,177.0,171.1,175.0,175.0,173.25,214,"37,074.70",26,116,54.21
VMART,EQ,30-04-2013,175.0,171.15,179.0,140.5,179.0,176.75,165.09,"2,699","4,45,573.50",145,"1,340",49.65
