SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
VMM,EQ,18-12-2024,78.0,104.0,114.4,104.0,111.88,111.93,108.5,"72,87,32,202","79,06,60,11,920.84","22,96,616","43,19,90,470",59.28
VMM,EQ,19-12-2024,111.93,110.0,114.75,104.2,105.65,105.13,109.2,"16,90,53,505","18,46,01,24,274.58","7,43,311","6,40,88,337",37.91
VMM,EQ,20-12-2024,105.13,105.5,107.99,97.59,100.75,101.19,101.66,"11,85,56,272","12,05,25,18,130.54","4,88,584","4,54,98,401",38.38
VMM,EQ,23-12-2024,101.19,102.0,103.38,96.7,101.7,101.94,100.57,"6,01,89,677","6,05,30,49,612.72","2,88,488","1,83,83,924",30.54
VMM,EQ,24-12-2024,101.94,101.0,105.6,99.25,104.33,104.39,103.05,"4,79,94,254","4,94,55,92,692.10","1,86,047","1,29,10,029",26.9
VMM,EQ,26-12-2024,104.39,105.38,114.15,104.12,106.5,106.64,109.46,"10,10,79,107","11,06,41,49,996.76","3,06,352","2,76,22,747",27.33
VMM,EQ,27-12-2024,106.64,107.6,107.75,103.1,105.5,106.14,105.7,"3,75,53,989","3,96,96,25,307.04","1,29,915","1,18,47,890",31.55
VMM,EQ,30-12-2024,106.14,105.1,108.19,103.8,104.06,104.7,106.12,"2,90,55,112","3,08,33,18,394.11","1,11,985","1,29,41,032",44.54
VMM,EQ,31-12-2024,104.7,103.9,107.0,101.0,106.51,106.43,104.73,"2,42,72,901","2,54,21,57,558.97","1,11,032","88,84,684",36.6
VMM,EQ,01-01-2025,106.43,106.0,106.9,105.02,105.55,105.91,106.15,"1,16,89,297","1,24,08,47,109.37","50,319","43,49,342",37.21
VMM,EQ,02-01-2025,105.91,106.0,111.15,105.4,107.22,107.36,108.34,"4,76,89,604","5,16,68,70,255.12","2,61,612","1,63,67,393",34.32
VMM,EQ,03-01-2025,107.36,109.0,117.34,108.56,112.5,112.18,113.86,"11,23,22,902","12,78,94,13,082.63","3,16,679","3,51,98,904",31.34
VMM,EQ,06-01-2025,112.18,112.98,113.44,104.11,105.2,104.84,108.37,"4,00,15,050","4,33,64,14,347.91","1,44,857","1,43,74,690",35.92
VMM,EQ,07-01-2025,104.84,107.0,114.35,106.7,113.85,113.58,110.74,"5,27,02,210","5,83,60,63,639.91","1,64,654","1,67,35,752",31.76
VMM,EQ,08-01-2025,113.58,113.69,113.79,109.61,111.27,111.47,111.62,"2,86,99,821","3,20,33,39,888.59","1,18,568","60,97,166",21.24
VMM,EQ,09-01-2025,111.47,111.45,116.49,109.5,111.15,110.94,112.93,"3,75,20,221","4,23,72,17,342.63","1,37,162","98,05,664",26.13
VMM,EQ,10-01-2025,110.94,110.9,111.37,107.3,108.2,108.51,109.11,"2,48,24,477","2,70,86,71,143.10","83,915","83,05,314",33.46
VMM,EQ,13-01-2025,108.51,105.9,107.6,101.5,104.02,104.12,104.57,"2,41,26,088","2,52,28,84,297.14","97,752","89,33,619",37.03
VMM,EQ,14-01-2025,104.12,105.0,108.2,103.56,106.51,106.48,105.99,"1,70,68,402","1,80,91,21,448.54","83,772","42,82,069",25.09
VMM,EQ,15-01-2025,106.48,105.0,107.5,102.8,105.01,105.23,104.79,"2,31,72,682","2,42,82,45,978.17","1,00,552","97,17,023",41.93
VMM,EQ,16-01-2025,105.23,108.0,110.3,105.66,109.11,109.17,108.48,"1,89,50,087","2,05,56,29,856.25","67,778","74,48,868",39.31
VMM,EQ,17-01-2025,109.17,108.5,110.64,107.51,109.7,109.84,109.17,"2,11,52,139","2,30,91,30,738.45","61,668","1,04,05,074",49.19
VMM,EQ,20-01-2025,109.84,110.59,112.5,108.9,111.75,111.69,111.43,"1,68,70,634","1,87,99,53,014.76","75,529","66,41,250",39.37
VMM,EQ,21-01-2025,111.69,112.5,113.95,104.95,106.21,106.02,108.91,"2,19,25,089","2,38,79,12,295.16","1,04,922","88,47,221",40.35
VMM,EQ,22-01-2025,106.02,107.8,107.8,103.65,105.3,104.98,105.33,"1,66,50,372","1,75,37,20,306.09","63,852","62,10,831",37.3
VMM,EQ,23-01-2025,104.98,104.98,106.75,104.35,106.26,105.97,105.87,"85,43,848","90,45,68,519.52","32,505","33,31,039",38.99
VMM,EQ,24-01-2025,105.97,106.35,106.49,101.76,102.5,102.81,104.1,"1,25,17,429","1,30,30,95,675.64","47,932","60,31,669",48.19
