SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
YESBANK,EQ,12-07-2005,45.0,65.9,70.0,60.0,60.55,60.85,62.3,"4,89,88,303","3,05,21,32,482.30",-,"1,56,41,245",31.93
YESBANK,EQ,13-07-2005,60.85,61.0,63.0,57.45,59.3,58.7,60.21,"1,28,22,324","77,20,06,531.45",-,"45,02,228",35.11
YESBANK,EQ,14-07-2005,58.7,60.0,60.0,57.0,57.0,57.25,57.88,"32,56,573","18,84,96,957.75",-,"13,51,714",41.51
YESBANK,EQ,15-07-2005,57.25,56.25,64.45,56.25,61.8,61.85,61.62,"1,50,89,606","92,98,83,326.80",-,"35,30,566",23.4
YESBANK,EQ,18-07-2005,61.85,62.7,65.7,62.5,64.25,64.1,64.39,"1,51,36,955","97,47,41,070.40",-,"41,45,958",27.39
YESBANK,EQ,19-07-2005,64.1,65.0,65.0,63.1,64.15,63.95,63.88,"50,89,187","32,51,12,469.05",-,"20,53,492",40.35
YESBANK,EQ,20-07-2005,63.95,64.1,64.85,63.0,63.7,63.5,63.77,"18,81,334","11,99,79,697.65",-,"10,70,031",56.88
YESBANK,EQ,21-07-2005,63.5,63.9,64.0,62.25,62.5,62.5,63.17,"20,32,914","12,84,23,740.05",-,"12,71,909",62.57
YESBANK,EQ,22-07-2005,62.5,62.8,63.0,61.8,62.0,62.05,62.5,"10,05,201","6,28,23,751.80",-,"5,49,834",54.7
YESBANK,EQ,25-07-2005,62.05,63.0,63.0,61.1,61.1,61.4,61.72,"10,80,697","6,67,05,042.55",-,"6,28,107",58.12
YESBANK,EQ,26-07-2005,61.4,61.6,64.0,61.0,62.45,62.45,62.5,"23,29,540","14,56,01,944.80",-,"10,09,630",43.34
YESBANK,EQ,27-07-2005,62.45,63.3,64.5,62.35,63.25,63.55,63.56,"24,96,204","15,86,51,508.85",-,"11,48,775",46.02
YESBANK,EQ,29-07-2005,63.55,63.55,64.25,62.0,62.85,62.45,63.16,"12,37,293","7,81,48,403.40",-,"6,28,365",50.79
